Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1910,109,1350.25,1345,1345,1301.25,1324.25,-26,-1.93
ABANS FINANCE PLC,AFSL.N0000,17297,25,75.5,75,77,73.2,75.8,0.3,0.4
ACCESS ENGINEERING PLC,AEL.N0000,584041,211,62.4,62.4,63,62.1,62.8,0.4,0.64
ACL CABLES PLC,ACL.N0000,212893,177,215.5,215.5,217,215,216,0.5,0.23
ACL PLASTICS PLC,APLA.N0000,13091,149,1700,1728,1730,1650,1682.25,-17.75,-1.04
ACME PRINTING & PACKAGING PLC,ACME.N0000,244722,98,6.4,6.6,6.6,6.4,6.5,0.1,1.56
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,42978,84,62.5,62.6,63.4,61.7,62,-0.5,-0.8
Agarapatana Plantations PLC,AGPL.N0000,145603,116,22.1,22.1,22.2,21.8,22.1,0,0
AGSTAR PLC,AGST.N0000,2985297,307,9.5,9.6,9.8,9.4,9.6,0.1,1.05
AGSTAR PLC,AGST.X0000,572,4,12.5,12.5,12.5,12.3,12.5,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,189082,88,126.25,126,126,125,125.25,-1,-0.79
AITKEN SPENCE PLC,SPEN.N0000,7981,38,168,168,168,166.25,166.75,-1.25,-0.74
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,247133,560,400.25,400,463.75,400,440.5,40.25,10.06
ALPHA FIRE SERVICES PLC,AFS.N0000,361869,174,25.7,26.9,29.9,26.6,28.9,3.2,12.45
ALUMEX PLC,ALUM.N0000,2150011,132,21.5,21.6,21.7,21.5,21.6,0.1,0.47
AMANA BANK PLC,ABL.N0000,422809,138,29,29,29.1,28.8,29,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,345032,267,47.1,49,55,46.9,51.9,4.8,10.19
AMANA TAKAFUL PLC,ATL.N0000,877022,335,23,23.7,28.7,23.7,28.7,5.7,24.78
AMBEON CAPITAL PLC,TAP.N0000,691319,244,41.4,41.5,41.8,40.5,41.1,-0.3,-0.72
AMBEON HOLDINGS PLC,GREG.N0000,35646,48,158,158.5,158.5,150.25,157,-1,-0.63
ARPICO INSURANCE PLC,AINS.N0000,5198,13,38.5,38.4,40,38.4,39.9,1.4,3.64
ASIA ASSET FINANCE PLC,AAF.N0000,140566,133,62.1,62,63.9,62,62.3,0.2,0.32
ASIA CAPITAL PLC,ACAP.N0000,3137030,709,8.7,8.9,9.6,8,8.4,-0.3,-3.45
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,83111,46,9.3,9.4,9.5,9.1,9.3,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,70590,44,65.3,63.5,65.5,63.5,64,-1.3,-1.99
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,61766,70,32.9,34.1,34.1,32.9,33.1,0.2,0.61
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,12446,35,13.6,13.8,13.8,13.6,13.8,0.2,1.47
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,338071,404,81,80,80,74,79,-2,-2.47
B P P L HOLDINGS PLC,BPPL.N0000,336456,138,21.6,21.6,22,20.7,21.7,0.1,0.46
BAIRAHA FARMS PLC,BFL.N0000,31840,92,382.25,375,385,370,376.75,-5.5,-1.44
BALANGODA PLANTATIONS PLC,BALA.N0000,20125,46,93.3,95,96,92,92.1,-1.2,-1.29
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,23317,34,23.6,23.2,23.7,23,23,-0.6,-2.54
BERUWALA RESORTS PLC,BERU.N0000,834630,64,4,4,4,3.9,3.9,-0.1,-2.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,15114,53,87.3,88,88,86.5,87,-0.3,-0.34
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,4207,11,85.4,82,85.5,82,82,-3.4,-3.98
BROWN & COMPANY PLC,BRWN.N0000,27689,78,186.25,186,188,181.5,183.25,-3,-1.61
BROWNS BEACH HOTELS PLC,BBH.N0000,52204,42,26.1,26.3,28,26.3,27.1,1,3.83
BROWNS INVESTMENTS PLC,BIL.N0000,13054713,410,7.5,7.5,7.6,7.4,7.5,0,0
BUKIT DARAH PLC,BUKI.N0000,771,21,1199.5,1199,1199,1181,1186.25,-13.25,-1.1
C T HOLDINGS PLC,CTHR.N0000,1768,30,702,710,718.5,702,705,3,0.43
C T LAND DEVELOPMENT PLC,CTLD.N0000,14469,27,36.8,37.5,37.8,36.5,37.1,0.3,0.82
C. W. MACKIE PLC,CWM.N0000,6649,30,126.75,126.75,126.75,123.75,125.25,-1.5,-1.18
CABLE SOLUTIONS PLC,CSLK.N0000,100190,72,15.2,15.5,15.5,15,15.1,-0.1,-0.66
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,797,2,15.1,15.8,15.8,15.7,15.7,0.6,3.97
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,7,1,14.1,13.8,13.8,13.8,14.1,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,734002,201,17.4,17.1,17.5,17,17.4,0,0
CAPITAL ALLIANCE PLC,CALT.N0000,232955,262,51.9,52,52,51.7,52,0.1,0.19
CARGILLS (CEYLON) PLC,CARG.N0000,14562,66,801.25,801,810,800,806,4.75,0.59
CARGILLS BANK PLC,CBNK.N0000,11217524,322,10.2,10.2,10.4,10.2,10.3,0.1,0.98
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,1484,8,170.25,174,174,171,171,0.75,0.44
CARSON CUMBERBATCH PLC,CARS.N0000,756,22,896.5,900,904,897.25,900.25,3.75,0.42
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,548197,560,301.75,304,319,303,313.25,11.5,3.81
CENTRAL INDUSTRIES PLC,CIND.N0000,41684,101,230.25,230,234,228.25,229.5,-0.75,-0.33
CEYLINCO HOLDINGS PLC,CINS.X0000,5206,27,1875,1898.5,1898.5,1861,1884.25,9.25,0.49
CEYLINCO HOLDINGS PLC,CINS.N0000,1892,9,3096.75,3130,3130,3100,3100.25,3.5,0.11
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,3,2,2767.25,2775,2775,2775,2767.25,0,0
CEYLON COLD STORES PLC,CCS.N0000,23984,137,118,119,119,116,118,0,0
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,16088,47,380.75,384,388.75,380,383.25,2.5,0.66
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,43504,46,287,292,297,288,293,6,2.09
CEYLON HOSPITALS PLC,CHL.X0000,7,1,174.75,174,174,174,174.75,0,0
CEYLON HOSPITALS PLC,CHL.N0000,2513,9,203.5,203.75,204,200,202.25,-1.25,-0.61
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,88127,64,48.4,48.8,49,46.2,48,-0.4,-0.83
CEYLON INVESTMENT PLC,CINV.N0000,114213,120,136,133,140,133,138.25,2.25,1.65
CEYLON LAND & EQUITY PLC,KZOO.N0000,4163449,253,13.2,13.4,13.6,13.1,13.4,0.2,1.52
CEYLON TEA BROKERS PLC,CTBL.N0000,21161,18,8.1,8.1,8.2,8.1,8.1,0,0
CEYLON TOBACCO COMPANY PLC,CTC.N0000,7143,62,1696.5,1696.5,1700,1680,1698,1.5,0.09
CHEMANEX PLC,CHMX.N0000,82013,27,177.5,178,178,176,177,-0.5,-0.28
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,66507,97,182,182.5,183,182.5,183,1,0.55
CHRISSWORLD PLC,CWL.N0000,21973,26,13.7,13.8,14.3,13.8,13.9,0.2,1.46
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,3356,38,401.75,406,413.5,405,406.75,5,1.24
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,30106,61,311.75,315.75,318,310,311.25,-0.5,-0.16
CITRUS LEISURE PLC,REEF.N0000,1372075,75,4.4,4.4,4.5,4.3,4.4,0,0
Co-operative Insurance Company PLC,COOP.N0000,39573354,2311,4.8,5.1,5.8,5,5.7,0.9,18.75
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,4909,34,166,169.5,173.5,165,165.75,-0.25,-0.15
COLOMBO DOCKYARD PLC,DOCK.N0000,57845,84,145,144.75,146,143,143.75,-1.25,-0.86
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,3749,32,326.5,340,340,330,339,12.5,3.83
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,6600,68,454.25,452,497.5,452,495,40.75,8.97
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,84297,40,45.1,45.1,45.8,44,44.2,-0.9,-2
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,742720,342,206.5,206.75,207,206,206.75,0.25,0.12
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,31219,95,188.75,189.75,190,188.75,189.75,1,0.53
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,321546,342,150.25,152,154.75,151,151.75,1.5,1
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,1344,17,238.75,238.5,238.75,238,238.5,-0.25,-0.1
CONVENIENCE FOODS LANKA PLC,SOY.N0000,1411,59,2090.5,2120,2200,2080,2159.25,68.75,3.29
DANKOTUWA PORCELAIN PLC,DPL.N0000,31643,61,19.8,19.7,20,19.7,19.8,0,0
DFCC BANK PLC,DFCC.N0000,447414,451,159.25,160.25,164.75,160.25,163.5,4.25,2.67
DIALOG AXIATA PLC,DIAL.N0000,1105788,221,29,29.1,29.2,28.8,29,0,0
DIALOG FINANCE PLC,CALF.N0000,1199,12,81.2,80,83.2,80,82.2,1,1.23
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1297,79,2399.75,2399.75,2450,2381,2384,-15.75,-0.66
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,217915,174,147.5,148.5,148.5,145.25,146.75,-0.75,-0.51
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,395,22,1146,1146,1146,1143,1146,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,473211,252,68,68,68.4,67.6,68,0,0
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,219772,233,63.1,63,63,62,62.2,-0.9,-1.43
DOLPHIN HOTELS PLC,STAF.N0000,108520,91,65.4,66,68.7,66,67.2,1.8,2.75
E - CHANNELLING PLC,ECL.N0000,21886,37,18,18,18,17,17.1,-0.9,-5
E B CREASY & COMPANY PLC,EBCR.N0000,96575,114,70,71.4,71.4,69,69.9,-0.1,-0.14
E M L CONSULTANTS PLC,EML.N0000,480630,98,5.1,5.2,5.2,5,5,-0.1,-1.96
EAST WEST PROPERTIES PLC,EAST.N0000,130994,94,61,61,62.4,61,62.1,1.1,1.8
EASTERN MERCHANTS PLC,EMER.N0000,47510,28,10.8,10.8,11,10.7,10.8,0,0
EDEN HOTEL LANKA PLC,EDEN.N0000,58859,56,14.4,14.6,14.6,14.3,14.4,0,0
ELPITIYA PLANTATIONS PLC,ELPL.N0000,16495,48,203,203,204,199.75,200,-3,-1.48
EQUITY TWO PLC,ETWO.N0000,741,9,87.2,87.5,87.5,87,87.5,0.3,0.34
Ex-pack Corrugated Cartons PLC,PACK.N0000,123074,50,15.2,15,15.4,15,15.1,-0.1,-0.66
EXTERMINATORS PLC,EXT.N0000,212818,47,7.9,7.8,7.8,7.5,7.7,-0.2,-2.53
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,1875158,1617,64.5,57.8,58.9,55,58.1,-6.4,-9.92
First Capital Treasuries PLC,FCT.N0000,373159,264,31.2,31.4,32,31,31.8,0.6,1.92
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,156600,80,20.2,20.2,20.4,20,20.1,-0.1,-0.5
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,223063,212,103.75,105,114,103,109,5.25,5.06
GESTETNER OF CEYLON PLC,GEST.N0000,2394,16,244.75,244,244,243,243,-1.75,-0.72
GREENTECH ENERGY PLC,MEL.N0000,463612,93,4.9,5,5,4.8,4.9,0,0
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,7434,36,71.8,72,74,70.4,73.8,2,2.79
HARISCHANDRA MILLS PLC,HARI.N0000,1165,195,7424.5,7999,9280.5,7900,8816.25,1391.75,18.75
HATTON NATIONAL BANK PLC,HNB.X0000,615048,256,314,315,316.5,314,316,2,0.64
HATTON NATIONAL BANK PLC,HNB.N0000,194582,184,396,397.5,400,397,398.25,2.25,0.57
HATTON PLANTATIONS PLC,HPL.N0000,71243,41,30.4,30.1,31.1,30.1,30.9,0.5,1.64
HAYCARB PLC,HAYC.N0000,240528,211,114.75,115.5,115.75,114,114,-0.75,-0.65
HAYLEYS FABRIC PLC,MGT.N0000,516759,237,42.7,42.7,43,42.5,42.5,-0.2,-0.47
HAYLEYS FIBRE PLC,HEXP.N0000,39562,77,97.9,96.5,96.5,93.5,93.8,-4.1,-4.19
HAYLEYS LEISURE PLC,CONN.N0000,243725,81,45.2,45,47.5,45,46,0.8,1.77
HAYLEYS PLC,HAYL.N0000,122115,218,191,192,192.5,190.25,191,0,0
HELA APPAREL HOLDINGS PLC,HELA.N0000,3929657,261,3.2,3.2,3.3,3.2,3.2,0,0
HEMAS HOLDINGS PLC,HHL.N0000,1384628,577,35.6,35.7,35.9,35.2,35.4,-0.2,-0.56
HIKKADUWA BEACH RESORT PLC,CITH.N0000,873249,77,3.5,3.6,3.6,3.4,3.5,0,0
HNB ASSURANCE PLC,HASU.N0000,854483,344,116.25,117,123.75,117,122.5,6.25,5.38
HNB FINANCE PLC,HNBF.N0000,1549542,208,9.5,9.6,9.6,9.4,9.5,0,0
HNB FINANCE PLC,HNBF.X0000,838236,123,9.2,9.3,9.4,9.1,9.2,0,0
HORANA PLANTATIONS PLC,HOPL.N0000,5209,5,64.3,61.7,63.3,61.7,63.3,-1,-1.56
HOTEL SIGIRIYA PLC,HSIG.N0000,4396,43,109.75,111,111,107,108.25,-1.5,-1.37
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,144462,111,44.7,45.8,46.8,45.2,45.2,0.5,1.12
hSenid Business Solutions PLC,HBS.N0000,153335,57,12.3,12.4,12.4,12,12,-0.3,-2.44
HUNAS HOLDINGS PLC,HUNA.N0000,2077363,242,26,26,27.1,25.8,26.9,0.9,3.46
HUNTER & COMPANY PLC,HUNT.N0000,546,37,1245.5,1250.5,1556.75,1250.5,1556.75,311.25,24.99
HVA FOODS PLC,HVA.N0000,5165765,381,3.6,3.6,4.2,3.5,4,0.4,11.11
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,33620361,265,0.5,0.5,0.5,0.4,0.5,0,0
JANASHAKTHI FINANCE PLC,BFN.N0000,2070,13,49,49.1,49.1,48.7,48.8,-0.2,-0.41
JANASHAKTHI INSURANCE PLC,JINS.N0000,449064,338,140.25,141,149.75,140.25,148.5,8.25,5.88
JAT HOLDINGS PLC,JAT.N0000,2576837,833,47,47,49.5,47,48.9,1.9,4.04
JETWING SYMPHONY PLC,JETS.N0000,182718,116,20.2,20.5,20.5,20.1,20.4,0.2,0.99
JOHN KEELLS HOLDINGS PLC,JKH.N0000,4981572,921,21.8,21.8,21.9,21.5,21.6,-0.2,-0.92
JOHN KEELLS HOTELS PLC,KHL.N0000,365945,106,27.4,27.3,27.5,27.3,27.5,0.1,0.36
JOHN KEELLS PLC,JKL.N0000,4913,19,84,84,84,83,83.5,-0.5,-0.6
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,8118,14,23.1,23.1,23.4,23.1,23.3,0.2,0.87
KAPRUKA HOLDINGS PLC,KPHL.N0000,105239,26,8.5,8.5,8.6,8.2,8.6,0.1,1.18
KEELLS FOOD PRODUCTS PLC,KFP.N0000,934,9,169.5,169.5,169.5,168,168,-1.5,-0.88
KEGALLE PLANTATIONS PLC,KGAL.N0000,4797,10,140,140.25,141.25,140,140.5,0.5,0.36
KELANI CABLES PLC,KCAB.N0000,35296,167,1130,1130.25,1133,1120,1130,0,0
KELANI TYRES PLC,TYRE.N0000,20737,88,93.2,94.5,94.5,93.1,93.3,0.1,0.11
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,94143,96,97.9,98.3,98.7,97,97.5,-0.4,-0.41
KERNER HAUS GLOBAL SOLUTIONS PLC,CPRT.N0000,352,9,402.5,402.5,454,402.5,442.75,40.25,10
KOTAGALA PLANTATIONS PLC,KOTA.N0000,1537250,134,9.8,9.8,9.9,9.7,9.7,-0.1,-1.02
