Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,7396,135,1166.75,1166.75,1199,1161.25,1193.5,26.75,2.29
ABANS FINANCE PLC,AFSL.N0000,67,3,69,67.6,69,67.6,69,0,0
ACCESS ENGINEERING PLC,AEL.N0000,421139,340,64.5,64.5,65.5,62.8,63.2,-1.3,-2.02
ACL CABLES PLC,ACL.N0000,403322,289,213.25,212,213,210,210,-3.25,-1.52
ACL PLASTICS PLC,APLA.N0000,24179,203,1639.5,1639.5,1780,1635,1751.25,111.75,6.82
ACME PRINTING & PACKAGING PLC,ACME.N0000,182471,57,6.7,6.7,6.7,6.5,6.5,-0.2,-2.99
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,25456,66,66.1,67,67,65.1,65.9,-0.2,-0.3
Agarapatana Plantations PLC,AGPL.N0000,396748,151,23.3,23.4,23.4,22.6,22.8,-0.5,-2.15
AGSTAR PLC,AGST.N0000,1196601,177,9,9,9.2,9,9,0,0
AGSTAR PLC,AGST.X0000,4973,14,12.4,13,13,12,12,-0.4,-3.23
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,139909,119,122,122,124,120.5,121.5,-0.5,-0.41
AITKEN SPENCE PLC,SPEN.N0000,1332501,259,164,165.25,172.75,165.25,171.5,7.5,4.57
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,3107,50,395,395,395,389,389.75,-5.25,-1.33
ALPHA FIRE SERVICES PLC,AFS.N0000,70986,47,25.9,25.8,27,25.8,26.4,0.5,1.93
ALUMEX PLC,ALUM.N0000,2453258,392,22.1,22.1,22.3,21.5,22,-0.1,-0.45
AMANA BANK PLC,ABL.N0000,1151151,342,29,29,29.5,28.9,29.3,0.3,1.03
AMANA TAKAFUL LIFE PLC,ATLL.N0000,887,11,49.1,49.7,49.7,48.2,48.6,-0.5,-1.02
AMANA TAKAFUL PLC,ATL.N0000,424239,87,23.5,23.9,23.9,21.1,22.5,-1,-4.26
AMBEON CAPITAL PLC,TAP.N0000,3463399,518,35,35.3,37,35.3,36.1,1.1,3.14
AMBEON HOLDINGS PLC,GREG.N0000,99945,155,129.75,130,139,130,138.5,8.75,6.74
ARPICO INSURANCE PLC,AINS.N0000,1358,4,36.6,36.8,36.8,36,36.8,0.2,0.55
ASIA ASSET FINANCE PLC,AAF.N0000,81491,84,63.6,62.5,64,61.6,62.2,-1.4,-2.2
ASIA CAPITAL PLC,ACAP.N0000,39272,21,4.6,4.7,4.7,4.5,4.7,0.1,2.17
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,516007,118,9.5,9.5,9.6,9.1,9.3,-0.2,-2.11
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,92580,48,66.9,66.8,67.9,66.8,67,0.1,0.15
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,24377,59,36,36,36,35.2,35.4,-0.6,-1.67
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,15515,44,13.7,13.9,14,13.3,13.5,-0.2,-1.46
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,267108,434,68,67.8,68.5,65.2,66.7,-1.3,-1.91
B P P L HOLDINGS PLC,BPPL.N0000,74274,33,20.5,20.5,20.6,20.3,20.5,0,0
BAIRAHA FARMS PLC,BFL.N0000,10475,76,359.25,362.5,375,353.5,364.5,5.25,1.46
BALANGODA PLANTATIONS PLC,BALA.N0000,208347,118,103.5,103.5,104,98,99.6,-3.9,-3.77
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,15822,13,24.9,24.3,25,24,24.4,-0.5,-2.01
BERUWALA RESORTS PLC,BERU.N0000,458754,106,4,4,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,71163,153,90,90.5,93.6,88,88.2,-1.8,-2
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,100501,5,89.8,89.9,89.9,88,88,-1.8,-2
BROWN & COMPANY PLC,BRWN.N0000,55342,132,185.25,186,187.75,182,182.25,-3,-1.62
BROWNS BEACH HOTELS PLC,BBH.N0000,12814,38,27.4,27.1,27.8,26.5,27,-0.4,-1.46
BROWNS INVESTMENTS PLC,BIL.N0000,11666715,622,7.6,7.6,7.7,7.5,7.6,0,0
BUKIT DARAH PLC,BUKI.N0000,333,14,1067.25,1067,1088,1061,1063.25,-4,-0.37
C I C HOLDINGS PLC,CIC.X0000,110443,200,133,133,135,131.5,132.5,-0.5,-0.38
C I C HOLDINGS PLC,CIC.N0000,390140,268,175,175.25,176,171,172,-3,-1.71
C M HOLDINGS PLC,COLO.N0000,24294,161,488.25,500,584,500,571.75,83.5,17.1
C T HOLDINGS PLC,CTHR.N0000,422090,8,652.5,697.5,697.5,690,652.5,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,13469,32,37.6,37.4,38.8,37.4,37.5,-0.1,-0.27
C. W. MACKIE PLC,CWM.N0000,6674,38,125,125,125,124.25,124.25,-0.75,-0.6
CABLE SOLUTIONS PLC,CSLK.N0000,609712,171,15.9,16.1,16.1,15.5,15.9,0,0
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,993,13,14.7,14.7,15,14.4,14.4,-0.3,-2.04
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,116,4,14,13.6,13.8,13.6,13.6,-0.4,-2.86
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,689192,350,18.4,18.5,18.6,18.2,18.3,-0.1,-0.54
CAPITAL ALLIANCE PLC,CALT.N0000,114822,185,53,53,53.8,52.7,53,0,0
CARGILLS (CEYLON) PLC,CARG.N0000,624332,137,788.75,788,789.5,750,750,-38.75,-4.91
CARGILLS BANK PLC,CBNK.N0000,56858787,1538,9.7,9.8,10.5,9.8,10.3,0.6,6.19
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,7324,20,175,175,185,172.5,179,4,2.29
CARSON CUMBERBATCH PLC,CARS.N0000,1075,20,832.5,825,839,825,832.75,0.25,0.03
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,26634,74,302.75,305,305,302.25,302.75,0,0
CENTRAL INDUSTRIES PLC,CIND.N0000,193651,274,228,232.5,235,225,228.75,0.75,0.33
CEYLINCO HOLDINGS PLC,CINS.N0000,5,3,3125.25,3125.25,3125.25,3125,3125.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,199,16,1820,1820,1825,1820,1824,4,0.22
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,724,20,2607.5,2800,2949.5,2798.5,2824.25,216.75,8.31
CEYLON COLD STORES PLC,CCS.N0000,143555,265,122.75,123.25,123.25,119,120.25,-2.5,-2.04
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,6000,47,365.5,370,371.75,364,364.75,-0.75,-0.21
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,5693,26,286.25,290,294.25,287,288,1.75,0.61
CEYLON HOSPITALS PLC,CHL.X0000,2327,16,154.25,155,158,153,153.75,-0.5,-0.32
CEYLON HOSPITALS PLC,CHL.N0000,24935,43,194.25,195.5,200,186.25,199.25,5,2.57
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,580067,287,48.8,49,49.8,47.5,47.9,-0.9,-1.84
CEYLON INVESTMENT PLC,CINV.N0000,71154,73,130.75,133,133.5,131,132.5,1.75,1.34
CEYLON LAND & EQUITY PLC,KZOO.N0000,1206091,132,11,11,11.3,10.9,11.2,0.2,1.82
CEYLON TEA BROKERS PLC,CTBL.N0000,189635,64,8.3,8.4,8.4,8.1,8.2,-0.1,-1.2
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1267,67,1675.5,1674,1699.75,1674,1689.75,14.25,0.85
CHEMANEX PLC,CHMX.N0000,14997,46,184.75,185.5,185.5,168,181.5,-3.25,-1.76
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,180326,204,180.25,181,186.5,181,182.5,2.25,1.25
CHRISSWORLD PLC,CWL.N0000,111474,43,14.1,14.5,14.5,13.7,13.9,-0.2,-1.42
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,206,8,390,397.75,398,386,386.25,-3.75,-0.96
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,11617,84,304.75,308,312,308,311.75,7,2.3
CITRUS LEISURE PLC,REEF.N0000,202964,34,4.4,4.5,4.5,4.3,4.3,-0.1,-2.27
Co-operative Insurance Company PLC,COOP.N0000,821905,109,4.6,4.7,4.7,4.5,4.6,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,16117,53,169,165,172,162,162.75,-6.25,-3.7
COLOMBO DOCKYARD PLC,DOCK.N0000,2601117,540,124.5,124.5,134.5,124.5,129.5,5,4.02
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,3916,25,311,311,311,307.5,307.5,-3.5,-1.13
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,3156,30,390.75,397.75,397.75,380,382.75,-8,-2.05
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,4103021,267,43.5,45,45.8,44.4,45.1,1.6,3.68
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,1854748,493,194.75,196,198,195.75,196.25,1.5,0.77
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,445058,225,182,182,184.75,182,183.25,1.25,0.69
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,241918,278,140.75,141,144.5,140.75,143,2.25,1.6
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,516,14,238,238,240.5,237.5,239,1,0.42
CONVENIENCE FOODS LANKA PLC,SOY.N0000,233,36,1990,1997.5,1997.75,1935,1943.25,-46.75,-2.35
DANKOTUWA PORCELAIN PLC,DPL.N0000,289023,165,20.1,20.1,20.1,19.4,19.7,-0.4,-1.99
DFCC BANK PLC,DFCC.N0000,1369364,344,164.25,164.5,166.25,164,164.75,0.5,0.3
DIALOG AXIATA PLC,DIAL.N0000,1644295,235,27.1,27.1,27.1,26.8,26.9,-0.2,-0.74
DIALOG FINANCE PLC,CALF.N0000,3942,54,86,86,86,80,81.7,-4.3,-5
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,3893,104,2235.5,2238,2239,2061,2109,-126.5,-5.66
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,263411,409,143.25,143,145,140.75,141.5,-1.75,-1.22
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,270,12,1155.25,1157,1184.75,1157,1161.75,6.5,0.56
DIPPED PRODUCTS PLC,DIPD.N0000,1862953,855,71,71.6,74.5,71.2,71.5,0.5,0.7
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,1908665,518,62.9,62.7,67.4,62.3,66.6,3.7,5.88
DOLPHIN HOTELS PLC,STAF.N0000,75735,86,68,68.9,69.5,67,67.6,-0.4,-0.59
E - CHANNELLING PLC,ECL.N0000,132929,42,15.6,15.9,15.9,15.4,15.9,0.3,1.92
E B CREASY & COMPANY PLC,EBCR.N0000,724586,147,68.7,68.3,70.8,68.3,70.1,1.4,2.04
E M L CONSULTANTS PLC,EML.N0000,37651,24,4.7,4.8,4.9,4.7,4.7,0,0
EAST WEST PROPERTIES PLC,EAST.N0000,887260,296,63.3,64,66.5,64,65.8,2.5,3.95
