Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,8290,70,556,569,585,569,579.75,23.75,4.27
ABANS FINANCE PLC,AFSL.N0000,1259,9,71.1,72,73,72,72.5,1.4,1.97
ACCESS ENGINEERING PLC,AEL.N0000,751050,290,59.1,59.3,59.8,58.8,59,-0.1,-0.17
ACL CABLES PLC,ACL.N0000,103970,108,182.75,181.25,183,180.25,181,-1.75,-0.96
ACL PLASTICS PLC,APLA.N0000,1044,56,750.25,754.25,754.25,730.25,740,-10.25,-1.37
ACME PRINTING & PACKAGING PLC,ACME.N0000,28106,16,5.2,5.3,5.3,5.1,5.2,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,130815,77,61.9,62,62.9,61.1,62.2,0.3,0.48
Agarapatana Plantations PLC,AGPL.N0000,3855158,1030,19.9,20,22.7,19.5,22.4,2.5,12.56
AGSTAR PLC,AGST.N0000,224613,54,7.9,7.9,8,7.8,7.9,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,55423,84,83.1,83.9,84.6,82.7,83.3,0.2,0.24
AITKEN SPENCE PLC,SPEN.N0000,242313,80,143.25,144.75,146,143.5,145,1.75,1.22
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,5132,43,406,405,413.75,403,404.75,-1.25,-0.31
ALPHA FIRE SERVICES PLC,AFS.N0000,39728,108,23.1,24,24,22.5,23.5,0.4,1.73
ALUMEX PLC,ALUM.N0000,619772,149,17.2,17.3,17.4,17.1,17.2,0,0
AMANA BANK PLC,ABL.N0000,159578,71,24,24.4,25,24.1,24.4,0.4,1.67
AMANA TAKAFUL LIFE PLC,ATLL.N0000,834,18,34.2,33.2,34.5,32.5,32.9,-1.3,-3.8
AMANA TAKAFUL PLC,ATL.N0000,10739,12,15.4,15.4,15.4,15.2,15.2,-0.2,-1.3
AMBEON CAPITAL PLC,TAP.N0000,331015,105,26.2,26.8,26.8,26,26,-0.2,-0.76
AMBEON HOLDINGS PLC,GREG.N0000,41943,36,97.3,98.8,99.7,96.4,99.2,1.9,1.95
ARPICO INSURANCE PLC,AINS.N0000,816,9,38.7,39.1,39.2,37.2,38.6,-0.1,-0.26
ASIA ASSET FINANCE PLC,AAF.N0000,469731,141,49.9,50,50,49,49.2,-0.7,-1.4
ASIA CAPITAL PLC,ACAP.N0000,29761,15,4.6,4.6,4.6,4.3,4.6,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1245709,173,6.8,6.9,7.4,6.9,7.2,0.4,5.88
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,39241,35,66,66.9,67,65.1,66.4,0.4,0.61
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,41027,43,34,33.9,35,33,33.7,-0.3,-0.88
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,24416,37,13.2,13.3,13.7,13.2,13.3,0.1,0.76
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,537411,499,75.1,75.4,80.1,75.4,76.8,1.7,2.26
B P P L HOLDINGS PLC,BPPL.N0000,7503,13,20.2,20.2,20.2,20.1,20.1,-0.1,-0.5
BAIRAHA FARMS PLC,BFL.N0000,151887,384,237.25,229,229,210,220.25,-17,-7.17
BALANGODA PLANTATIONS PLC,BALA.N0000,3415,31,83.9,86.2,86.3,82,83,-0.9,-1.07
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,1250,9,21.9,20.6,21.5,20.6,21.5,-0.4,-1.83
BERUWALA RESORTS PLC,BERU.N0000,243336,36,4,4,4.2,4,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,9183,28,59.9,60,60,59,59.2,-0.7,-1.17
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,1298,11,78.3,78.5,78.5,78.2,78.4,0.1,0.13
BROWN & COMPANY PLC,BRWN.N0000,46469,148,184.75,184.5,185.75,180.5,181.25,-3.5,-1.89
BROWNS BEACH HOTELS PLC,BBH.N0000,179659,88,23.9,23.5,24.4,23.4,24.2,0.3,1.26
BROWNS INVESTMENTS PLC,BIL.N0000,1988810,280,7.8,7.8,7.9,7.7,7.7,-0.1,-1.28
BUKIT DARAH PLC,BUKI.N0000,3325,26,779.25,785,799.5,785,790,10.75,1.38
C I C HOLDINGS PLC,CIC.X0000,570798,449,105.75,106,107.25,104.5,104.75,-1,-0.95
C I C HOLDINGS PLC,CIC.N0000,304848,346,142.5,144,144.75,139.75,140.25,-2.25,-1.58
C M HOLDINGS PLC,COLO.N0000,11656,54,385.25,395,395,375,380,-5.25,-1.36
C T HOLDINGS PLC,CTHR.N0000,353,2,612,605,615,605,615,3,0.49
C T LAND DEVELOPMENT PLC,CTLD.N0000,4612,10,33,34.4,34.4,33.9,33.9,0.9,2.73
C. W. MACKIE PLC,CWM.N0000,756,11,124.25,124.75,124.75,123,123.25,-1,-0.8
CABLE SOLUTIONS PLC,CSLK.N0000,187434,67,15,15.1,15.3,15,15,0,0
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,3,1,14.7,14.7,14.7,14.7,14.7,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,2307887,290,16.9,17,17.7,17,17.5,0.6,3.55
CAPITAL ALLIANCE PLC,CALT.N0000,1175642,528,53,55,56,54.9,55.9,2.9,5.47
CARGILLS (CEYLON) PLC,CARG.N0000,71842,35,606.75,610,628.5,610,615,8.25,1.36
CARGILLS BANK PLC,CBNK.N0000,704156,145,9.2,9.4,9.5,9.1,9.4,0.2,2.17
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,21862,29,140.25,140.25,143,140,140,-0.25,-0.18
CARSON CUMBERBATCH PLC,CARS.N0000,6377,51,548.25,548,569.5,548,560.25,12,2.19
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,173044,111,310,310,310.5,307.25,309.75,-0.25,-0.08
CENTRAL INDUSTRIES PLC,CIND.N0000,4475,29,177,179,179,175,175.25,-1.75,-0.99
CEYLINCO HOLDINGS PLC,CINS.X0000,581,7,1600.25,1600,1623.75,1600,1600,-0.25,-0.02
CEYLON COLD STORES PLC,CCS.N0000,175743,124,112,112,112,111,111.25,-0.75,-0.67
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,5300,36,346.75,345.75,346,335.25,336,-10.75,-3.1
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,7402,43,212,212,214,211,212.75,0.75,0.35
CEYLON HOSPITALS PLC,CHL.X0000,1381,12,128.5,130,130,120.25,120.75,-7.75,-6.03
CEYLON HOSPITALS PLC,CHL.N0000,63,4,165,160,165,160,165,0,0
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,78194,59,26.4,26.4,26.4,25.5,25.7,-0.7,-2.65
CEYLON INVESTMENT PLC,CINV.N0000,48786,68,112,111,114,111,112,0,0
CEYLON LAND & EQUITY PLC,KZOO.N0000,9012556,1102,9.9,10.1,11.4,10.1,10.8,0.9,9.09
CEYLON PRINTERS PLC,CPRT.N0000,266,7,290,290,302,290,292,2,0.69
CEYLON TEA BROKERS PLC,CTBL.N0000,365355,43,7.2,7.2,7.4,7.2,7.3,0.1,1.39
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1895,47,1551.25,1559.5,1560,1550,1560,8.75,0.56
CHEMANEX PLC,CHMX.N0000,11648,21,170.25,165.25,169,159,167.75,-2.5,-1.47
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,65637,111,171,172,172.5,169,170.5,-0.5,-0.29
CHRISSWORLD PLC,CWL.N0000,5750,3,10.9,10.9,10.9,10.8,10.8,-0.1,-0.92
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,3634,46,312.75,312.75,312.75,301.25,312,-0.75,-0.24
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,503,10,389.75,398,398,391.5,394.75,5,1.28
CITRUS LEISURE PLC,REEF.N0000,90041,27,3.9,4,4,3.9,4,0.1,2.56
Co-operative Insurance Company PLC,COOP.N0000,6407371,314,4.8,4.8,4.8,4.4,4.5,-0.3,-6.25
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,48971,76,92,90,93.8,90,92.4,0.4,0.43
COLOMBO DOCKYARD PLC,DOCK.N0000,89071,149,97.5,99,102,98.9,99.4,1.9,1.95
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,9900,69,302.75,310,318.5,308,314,11.25,3.72
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,6545,62,367.5,365.25,389.5,365.25,383.75,16.25,4.42
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,192575,50,31.4,30.9,32.4,30.9,31.9,0.5,1.59
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,95137,138,173.25,173.25,174,173,173.5,0.25,0.14
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,484726,105,147.75,147.75,149,147.5,148,0.25,0.17
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,301606,230,118,117,118.75,116,118,0,0
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,982,8,245,239,246.5,239,240.75,-4.25,-1.73
CONVENIENCE FOODS LANKA PLC,SOY.N0000,2422,80,1641.5,1650,1742,1625.25,1692.5,51,3.11
DANKOTUWA PORCELAIN PLC,DPL.N0000,7759,23,22.1,22.8,23,22,22.1,0,0
DFCC BANK PLC,DFCC.N0000,364120,344,153.25,153,154,150,151.25,-2,-1.31
DIALOG AXIATA PLC,DIAL.N0000,1177273,106,19.1,19.1,19.3,19.1,19.3,0.2,1.05
DIALOG FINANCE PLC,CALF.N0000,63540,266,78.3,81,91,76,79,0.7,0.89
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,167,17,1299.75,1305,1345,1285.5,1327,27.25,2.1
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,632870,420,89.5,90,94.5,89.9,92.6,3.1,3.46
