Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2401,48,579,579.75,580,565,570.25,-8.75,-1.51
ABANS FINANCE PLC,AFSL.N0000,1652,5,75.4,75,75,74.2,74.2,-1.2,-1.59
ACCESS ENGINEERING PLC,AEL.N0000,4882592,431,60.2,60,60.5,59.7,60.2,0,0
ACL CABLES PLC,ACL.N0000,560985,350,184.25,187,190.75,186,189,4.75,2.58
ACL PLASTICS PLC,APLA.N0000,9265,52,755.5,769,775,759.5,760,4.5,0.6
ACME PRINTING & PACKAGING PLC,ACME.N0000,60206,31,5.2,5.2,5.3,5,5,-0.2,-3.85
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,199462,98,62.4,62.4,64.4,61.9,63.7,1.3,2.08
Agarapatana Plantations PLC,AGPL.N0000,298919,128,19,19.3,19.9,18.9,19.7,0.7,3.68
AGSTAR PLC,AGST.N0000,41591,28,8,8,8.1,7.9,8,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,18944,53,83.3,84,84,83.2,84,0.7,0.84
AITKEN SPENCE PLC,SPEN.N0000,17399,40,141.75,141.25,142.25,141.25,141.25,-0.5,-0.35
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,9248,48,401.25,410,410,399,400.25,-1,-0.25
ALPHA FIRE SERVICES PLC,AFS.N0000,838490,420,15.9,16.3,18.3,16.3,18.1,2.2,13.84
ALUMEX PLC,ALUM.N0000,1219564,229,18.7,18.8,18.8,18.3,18.5,-0.2,-1.07
AMANA BANK PLC,ABL.N0000,248127,58,24,23.9,24.2,23.5,23.9,-0.1,-0.42
AMANA TAKAFUL LIFE PLC,ATLL.N0000,2,2,34.5,34.5,36,34.5,34.5,0,0
AMANA TAKAFUL PLC,ATL.N0000,8218,16,15.8,15.2,15.9,15.2,15.5,-0.3,-1.9
AMBEON CAPITAL PLC,TAP.N0000,240006,101,27.6,27.6,27.8,26.6,27.6,0,0
AMBEON HOLDINGS PLC,GREG.N0000,88319,66,93.4,94.4,94.8,91,94.1,0.7,0.75
ARPICO INSURANCE PLC,AINS.N0000,11487,23,37.4,37.4,38.8,36,36.3,-1.1,-2.94
ASIA ASSET FINANCE PLC,AAF.N0000,135736,80,50.6,52,52,50,50.2,-0.4,-0.79
ASIA CAPITAL PLC,ACAP.N0000,27849,39,4.6,4.5,4.6,4.5,4.5,-0.1,-2.17
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,355877,69,7.2,7.3,7.4,7.1,7.2,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,547241,73,67.2,66.9,67.9,66,66.8,-0.4,-0.6
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,17871,24,34.7,34.5,35.6,34.1,35.4,0.7,2.02
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,21341,21,13.4,13.5,13.8,13.4,13.5,0.1,0.75
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,67966,66,61.9,61.9,62.6,60.9,61.1,-0.8,-1.29
B P P L HOLDINGS PLC,BPPL.N0000,25094,40,20,20.1,20.1,19,19.6,-0.4,-2
BAIRAHA FARMS PLC,BFL.N0000,19946,49,245.25,245,247,240,242.75,-2.5,-1.02
BALANGODA PLANTATIONS PLC,BALA.N0000,196983,107,85.1,85,88.5,84.8,87.1,2,2.35
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,77216,29,22.1,22.4,22.5,22,22.1,0,0
BERUWALA RESORTS PLC,BERU.N0000,1395972,73,4,4,4.2,3.9,4.1,0.1,2.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,124572,249,64.6,64.5,66.7,63,65.2,0.6,0.93
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,141532,82,77.1,76.9,81.5,75.5,80.5,3.4,4.41
BROWN & COMPANY PLC,BRWN.N0000,77134,201,186.5,187.5,193.75,187.5,189,2.5,1.34
BROWNS BEACH HOTELS PLC,BBH.N0000,24607,30,20.1,20.1,21.1,20.1,21,0.9,4.48
BROWNS INVESTMENTS PLC,BIL.N0000,22545717,846,7.7,7.8,8.1,7.8,7.9,0.2,2.6
BUKIT DARAH PLC,BUKI.N0000,18,3,799.25,799.5,799.5,799,799.25,0,0
C I C HOLDINGS PLC,CIC.X0000,78583,63,100,100.5,101,99,99.6,-0.4,-0.4
C I C HOLDINGS PLC,CIC.N0000,123653,71,135.5,137.5,137.5,133.75,134.75,-0.75,-0.55
C M HOLDINGS PLC,COLO.N0000,1256,13,384.5,385,385,372,375.5,-9,-2.34
C T HOLDINGS PLC,CTHR.N0000,2004,4,589.75,577,589.75,577,589.75,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,10903,28,31.3,32.4,32.4,31,31.9,0.6,1.92
C. W. MACKIE PLC,CWM.N0000,108491,74,123,123,123,121,122,-1,-0.81
CABLE SOLUTIONS PLC,CSLK.N0000,1552520,161,15.2,15.4,15.4,15,15.3,0.1,0.66
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,70,1,15.2,14.6,14.6,14.6,15.2,0,0
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,190,5,13.8,13.6,13.7,13.5,13.6,-0.2,-1.45
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,214488,81,17,17.2,17.3,17,17,0,0
CAPITAL ALLIANCE PLC,CALT.N0000,50870,137,53.9,53.8,53.8,53.4,53.5,-0.4,-0.74
CARGILLS (CEYLON) PLC,CARG.N0000,39,6,600,600,602.25,598,600,0,0
CARGILLS BANK PLC,CBNK.N0000,764221,126,9.3,9.2,9.4,9.2,9.3,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,10822,38,135.25,141,141,138,141,5.75,4.25
CARSON CUMBERBATCH PLC,CARS.N0000,1681,34,510,518,519,517.25,519,9,1.76
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,424336,142,308.25,308.25,310,307,310,1.75,0.57
CENTRAL INDUSTRIES PLC,CIND.N0000,32454,83,179.5,180,182,179.5,181.25,1.75,0.97
CEYLINCO HOLDINGS PLC,CINS.N0000,6,3,3179.5,3095.25,3198.5,3095.25,3179.5,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,389,6,1584.25,1581,1581,1580,1580,-4.25,-0.27
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,5,2,2736.5,2784,2784,2784,2736.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,25321,129,110,110,110,108.5,109.5,-0.5,-0.45
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,12636,53,340,345,345,334,338.25,-1.75,-0.51
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,13398,40,207.25,213,215,211,211.75,4.5,2.17
CEYLON HOSPITALS PLC,CHL.X0000,7664,14,126.5,128,138.75,128,132,5.5,4.35
CEYLON HOSPITALS PLC,CHL.N0000,1430,21,169.75,169.75,172,169,170,0.25,0.15
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,49684,38,25.8,25.9,26,25.1,25.7,-0.1,-0.39
CEYLON INVESTMENT PLC,CINV.N0000,61897,155,113.75,114.25,114.5,111,111.75,-2,-1.76
CEYLON LAND & EQUITY PLC,KZOO.N0000,188150,49,10.2,10.2,10.3,9.9,10,-0.2,-1.96
CEYLON PRINTERS PLC,CPRT.N0000,15,3,290,280,290,280,290,0,0
CEYLON TEA BROKERS PLC,CTBL.N0000,98951,48,7.2,7.3,7.4,7.2,7.3,0.1,1.39
CEYLON TOBACCO COMPANY PLC,CTC.N0000,2358,47,1528.5,1528.5,1540,1520,1536.75,8.25,0.54
CHEMANEX PLC,CHMX.N0000,3610,28,169,169,169,162,162.75,-6.25,-3.7
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,331431,262,166.5,167,184.5,167,170.25,3.75,2.25
CHRISSWORLD PLC,CWL.N0000,9130,17,11,11.1,11.7,11,11,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,32990,22,316,324.75,325,317,322,6,1.9
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,384,15,401.25,390,400,390,400,-1.25,-0.31
CITRUS LEISURE PLC,REEF.N0000,53141,38,3.9,4,4,3.9,3.9,0,0
Co-operative Insurance Company PLC,COOP.N0000,2072071,172,4.5,4.5,4.8,4.4,4.6,0.1,2.22
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,24868,58,88.1,85.7,91.1,85.7,89.4,1.3,1.48
COLOMBO DOCKYARD PLC,DOCK.N0000,35634,134,97.2,97.2,98.9,95.7,96,-1.2,-1.23
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,8100,81,261.25,277,278,256,270.5,9.25,3.54
