Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1905,75,1224.5,1249.25,1300,1230,1243.75,19.25,1.57
ABANS FINANCE PLC,AFSL.N0000,7536,28,80,80.1,80.9,75,78,-2,-2.5
ACCESS ENGINEERING PLC,AEL.N0000,3921983,498,69.3,70,71,69.5,70.6,1.3,1.88
ACL CABLES PLC,ACL.N0000,39170,70,219.5,221.5,222,220,220.75,1.25,0.57
ACL PLASTICS PLC,APLA.N0000,1574,98,1614.25,1650,1650,1595,1649.75,35.5,2.2
ACME PRINTING & PACKAGING PLC,ACME.N0000,55345,56,6.4,6.5,6.5,6.1,6.2,-0.2,-3.13
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,5835,32,57.4,59,59,56.9,57.5,0.1,0.17
Agarapatana Plantations PLC,AGPL.N0000,31786,60,20,20,20,19.8,20,0,0
AGSTAR PLC,AGST.N0000,124222,36,9.3,9.3,9.4,9.1,9.2,-0.1,-1.08
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,57638,100,116,117,118,117,118,2,1.72
AITKEN SPENCE PLC,SPEN.N0000,5449,26,160,162,162,156,160,0,0
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,388,28,399.75,395.25,400,394.75,396.25,-3.5,-0.88
ALPHA FIRE SERVICES PLC,AFS.N0000,6180,8,26.6,26,27.5,26,27,0.4,1.5
ALUMEX PLC,ALUM.N0000,319970,137,18.8,19,19,18.7,18.9,0.1,0.53
AMANA BANK PLC,ABL.N0000,81924,74,30.9,30.9,31.2,30.5,30.6,-0.3,-0.97
AMANA TAKAFUL LIFE PLC,ATLL.N0000,17657,52,40,40,43.9,40,40.1,0.1,0.25
AMANA TAKAFUL PLC,ATL.N0000,51070,23,28,28.8,28.9,27.5,28,0,0
