Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1534,67,1159.25,1191,1195,1180,1182.5,23.25,2.01
ABANS FINANCE PLC,AFSL.N0000,455,9,66.7,66,69,65.7,66.2,-0.5,-0.75
ACCESS ENGINEERING PLC,AEL.N0000,379353,280,63,63,63,62,62.1,-0.9,-1.43
ACL CABLES PLC,ACL.N0000,32539,57,210.75,212.75,213,209,210,-0.75,-0.36
ACL PLASTICS PLC,APLA.N0000,5925,143,1691.75,1700,1750,1550.5,1580.75,-111,-6.56
ACME PRINTING & PACKAGING PLC,ACME.N0000,42979,23,6.4,6.5,6.7,6.5,6.6,0.2,3.13
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,28338,42,64.9,64.1,65.5,64.1,64.7,-0.2,-0.31
Agarapatana Plantations PLC,AGPL.N0000,286410,131,23,23,23,22.1,22.2,-0.8,-3.48
AGSTAR PLC,AGST.N0000,465593,92,8.9,9,9,8.8,8.9,0,0
AGSTAR PLC,AGST.X0000,7405,5,12.1,12.1,12.1,12,12,-0.1,-0.83
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,288624,101,124.5,123.5,125,121.5,122,-2.5,-2.01
AITKEN SPENCE PLC,SPEN.N0000,68237,51,172,173,173,168.75,169,-3,-1.74
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2617,33,380.25,379,390,379,381.75,1.5,0.39
ALPHA FIRE SERVICES PLC,AFS.N0000,52432,36,26.5,27.3,27.3,26,26.1,-0.4,-1.51
ALUMEX PLC,ALUM.N0000,1574001,194,22,21.8,22,21.7,22,0,0
AMANA BANK PLC,ABL.N0000,438221,122,29,28.9,29.1,28.7,28.9,-0.1,-0.34
AMANA TAKAFUL LIFE PLC,ATLL.N0000,510,12,48.1,47.7,49.8,47.6,47.6,-0.5,-1.04
AMANA TAKAFUL PLC,ATL.N0000,23613,26,22.6,22.4,22.5,22,22.3,-0.3,-1.33
AMBEON CAPITAL PLC,TAP.N0000,2767095,428,35.6,35.9,37.5,35,36.8,1.2,3.37
AMBEON HOLDINGS PLC,GREG.N0000,139847,76,136.25,136,140,130.25,137.5,1.25,0.92
ARPICO INSURANCE PLC,AINS.N0000,130144,52,38,38.9,40,38.8,38.8,0.8,2.11
ASIA ASSET FINANCE PLC,AAF.N0000,317452,264,61.6,62.7,63.8,62,63.2,1.6,2.6
ASIA CAPITAL PLC,ACAP.N0000,41470,20,4.6,4.5,4.7,4.5,4.6,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,887164,148,9.3,9.2,9.3,8.9,9,-0.3,-3.23
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,8510,11,67,68,68,66.4,66.4,-0.6,-0.9
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,143765,85,35,35.3,35.3,34,34.6,-0.4,-1.14
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,8364,16,13.2,13.4,13.7,13.3,13.3,0.1,0.76
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,267987,340,73.2,74,75,70,71.5,-1.7,-2.32
B P P L HOLDINGS PLC,BPPL.N0000,17952,20,20.4,20.2,20.5,20,20.4,0,0
BAIRAHA FARMS PLC,BFL.N0000,76355,86,355,358.5,368.75,358.5,363.5,8.5,2.39
BALANGODA PLANTATIONS PLC,BALA.N0000,11556,43,100,102,102,98.2,99,-1,-1
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,17285,12,23.7,24,24,24,24,0.3,1.27
BERUWALA RESORTS PLC,BERU.N0000,141869,56,4,3.9,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,74852,128,88.4,88.5,89,85,86.2,-2.2,-2.49
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,2795,19,87.3,85.7,87.9,85,85.2,-2.1,-2.41
BROWN & COMPANY PLC,BRWN.N0000,77146,194,184.5,185,186,181,182.25,-2.25,-1.22
BROWNS BEACH HOTELS PLC,BBH.N0000,27672,16,26.8,26.9,27,26.2,26.8,0,0
BROWNS INVESTMENTS PLC,BIL.N0000,10198921,589,7.5,7.5,7.6,7.4,7.5,0,0
BUKIT DARAH PLC,BUKI.N0000,4406,59,1100,1113,1199.75,1057,1190.5,90.5,8.23
C I C HOLDINGS PLC,CIC.X0000,200846,191,132,132,132,128,128.25,-3.75,-2.84
C I C HOLDINGS PLC,CIC.N0000,434354,153,170,169.5,172.5,169,169.25,-0.75,-0.44
C M HOLDINGS PLC,COLO.N0000,2184,30,550.25,550,560,530.25,536.75,-13.5,-2.45
C T HOLDINGS PLC,CTHR.N0000,408666,31,651,651,657,650.5,651,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,10260,17,38,38.4,38.4,37,37,-1,-2.63
C. W. MACKIE PLC,CWM.N0000,4389,31,124.5,123.5,125,123,123.5,-1,-0.8
CABLE SOLUTIONS PLC,CSLK.N0000,227325,71,15.7,15.8,15.9,15.5,15.8,0.1,0.64
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,2639,10,14.9,14.9,14.9,14.2,14.2,-0.7,-4.7
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,642,4,13.6,14,14,13.7,14,0.4,2.94
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,479645,198,18.4,18.4,18.4,18.2,18.2,-0.2,-1.09
CAPITAL ALLIANCE PLC,CALT.N0000,597226,440,52.7,53.3,53.4,51.9,52,-0.7,-1.33
CARGILLS (CEYLON) PLC,CARG.N0000,508581,72,750,750,789,750,767.25,17.25,2.3
CARGILLS BANK PLC,CBNK.N0000,2464017,305,10.1,10.3,10.4,10.1,10.1,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,2920,16,177.25,175,175,172.75,173.75,-3.5,-1.97
CARSON CUMBERBATCH PLC,CARS.N0000,239530,241,845,855,980,855,903.5,58.5,6.92
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,21120,81,302.25,302,302,299.5,299.75,-2.5,-0.83
CENTRAL INDUSTRIES PLC,CIND.N0000,95666,247,233.75,235,235,228,231.25,-2.5,-1.07
CEYLINCO HOLDINGS PLC,CINS.N0000,1,1,3125.25,3135,3135,3135,3125.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,1276,8,1825,1898,1898.5,1830,1892.5,67.5,3.7
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,74,6,2824.25,2680,2920,2680,2824.25,0,0
CEYLON COLD STORES PLC,CCS.N0000,87402,132,119.5,120,120.5,117.75,118.5,-1,-0.84
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,4580,34,363.25,359,367,359,365.5,2.25,0.62
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,41977,42,286.5,288,290,285,285.25,-1.25,-0.44
CEYLON HOSPITALS PLC,CHL.X0000,11795,32,157.25,164.75,164.75,154,160,2.75,1.75
