Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,13174,153,1020,1020,1048,1010.25,1040,20,1.96
ABANS FINANCE PLC,AFSL.N0000,2008,9,70,70,70,67,67.1,-2.9,-4.14
ACCESS ENGINEERING PLC,AEL.N0000,382250,250,61.9,61.9,61.9,60.7,61,-0.9,-1.45
ACL CABLES PLC,ACL.N0000,208766,129,199.75,198,201.75,194,200.5,0.75,0.38
ACL PLASTICS PLC,APLA.N0000,12931,199,1249.5,1255,1391.25,1255,1377.75,128.25,10.26
ACME PRINTING & PACKAGING PLC,ACME.N0000,37119,24,6.8,6.9,6.9,6.7,6.8,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,771096,351,66,66.8,69,66.8,67.9,1.9,2.88
Agarapatana Plantations PLC,AGPL.N0000,768762,290,22.8,22.8,24,22.7,23.9,1.1,4.82
AGSTAR PLC,AGST.N0000,604010,95,9.4,9.4,9.5,9.1,9.2,-0.2,-2.13
AGSTAR PLC,AGST.X0000,13250,6,11,11.3,11.3,11.2,11.3,0.3,2.73
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,109625,192,122.75,122,122.5,118,119.75,-3,-2.44
AITKEN SPENCE PLC,SPEN.N0000,4785,40,165.25,163.5,164,162.5,162.75,-2.5,-1.51
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,3661,42,396.75,396.75,405,395,396.75,0,0
ALPHA FIRE SERVICES PLC,AFS.N0000,26156,10,27,28,28,27,27.1,0.1,0.37
ALUMEX PLC,ALUM.N0000,2957061,358,20.7,20.7,21.4,20.5,21,0.3,1.45
AMANA BANK PLC,ABL.N0000,346999,183,28.1,28.1,28.3,28.1,28.2,0.1,0.36
AMANA TAKAFUL LIFE PLC,ATLL.N0000,3396,16,51.9,50,51.8,50,50,-1.9,-3.66
AMANA TAKAFUL PLC,ATL.N0000,12070,16,22.6,23,23.6,22.3,22.4,-0.2,-0.88
AMBEON CAPITAL PLC,TAP.N0000,263974,91,30.1,30.3,30.7,30.1,30.3,0.2,0.66
AMBEON HOLDINGS PLC,GREG.N0000,8229,25,119,119.5,120,118,119.5,0.5,0.42
ASIA ASSET FINANCE PLC,AAF.N0000,340262,224,63.1,62.5,62.5,60.7,62,-1.1,-1.74
ASIA CAPITAL PLC,ACAP.N0000,16389,17,4.6,4.8,4.8,4.7,4.8,0.2,4.35
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,915828,130,9.3,9.5,9.8,9.4,9.7,0.4,4.3
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,20357,28,66.8,67.5,69.5,67,67,0.2,0.3
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,35350,44,37,37,37,35.7,36.5,-0.5,-1.35
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,34844,28,13.6,13.3,13.7,13.3,13.5,-0.1,-0.74
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,1658893,1730,91.7,89,89,75,79.8,-11.9,-12.98
B P P L HOLDINGS PLC,BPPL.N0000,22447,12,20,19.9,20,19.8,19.9,-0.1,-0.5
BAIRAHA FARMS PLC,BFL.N0000,182961,325,351,359,374,355,358.75,7.75,2.21
BALANGODA PLANTATIONS PLC,BALA.N0000,151663,169,98.6,102,105,100.75,103.25,4.65,4.72
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,4453,15,24.9,25.5,25.5,24.4,24.4,-0.5,-2.01
BERUWALA RESORTS PLC,BERU.N0000,725050,83,4.2,4.2,4.2,4,4.2,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,21803,48,82,82,82,81,81.5,-0.5,-0.61
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,153787,39,86.4,86.2,87.8,83.5,87.8,1.4,1.62
BROWN & COMPANY PLC,BRWN.N0000,9442,59,185.5,188.75,188.75,185.25,186,0.5,0.27
BROWNS BEACH HOTELS PLC,BBH.N0000,4990,16,27.9,27.9,27.9,27.3,27.3,-0.6,-2.15
BROWNS INVESTMENTS PLC,BIL.N0000,3817742,342,7.7,7.8,7.8,7.6,7.7,0,0
BUKIT DARAH PLC,BUKI.N0000,9298,53,987.75,987,1099.5,980,1001.25,13.5,1.37
C I C HOLDINGS PLC,CIC.X0000,660917,385,127.75,129.25,132.75,129.25,131,3.25,2.54
C I C HOLDINGS PLC,CIC.N0000,424422,448,165,167.5,170,167,168.25,3.25,1.97
C M HOLDINGS PLC,COLO.N0000,13941,100,460,465,494.75,465,489.5,29.5,6.41
C T HOLDINGS PLC,CTHR.N0000,34,5,672,675,685,675,672,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,1774,13,36.9,37.5,37.5,36.9,37,0.1,0.27
C. W. MACKIE PLC,CWM.N0000,4332,29,123.75,123.75,124.5,122.75,123.75,0,0
CABLE SOLUTIONS PLC,CSLK.N0000,544479,104,15.3,15.3,15.3,14.9,15,-0.3,-1.96
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,312,6,14.7,15.9,15.9,15.1,15.7,1,6.8
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,760,3,14,13.7,13.9,13.6,13.9,-0.1,-0.71
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,779016,105,18,18,18.3,17.8,17.9,-0.1,-0.56
CAPITAL ALLIANCE PLC,CALT.N0000,114828,186,52.8,53.5,54.8,52.7,53.1,0.3,0.57
CARGILLS (CEYLON) PLC,CARG.N0000,312,28,787,790,790,780,781.75,-5.25,-0.67
CARGILLS BANK PLC,CBNK.N0000,1164067,183,9.6,9.6,9.7,9.4,9.6,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,3820,25,178,180,180,178,178,0,0
CARSON CUMBERBATCH PLC,CARS.N0000,23658,85,789,790,895,790,881,92,11.66
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,177325,143,303.25,303,305,301.25,303.5,0.25,0.08
CENTRAL INDUSTRIES PLC,CIND.N0000,17956,49,202.75,204.75,205,199,202.25,-0.5,-0.25
CEYLINCO HOLDINGS PLC,CINS.N0000,42,7,3102.5,3200,3228.5,3200,3102.5,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,1381,29,1820,1820,1820,1810,1817.75,-2.25,-0.12
CEYLON COLD STORES PLC,CCS.N0000,304630,196,114,114.25,116.75,114.25,115,1,0.88
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,12650,111,374,374,374,366,367.75,-6.25,-1.67
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,33738,34,281,285,290,280,285,4,1.42
CEYLON HOSPITALS PLC,CHL.X0000,401,13,147.5,150,162.75,150,160.75,13.25,8.98
CEYLON HOSPITALS PLC,CHL.N0000,2791,14,184,181.25,185,181,181,-3,-1.63
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,245002,201,44.7,45,45,42.5,43.3,-1.4,-3.13
CEYLON INVESTMENT PLC,CINV.N0000,28256,43,130,130,131.5,128.75,130,0,0
CEYLON LAND & EQUITY PLC,KZOO.N0000,193812,54,10.4,10.4,10.7,10.3,10.5,0.1,0.96
CEYLON TEA BROKERS PLC,CTBL.N0000,63705,43,8.2,8.2,8.5,8.2,8.4,0.2,2.44
CEYLON TOBACCO COMPANY PLC,CTC.N0000,3299,51,1648.5,1645,1650,1635,1647.5,-1,-0.06
CHEMANEX PLC,CHMX.N0000,18702,42,184.25,181.25,184,179.75,180,-4.25,-2.31
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,191468,111,173.75,174.5,177,174.5,175.5,1.75,1.01
CHRISSWORLD PLC,CWL.N0000,226696,96,14.2,13.9,14.5,13.9,14.4,0.2,1.41
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,11166,42,294.25,297,300.25,295,297,2.75,0.93
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,1296,23,360,360,364,360,364,4,1.11
CITRUS LEISURE PLC,REEF.N0000,392010,61,4.4,4.4,4.5,4.3,4.3,-0.1,-2.27
Co-operative Insurance Company PLC,COOP.N0000,433125,63,4.5,4.5,4.6,4.5,4.5,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,19898,28,175,175,177.5,170,171.25,-3.75,-2.14
COLOMBO DOCKYARD PLC,DOCK.N0000,311205,402,145.5,148.5,155,143,145.5,0,0
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,2782,17,291,290,298.25,290,297.5,6.5,2.23
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,400,14,350,328,350,327,328,-22,-6.29
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,339187,56,42,43,43,41.5,41.5,-0.5,-1.19
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,609671,341,193.5,194,194.5,192.5,193,-0.5,-0.26
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,86427,97,173.75,175,176,174.25,175,1.25,0.72
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,406883,530,147,148,149.75,146.25,147.5,0.5,0.34
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,3814,39,242.75,243,243,230,239.75,-3,-1.24
CONVENIENCE FOODS LANKA PLC,SOY.N0000,2253,45,1885.25,1898.5,2041,1870,1925.75,40.5,2.15
