Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,9796,86,1011.25,1010.25,1022,1010,1020,8.75,0.87
ABANS FINANCE PLC,AFSL.N0000,34988,36,70,70,70,69,70,0,0
ACCESS ENGINEERING PLC,AEL.N0000,1062107,205,61.7,61.7,62,61.5,61.9,0.2,0.32
ACL CABLES PLC,ACL.N0000,358454,145,199.25,197.5,200,195.25,199.75,0.5,0.25
ACL PLASTICS PLC,APLA.N0000,25178,158,1131.25,1130,1270,1120.75,1249.5,118.25,10.45
ACME PRINTING & PACKAGING PLC,ACME.N0000,49884,40,6.8,7,7,6.5,6.8,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,637930,361,60.3,60.3,67,60.3,66,5.7,9.45
Agarapatana Plantations PLC,AGPL.N0000,151601,68,22.3,22.5,23,22.5,22.8,0.5,2.24
AGSTAR PLC,AGST.N0000,2447192,275,9.1,9.2,9.5,9.1,9.4,0.3,3.3
AGSTAR PLC,AGST.X0000,4436,8,10.9,10.6,11.2,10.6,11,0.1,0.92
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,183903,124,122.25,123,124,121.25,122.75,0.5,0.41
AITKEN SPENCE PLC,SPEN.N0000,192405,74,162.25,164.5,165.75,162,165.25,3,1.85
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,11879,65,400,400.5,408,396,396.75,-3.25,-0.81
ALPHA FIRE SERVICES PLC,AFS.N0000,40829,24,27.1,28,28,26.9,27,-0.1,-0.37
ALUMEX PLC,ALUM.N0000,1451253,234,20.6,20.7,20.9,20.5,20.7,0.1,0.49
AMANA BANK PLC,ABL.N0000,629168,251,27.9,28,28.2,27.9,28.1,0.2,0.72
AMANA TAKAFUL LIFE PLC,ATLL.N0000,110,4,50,51.9,51.9,50,51.9,1.9,3.8
AMANA TAKAFUL PLC,ATL.N0000,2575,16,23,23.1,23.1,22.6,22.6,-0.4,-1.74
