Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,8843,190,797.75,805,860,800,842.5,44.75,5.61
ABANS FINANCE PLC,AFSL.N0000,301,2,70,72.6,72.6,70.1,70.1,0.1,0.14
ACCESS ENGINEERING PLC,AEL.N0000,1468711,376,59,59.8,59.9,58.3,58.5,-0.5,-0.85
ACL CABLES PLC,ACL.N0000,514679,125,185,185,186,184,185,0,0
ACL PLASTICS PLC,APLA.N0000,14808,120,970.75,994,1010,975,987.75,17,1.75
ACME PRINTING & PACKAGING PLC,ACME.N0000,23897,17,5.2,5.3,5.3,5.1,5.1,-0.1,-1.92
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,186075,110,60,60,61.5,59,60.1,0.1,0.17
Agarapatana Plantations PLC,AGPL.N0000,270834,152,23,23,23.5,22.2,22.5,-0.5,-2.17
AGSTAR PLC,AGST.N0000,933265,199,8.3,8.4,8.5,8.1,8.2,-0.1,-1.2
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,3499895,272,83.2,83.6,88,83,86.2,3,3.61
AITKEN SPENCE PLC,SPEN.N0000,805538,159,145.75,146,152,146,150,4.25,2.92
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,22345,207,394.5,399,400,380,384.25,-10.25,-2.6
ALPHA FIRE SERVICES PLC,AFS.N0000,119950,124,28.9,28.9,28.9,28,28.2,-0.7,-2.42
ALUMEX PLC,ALUM.N0000,378356,148,17.5,17.5,17.5,17.1,17.2,-0.3,-1.71
AMANA BANK PLC,ABL.N0000,883467,230,25.5,25.5,27,25.3,26.4,0.9,3.53
AMANA TAKAFUL LIFE PLC,ATLL.N0000,14165,95,34.3,34.5,42.8,34,41.5,7.2,20.99
AMANA TAKAFUL PLC,ATL.N0000,2215983,496,17.4,17.5,20.9,17.5,19.7,2.3,13.22
AMBEON CAPITAL PLC,TAP.N0000,5527957,869,28.8,28.7,30.5,28.7,29.7,0.9,3.13
AMBEON HOLDINGS PLC,GREG.N0000,175017,91,104,104.75,108,104,104,0,0
ARPICO INSURANCE PLC,AINS.N0000,3648,8,37,36.4,37,36.2,36.3,-0.7,-1.89
ASIA ASSET FINANCE PLC,AAF.N0000,255921,170,49,48.9,49.4,47.5,47.6,-1.4,-2.86
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,223280,41,6.9,6.8,7.1,6.8,6.8,-0.1,-1.45
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,461019,82,64.7,64.8,65.3,64.5,64.9,0.2,0.31
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,11225,32,37,36.5,37.1,35.2,37.1,0.1,0.27
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,4425,16,14,14,14,13.6,13.6,-0.4,-2.86
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,123948,206,91.1,91.1,92,85,89.7,-1.4,-1.54
B P P L HOLDINGS PLC,BPPL.N0000,12358,34,18.8,18.8,19.2,18.5,19,0.2,1.06
BAIRAHA FARMS PLC,BFL.N0000,23645,94,208.25,208.25,216.75,208,209,0.75,0.36
BALANGODA PLANTATIONS PLC,BALA.N0000,209382,128,89.3,89.5,92,89.4,90,0.7,0.78
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2106,7,22.5,22.3,22.6,22.3,22.5,0,0
BERUWALA RESORTS PLC,BERU.N0000,1221468,110,4,3.9,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,759391,1400,93.8,93,95,86,89.8,-4,-4.26
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,13354,20,78.5,78.8,79,77.7,77.9,-0.6,-0.76
BROWN & COMPANY PLC,BRWN.N0000,78217,307,183.75,183.75,184.5,180,181,-2.75,-1.5
BROWNS BEACH HOTELS PLC,BBH.N0000,407163,65,21.9,22.5,22.8,22,22,0.1,0.46
BROWNS INVESTMENTS PLC,BIL.N0000,17003558,1196,7.6,7.6,7.7,7.4,7.5,-0.1,-1.32
BUKIT DARAH PLC,BUKI.N0000,291543,88,850.25,860,914.5,860,887.25,37,4.35
C I C HOLDINGS PLC,CIC.X0000,338281,103,105,105,105,104,104.5,-0.5,-0.48
C I C HOLDINGS PLC,CIC.N0000,108250,88,137.75,138.5,138.5,137.5,138.25,0.5,0.36
C M HOLDINGS PLC,COLO.N0000,1066,27,375,373,384,367,369.25,-5.75,-1.53
C T HOLDINGS PLC,CTHR.N0000,102,9,708,708.5,710,700,703.75,-4.25,-0.6
C T LAND DEVELOPMENT PLC,CTLD.N0000,19679,16,33,33.1,34.1,33,33.1,0.1,0.3
C. W. MACKIE PLC,CWM.N0000,3998,51,121,121,122.5,120.5,121.75,0.75,0.62
CABLE SOLUTIONS PLC,CSLK.N0000,218568,88,15.5,15.5,15.5,15.2,15.3,-0.2,-1.29
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,48777,71,13.5,16.5,16.8,15.6,16.1,2.6,19.26
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,46,2,13.5,13.7,13.8,13.7,13.5,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,2559536,424,19.8,19.8,20,19,19.3,-0.5,-2.53
CAPITAL ALLIANCE PLC,CALT.N0000,973527,611,62.2,63,63.9,60,60.9,-1.3,-2.09
CARGILLS (CEYLON) PLC,CARG.N0000,1170,39,719.25,720,720,690,715,-4.25,-0.59
CARGILLS BANK PLC,CBNK.N0000,1808832,216,9.4,9.4,9.6,9.3,9.5,0.1,1.06
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,8263,26,154.75,155,155,153.25,153.5,-1.25,-0.81
CARSON CUMBERBATCH PLC,CARS.N0000,362645,227,746,750,888.5,708.75,848.25,102.25,13.71
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,389422,289,293,292,296,290,292,-1,-0.34
CENTRAL INDUSTRIES PLC,CIND.N0000,21047,75,174.5,175,175,172.25,173,-1.5,-0.86
CEYLINCO HOLDINGS PLC,CINS.N0000,100,21,3280,3155,3350,3095.5,3188.25,-91.75,-2.8
CEYLINCO HOLDINGS PLC,CINS.X0000,5201,14,1650,1650,1650,1625,1648.75,-1.25,-0.08
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,54,7,2849.5,2689.75,2838,2686,2849.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,132605,147,110.75,110.75,112,110,110.75,0,0
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,3196,30,333.5,339,339,333.5,335,1.5,0.45
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,368743,52,234,232.75,234.75,225,227,-7,-2.99
CEYLON HOSPITALS PLC,CHL.X0000,3904,38,148.25,153,160,146.5,147.5,-0.75,-0.51
CEYLON HOSPITALS PLC,CHL.N0000,9471,69,179.75,187,187,171,171.5,-8.25,-4.59
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,163648,96,26.5,26.7,27.3,26.7,27,0.5,1.89
CEYLON INVESTMENT PLC,CINV.N0000,417541,126,120.25,120.25,123,119,120.75,0.5,0.42
CEYLON LAND & EQUITY PLC,KZOO.N0000,570851,96,11,11,11,10.7,10.9,-0.1,-0.91
CEYLON TEA BROKERS PLC,CTBL.N0000,43861,19,7.1,7.1,7.3,7.1,7.2,0.1,1.41
CEYLON TOBACCO COMPANY PLC,CTC.N0000,7106,87,1619.5,1620,1620,1612.25,1620,0.5,0.03
CHEMANEX PLC,CHMX.N0000,1172,8,161.25,167.75,167.75,167.5,167.75,6.5,4.03
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,56376,141,183.25,182.5,184,182,182,-1.25,-0.68
CHRISSWORLD PLC,CWL.N0000,8127,11,11,11,11.1,10.8,11,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,8337,43,309.25,310,310,309,309,-0.25,-0.08
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,36,3,391,390,390,389,391,0,0
