Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1125,40,941.75,940,940.25,910,918.75,-23,-2.44
ABANS FINANCE PLC,AFSL.N0000,2819,9,70.6,72.4,72.4,71,72.1,1.5,2.12
ACCESS ENGINEERING PLC,AEL.N0000,4295744,443,57.1,57.3,59.4,56.9,57.9,0.8,1.4
ACL CABLES PLC,ACL.N0000,88039,111,185.5,185.25,192.5,184,191,5.5,2.96
ACL PLASTICS PLC,APLA.N0000,3278,46,967,969.75,999,969.75,986.25,19.25,1.99
ACME PRINTING & PACKAGING PLC,ACME.N0000,155243,45,5.2,5.2,5.7,5.1,5.5,0.3,5.77
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,76130,37,61,60.1,61.9,60.1,60.7,-0.3,-0.49
Agarapatana Plantations PLC,AGPL.N0000,75367,60,22.3,22.3,22.8,22.1,22.2,-0.1,-0.45
AGSTAR PLC,AGST.N0000,284999,64,8.4,8.3,8.4,8.3,8.3,-0.1,-1.19
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,57766,75,88,87,89,87,87.3,-0.7,-0.8
AITKEN SPENCE PLC,SPEN.N0000,86348,64,149,151.5,151.5,148.75,150,1,0.67
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2509,25,365,374,375,365,371.25,6.25,1.71
ALPHA FIRE SERVICES PLC,AFS.N0000,241078,204,31.2,33,33.5,30,30.7,-0.5,-1.6
ALUMEX PLC,ALUM.N0000,2152479,195,17.5,17.5,18.2,17.5,17.9,0.4,2.29
AMANA BANK PLC,ABL.N0000,137612,99,27.8,27.8,28,27.5,27.8,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,4233,42,57.6,58.8,59.9,56,56.5,-1.1,-1.91
AMANA TAKAFUL PLC,ATL.N0000,3011479,121,24,24.6,25.8,24,24.5,0.5,2.08
AMBEON CAPITAL PLC,TAP.N0000,1054779,395,30,30.1,31.6,30,30.5,0.5,1.67
AMBEON HOLDINGS PLC,GREG.N0000,37931,47,113.75,113,117.5,111.5,115.75,2,1.76
ARPICO INSURANCE PLC,AINS.N0000,13448,21,35.8,36.8,38.8,36.5,37.8,2,5.59
ASIA ASSET FINANCE PLC,AAF.N0000,79907,72,48,48,48,47.2,48,0,0
ASIA CAPITAL PLC,ACAP.N0000,16458,12,4.4,4.5,4.5,4.4,4.4,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,950862,91,7.2,7.2,7.5,7.1,7.5,0.3,4.17
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,38455,28,64.8,64.4,65.1,63.5,65,0.2,0.31
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,905,13,36.3,35.3,36,35.3,36,-0.3,-0.83
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,29283,28,13.4,13.5,13.7,13.2,13.3,-0.1,-0.75
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,432450,445,94.3,91.9,97,91.9,95.3,1,1.06
B P P L HOLDINGS PLC,BPPL.N0000,30300,25,18.9,18.8,19.1,18.6,18.9,0,0
BAIRAHA FARMS PLC,BFL.N0000,23463,56,211,214,214,209,211.25,0.25,0.12
BALANGODA PLANTATIONS PLC,BALA.N0000,23885,34,96,96,97,93.5,95.5,-0.5,-0.52
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,6325,11,22.7,22.7,22.8,22.7,22.8,0.1,0.44
BERUWALA RESORTS PLC,BERU.N0000,799637,88,4,4,4.2,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,30166,164,78.9,78.5,79.9,77.3,78.1,-0.8,-1.01
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,11165,35,81,81.4,83.8,81.3,83,2,2.47
