Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,962,58,1560.75,1580,1580,1541,1551.5,-9.25,-0.59
ABANS FINANCE PLC,AFSL.N0000,39028,52,72.8,76.5,77.5,73.9,74.1,1.3,1.79
ACCESS ENGINEERING PLC,AEL.N0000,795474,218,61,61.5,62.5,61.1,61.6,0.6,0.98
ACL CABLES PLC,ACL.N0000,45596,94,221.5,221.5,223.75,220,221.5,0,0
ACL PLASTICS PLC,APLA.N0000,2666,80,1700,1744.25,1744.25,1647.5,1660.25,-39.75,-2.34
ACME PRINTING & PACKAGING PLC,ACME.N0000,48902,28,6.6,6.6,6.6,6.5,6.5,-0.1,-1.52
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,38147,40,61.6,61.8,61.8,61,61.3,-0.3,-0.49
Agarapatana Plantations PLC,AGPL.N0000,33109,65,21.8,21.8,21.8,21.2,21.4,-0.4,-1.83
AGSTAR PLC,AGST.N0000,875810,110,9.7,9.7,9.8,9.5,9.7,0,0
AGSTAR PLC,AGST.X0000,90368,65,12.4,12.3,13.5,12.3,13.3,0.9,7.26
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,52303,66,123.75,124.75,125,123.75,124.75,1,0.81
AITKEN SPENCE PLC,SPEN.N0000,2771267,180,163,165,175,163,169.25,6.25,3.83
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,9644,69,427.25,431,431,418,423.5,-3.75,-0.88
ALPHA FIRE SERVICES PLC,AFS.N0000,8757,13,28.1,29,29,27.4,27.5,-0.6,-2.14
ALUMEX PLC,ALUM.N0000,333852,224,20.2,20.2,20.2,19.8,19.9,-0.3,-1.49
AMANA BANK PLC,ABL.N0000,119963,80,28.7,28.8,28.8,28.4,28.4,-0.3,-1.05
AMANA TAKAFUL LIFE PLC,ATLL.N0000,2830,18,44.6,45,45,44.3,44.4,-0.2,-0.45
AMANA TAKAFUL PLC,ATL.N0000,258033,69,29,29.4,29.4,28.6,29,0,0
AMBEON CAPITAL PLC,TAP.N0000,1127510,205,46.5,46,46.4,45,45.5,-1,-2.15
AMBEON HOLDINGS PLC,GREG.N0000,41443,36,158.25,154.5,159.75,154.5,158,-0.25,-0.16
ARPICO INSURANCE PLC,AINS.N0000,622,10,36.2,36.2,38.6,36.1,36.6,0.4,1.1
ASIA ASSET FINANCE PLC,AAF.N0000,222089,136,59.4,60,60,57,59.4,0,0
ASIA CAPITAL PLC,ACAP.N0000,197788,47,6.9,6.9,7,6.7,7,0.1,1.45
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4738055,330,10.8,11,11.1,10.6,11,0.2,1.85
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,11501,49,60.3,62.9,63,56,59.8,-0.5,-0.83
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,12525,51,35,35.4,35.4,34.1,35,0,0
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,8957,44,14.8,14.6,14.8,14,14.3,-0.5,-3.38
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,106847,145,77.6,77.6,77.6,73,74.6,-3,-3.87
B P P L HOLDINGS PLC,BPPL.N0000,115809,108,24,24,24,23.4,23.6,-0.4,-1.67
BAIRAHA FARMS PLC,BFL.N0000,2185,43,447.25,448.5,449.25,440,449,1.75,0.39
BALANGODA PLANTATIONS PLC,BALA.N0000,3021,20,90.3,93,93,90.3,90.4,0.1,0.11
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,3,1,24.4,24.3,24.3,24.3,24.4,0,0
BERUWALA RESORTS PLC,BERU.N0000,166749,37,4.1,4,4.1,4,4,-0.1,-2.44
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,92937,120,85.5,86,88.8,85.4,87.9,2.4,2.81
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,365,8,82.7,83,83,82.6,82.7,0,0
BROWN & COMPANY PLC,BRWN.N0000,33269,93,182,182.5,183,180,182.5,0.5,0.27
BROWNS BEACH HOTELS PLC,BBH.N0000,3775,7,25.5,26,26,26,26,0.5,1.96
BROWNS INVESTMENTS PLC,BIL.N0000,4298045,269,7.5,7.4,7.5,7.4,7.4,-0.1,-1.33
BUKIT DARAH PLC,BUKI.N0000,389,20,1136.75,1168,1168,1130,1137.5,0.75,0.07
C I C HOLDINGS PLC,CIC.X0000,920620,226,25.9,25.8,26.1,25.7,25.8,-0.1,-0.39
C I C HOLDINGS PLC,CIC.N0000,910399,369,33.2,33.5,33.9,32.9,33,-0.2,-0.6
C M HOLDINGS PLC,COLO.N0000,506326,251,68.3,70,70,66,68.1,-0.2,-0.29
C T HOLDINGS PLC,CTHR.N0000,1287,15,666.5,668,670,668,670,3.5,0.53
C T LAND DEVELOPMENT PLC,CTLD.N0000,31092,60,43.2,44.5,44.5,40,41.5,-1.7,-3.94
C. W. MACKIE PLC,CWM.N0000,1859,19,133.5,133,133,128,131.5,-2,-1.5
CABLE SOLUTIONS PLC,CSLK.N0000,203071,70,14.5,14.9,14.9,14.4,14.4,-0.1,-0.69
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,1216,3,15.8,15.8,15.8,15.3,15.3,-0.5,-3.16
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,82,4,14.2,14.4,14.4,14.2,14.2,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,224278,79,17.3,17.4,17.5,17.3,17.4,0.1,0.58
CAPITAL ALLIANCE PLC,CALT.N0000,90508,172,53,53.4,53.6,52.3,52.6,-0.4,-0.75
CARGILLS (CEYLON) PLC,CARG.N0000,5931,125,822,822,861,822,847.25,25.25,3.07
CARGILLS BANK PLC,CBNK.N0000,1842030,236,10.6,10.8,10.9,10.4,10.4,-0.2,-1.89
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,2003,18,188,185.5,191.25,185.5,190.5,2.5,1.33
CARSON CUMBERBATCH PLC,CARS.N0000,962,44,823.75,802.25,820,800,808,-15.75,-1.91
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,116089,124,310,310,310,307,308,-2,-0.65
CENTRAL INDUSTRIES PLC,CIND.N0000,8244,63,225.25,229,229,222.5,223.5,-1.75,-0.78
CEYLINCO HOLDINGS PLC,CINS.N0000,11,3,3358.25,3125,3290,3125,3358.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,110,9,1880,1949.5,1960,1870,1882.25,2.25,0.12
CEYLON COLD STORES PLC,CCS.N0000,48344,116,116,116,117.5,115.5,117,1,0.86
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,39572,68,433.5,435,435,425,429.75,-3.75,-0.87
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,9426,34,305.25,304.5,305,300,300.5,-4.75,-1.56
CEYLON HOSPITALS PLC,CHL.X0000,6156,35,192.75,209.75,210,200,204.5,11.75,6.1
CEYLON HOSPITALS PLC,CHL.N0000,12097,69,279,270,278,260,260.5,-18.5,-6.63
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,43076,49,45.2,46.1,47,45.1,45.7,0.5,1.11
CEYLON INVESTMENT PLC,CINV.N0000,5868,25,138.25,136.75,139,136.75,137.25,-1,-0.72
CEYLON LAND & EQUITY PLC,KZOO.N0000,675224,68,13.1,13,13.3,12.9,12.9,-0.2,-1.53
CEYLON TEA BROKERS PLC,CTBL.N0000,1006339,344,10.3,9.8,9.8,9.2,9.4,-0.9,-8.74
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1387,70,1700,1700,1700,1694,1695.25,-4.75,-0.28
CHEMANEX PLC,CHMX.N0000,828,14,172.25,172.25,172.25,170,170,-2.25,-1.31
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,113512,169,185,186.75,187,185,186.75,1.75,0.95
CHRISSWORLD PLC,CWL.N0000,5290,8,13,13,13.2,13,13,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,1033,13,396,399,399,382,382.5,-13.5,-3.41
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,2199,28,309.75,306.25,306.5,306,306,-3.75,-1.21
CITRUS LEISURE PLC,REEF.N0000,1110832,128,4.5,4.4,4.6,4.3,4.4,-0.1,-2.22
Co-operative Insurance Company PLC,COOP.N0000,1666145,210,5.3,5.4,5.4,5.1,5.2,-0.1,-1.89
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,3596,27,175.75,178,178,173,175.75,0,0
COLOMBO DOCKYARD PLC,DOCK.N0000,750793,2378,350,351,410,351,405,55,15.71
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,2391,42,479,478,478,465,470.75,-8.25,-1.72
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,1854,42,542.75,548,550,415.5,497.25,-45.5,-8.38
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,182569,91,52.7,53,53,51.5,52.2,-0.5,-0.95
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,12499,90,187.75,188.75,188.75,185.5,186.75,-1,-0.53
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,808491,303,207.25,207.5,209,207,207.75,0.5,0.24
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,359162,510,141.25,141.25,142.5,139,139.5,-1.75,-1.24
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,3042,63,273,289,289,265,266.75,-6.25,-2.29
CONVENIENCE FOODS LANKA PLC,SOY.N0000,8422,52,2318,2369.75,2399,2304,2305,-13,-0.56
DANKOTUWA PORCELAIN PLC,DPL.N0000,508152,239,19.4,19.3,19.4,18.9,19,-0.4,-2.06
DFCC BANK PLC,DFCC.N0000,133337,148,162.75,162.75,163,161.75,162,-0.75,-0.46
DIALOG AXIATA PLC,DIAL.N0000,1910405,429,29.8,29.8,31,29.8,30.3,0.5,1.68
DIALOG FINANCE PLC,CALF.N0000,5924,11,79.6,80,80.2,80,80,0.4,0.5
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,789,39,2467.5,2466,2495,2400,2405.25,-62.25,-2.52
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,1027420,499,153,155,157.5,153,156.75,3.75,2.45
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,134,12,1157.5,1160,1160,1146.5,1157,-0.5,-0.04
