Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,317,23,1212.25,1212.25,1229.75,1212.25,1217.75,5.5,0.45
ABANS FINANCE PLC,AFSL.N0000,46,7,72.8,74.9,74.9,73,72.8,0,0
ACCESS ENGINEERING PLC,AEL.N0000,869580,346,74.4,74.4,74.8,73.8,74,-0.4,-0.54
ACL CABLES PLC,ACL.N0000,179481,175,251.75,253,255,251.75,254.5,2.75,1.09
ACL PLASTICS PLC,APLA.N0000,827,51,1677,1666,1699,1643,1646,-31,-1.85
ACME PRINTING & PACKAGING PLC,ACME.N0000,24066,13,6.5,6.4,6.5,6.3,6.4,-0.1,-1.54
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,56148,44,53.8,53,53,52,52.5,-1.3,-2.42
Agarapatana Plantations PLC,AGPL.N0000,26844,51,18.1,18.2,18.2,18,18.1,0,0
AGSTAR PLC,AGST.N0000,106054,32,9,9.1,9.2,9,9.1,0.1,1.11
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1920,32,107,107.5,107.5,106.5,107,0,0
AITKEN SPENCE PLC,SPEN.N0000,778,15,146.5,146.75,149.75,146,148.25,1.75,1.19
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,5605,39,351.75,359,359,350,358.25,6.5,1.85
ALPHA FIRE SERVICES PLC,AFS.N0000,309,7,25.5,25.4,26.5,25.2,25.6,0.1,0.39
ALUMEX PLC,ALUM.N0000,198627,121,20.7,20.9,21.2,20.5,20.6,-0.1,-0.48
AMANA BANK PLC,ABL.N0000,93684,98,29.2,29.7,29.8,29,29.7,0.5,1.71
AMANA TAKAFUL LIFE PLC,ATLL.N0000,2482,9,37.1,37,38,36.5,37.9,0.8,2.16
AMANA TAKAFUL PLC,ATL.N0000,5733,34,24.8,24.8,25,23.2,24,-0.8,-3.23
AMBEON CAPITAL PLC,TAP.N0000,198872,81,40.1,40,40,39,39,-1.1,-2.74
AMBEON HOLDINGS PLC,GREG.N0000,847,10,151,149,155,148.5,154,3,1.99
ARPICO INSURANCE PLC,AINS.N0000,240,2,34.1,34.3,34.3,34.2,34.2,0.1,0.29
ASIA ASSET FINANCE PLC,AAF.N0000,54471,52,50.1,50.1,51.9,50,50.1,0,0
ASIA CAPITAL PLC,ACAP.N0000,11304,7,6,5.9,6,5.9,5.9,-0.1,-1.67
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,529820,135,9.4,9.4,9.5,9.1,9.2,-0.2,-2.13
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,2348,16,56.6,56,56.3,55,55.6,-1,-1.77
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,13971,60,30,29.9,30.9,29.5,30.1,0.1,0.33
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,1744,10,13.5,13.6,13.7,13.5,13.6,0.1,0.74
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,25510,32,69.6,69.8,70.2,68.1,70,0.4,0.57
B P P L HOLDINGS PLC,BPPL.N0000,17515,42,20.2,20.2,20.6,20.1,20.4,0.2,0.99
BALANGODA PLANTATIONS PLC,BALA.N0000,7683,22,72,72.6,72.6,69.6,70,-2,-2.78
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,699,5,22.5,22.4,22.4,21.7,21.7,-0.8,-3.56
BERUWALA RESORTS PLC,BERU.N0000,24232,25,3.7,3.8,3.8,3.7,3.8,0.1,2.7
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,134267,336,134,133.5,147,133.5,139.5,5.5,4.1
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,954,14,75.7,75.5,75.5,75.1,75.4,-0.3,-0.4
BROWN & COMPANY PLC,BRWN.N0000,22951,70,171.5,172,177,171.25,171.5,0,0
BROWNS BEACH HOTELS PLC,BBH.N0000,75,2,22.9,23.2,23.2,23.1,22.9,0,0
BROWNS INVESTMENTS PLC,BIL.N0000,1230242,163,6.8,6.9,7,6.8,6.8,0,0
BUKIT DARAH PLC,BUKI.N0000,204,12,1012,1075,1075,1011,1030.25,18.25,1.8
C I C HOLDINGS PLC,CIC.X0000,160128,96,25,25.8,25.8,25.2,25.5,0.5,2
C I C HOLDINGS PLC,CIC.N0000,542285,172,32.9,33,34,33,33,0.1,0.3
C M HOLDINGS PLC,COLO.N0000,10908,57,56.3,57.5,60,57.3,58.8,2.5,4.44
C T HOLDINGS PLC,CTHR.N0000,2,1,674.75,650,650,650,674.75,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,4002,19,35.8,36.3,37.8,36.3,36.6,0.8,2.23
C. W. MACKIE PLC,CWM.N0000,999,32,148.5,149,149,147.75,148.25,-0.25,-0.17
CABLE SOLUTIONS PLC,CSLK.N0000,382625,54,14.8,14.9,14.9,14.5,14.5,-0.3,-2.03
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,412,4,15.6,16,16,14.6,14.6,-1,-6.41
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,15,1,14.2,14.2,14.2,14.2,14.2,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,2455650,319,17.3,17.5,18,17.1,17.8,0.5,2.89
CAPITAL ALLIANCE PLC,CALT.N0000,988150,1129,64.7,64.7,64.9,63.2,63.6,-1.1,-1.7
CARGILLS (CEYLON) PLC,CARG.N0000,70388,39,776,776,792,730,780.75,4.75,0.61
CARGILLS BANK PLC,CBNK.N0000,593659,204,9.8,9.9,9.9,9.7,9.7,-0.1,-1.02
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,6067,16,158,158,166,156,165,7,4.43
CARSON CUMBERBATCH PLC,CARS.N0000,130,7,774.75,760.25,770,760,763.5,-11.25,-1.45
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,33508,89,269.75,270,270,268.75,269.25,-0.5,-0.19
CENTRAL INDUSTRIES PLC,CIND.N0000,12305,42,252.25,247,252,247,249.75,-2.5,-0.99
CEYLINCO HOLDINGS PLC,CINS.X0000,12,3,1708.75,1705.25,1788,1705.25,1708.75,0,0
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,106,4,2644.5,2550,2625,2540,2556,-88.5,-3.35
CEYLON COLD STORES PLC,CCS.N0000,20708,114,108,108.5,108.5,107,107.5,-0.5,-0.46
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,20858,36,391.5,404.25,404.25,390,390.25,-1.25,-0.32
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,469,15,263.5,274.75,274.75,260.25,270.25,6.75,2.56
CEYLON HOSPITALS PLC,CHL.N0000,1130,15,267.5,269.75,269.75,255,269,1.5,0.56
CEYLON HOSPITALS PLC,CHL.X0000,3,1,199.75,198,198,198,199.75,0,0
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,35719,34,37.7,39.3,39.3,38,38,0.3,0.8
CEYLON INVESTMENT PLC,CINV.N0000,1197,12,123,125.75,125.75,123.25,124,1,0.81
CEYLON LAND & EQUITY PLC,KZOO.N0000,35813,37,11.2,11.4,11.4,10.7,10.8,-0.4,-3.57
CEYLON TEA BROKERS PLC,CTBL.N0000,112307,46,8.7,8.8,9.1,8.8,8.9,0.2,2.3
CEYLON TOBACCO COMPANY PLC,CTC.N0000,2454,50,1697,1699.75,1724.75,1699.75,1724,27,1.59
CHEMANEX PLC,CHMX.N0000,30,5,167,172.5,172.5,167,167,0,0
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,82996,53,180.5,181.5,182.75,181.5,182.25,1.75,0.97
