Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1211,51,844.75,864,869,840.5,851.25,6.5,0.77
ABANS FINANCE PLC,AFSL.N0000,226,7,69.5,72.4,72.4,69.6,69.6,0.1,0.14
ACCESS ENGINEERING PLC,AEL.N0000,545330,187,61,61,61.2,60,60.1,-0.9,-1.48
ACL CABLES PLC,ACL.N0000,185790,84,187,186.5,188,185,185.75,-1.25,-0.67
ACL PLASTICS PLC,APLA.N0000,2202,40,970,965,975,965,975,5,0.52
ACME PRINTING & PACKAGING PLC,ACME.N0000,1069561,138,6.6,6.5,7.2,6.5,7,0.4,6.06
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,36304,55,61.4,60.9,62,60.9,62,0.6,0.98
Agarapatana Plantations PLC,AGPL.N0000,110934,63,23.1,23.1,23.5,23,23.1,0,0
AGSTAR PLC,AGST.N0000,152458,53,8.5,8.6,8.7,8.5,8.6,0.1,1.18
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1625609,667,99.5,100,107,100,104,4.5,4.52
AITKEN SPENCE PLC,SPEN.N0000,774127,198,150,151,158,151,155,5,3.33
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,3221,50,383.25,388,388,377,378.75,-4.5,-1.17
ALPHA FIRE SERVICES PLC,AFS.N0000,40421,68,27.7,28.5,28.7,27.4,27.7,0,0
ALUMEX PLC,ALUM.N0000,7335098,1004,19.6,19.8,19.8,18.8,19,-0.6,-3.06
AMANA BANK PLC,ABL.N0000,270557,133,27.3,27.4,27.5,26.9,26.9,-0.4,-1.47
AMANA TAKAFUL LIFE PLC,ATLL.N0000,4170,15,57,56.8,56.8,54.3,55,-2,-3.51
AMANA TAKAFUL PLC,ATL.N0000,6625,17,23.3,24,24,22.9,23,-0.3,-1.29
AMBEON CAPITAL PLC,TAP.N0000,1026130,153,31.4,31.3,31.7,30.3,31.1,-0.3,-0.96
AMBEON HOLDINGS PLC,GREG.N0000,36897,56,134,133,135,128,131.25,-2.75,-2.05
ARPICO INSURANCE PLC,AINS.N0000,232,5,37.6,39.4,39.4,37.7,39.2,1.6,4.26
ASIA ASSET FINANCE PLC,AAF.N0000,384104,233,46.2,46.6,46.6,44.9,46.6,0.4,0.87
ASIA CAPITAL PLC,ACAP.N0000,84835,22,4.6,4.7,4.7,4.5,4.6,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1454971,135,9.2,9.3,9.4,8.9,9.1,-0.1,-1.09
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,914538,145,70.8,71,73,70,70.9,0.1,0.14
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,76734,56,39.2,39.3,39.9,38.7,39.6,0.4,1.02
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,82956,68,14.2,14.9,14.9,14,14,-0.2,-1.41
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,168229,154,100,96,101,95,97.7,-2.3,-2.3
B P P L HOLDINGS PLC,BPPL.N0000,1151842,92,21,21.1,21.3,20.1,20.6,-0.4,-1.9
BAIRAHA FARMS PLC,BFL.N0000,265974,301,236.75,234,248.25,233.25,242.25,5.5,2.32
BALANGODA PLANTATIONS PLC,BALA.N0000,59871,59,93.5,93.9,94.5,92,92.7,-0.8,-0.86
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,29022,31,22,23,23.4,23,23,1,4.55
BERUWALA RESORTS PLC,BERU.N0000,2322855,88,4.2,4.2,4.4,4.2,4.2,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,54392,110,84.4,85,85,83,84,-0.4,-0.47
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,24495,22,85.5,86.9,87.9,85,85,-0.5,-0.58
BROWN & COMPANY PLC,BRWN.N0000,49453,101,183.25,183,184,181.75,183.5,0.25,0.14
BROWNS BEACH HOTELS PLC,BBH.N0000,85430,69,25.8,26.4,26.5,24.6,25.9,0.1,0.39
BROWNS INVESTMENTS PLC,BIL.N0000,3689960,431,7.4,7.4,7.5,7.3,7.4,0,0
BUKIT DARAH PLC,BUKI.N0000,3341,22,968.5,970,985,959,975,6.5,0.67
C I C HOLDINGS PLC,CIC.X0000,328168,135,112.25,114,114,112,112.5,0.25,0.22
C I C HOLDINGS PLC,CIC.N0000,600905,159,144,144.75,146.5,144,145.25,1.25,0.87
C M HOLDINGS PLC,COLO.N0000,2847,9,400,400,402.5,396,399.75,-0.25,-0.06
C T HOLDINGS PLC,CTHR.N0000,24,5,730,729.5,729.5,703,730,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,70518,95,39.9,40,41.9,38,38.6,-1.3,-3.26
C. W. MACKIE PLC,CWM.N0000,3442,29,126,125.75,125.75,124.5,124.5,-1.5,-1.19
CABLE SOLUTIONS PLC,CSLK.N0000,218108,64,15.6,15.8,15.8,15.4,15.6,0,0
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,2956,14,16,16.3,16.3,15.1,15.1,-0.9,-5.63
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,750,4,13.9,13.8,13.8,13.7,13.8,-0.1,-0.72
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,914397,175,18.3,18.7,18.7,18.2,18.3,0,0
CAPITAL ALLIANCE PLC,CALT.N0000,151051,266,59.7,60,60.8,59.7,59.9,0.2,0.34
CARGILLS (CEYLON) PLC,CARG.N0000,1096,53,788.75,794,827,794,818,29.25,3.71
CARGILLS BANK PLC,CBNK.N0000,2201756,278,9.4,9.4,9.5,9.3,9.4,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,25365,95,180.25,190,195,180,182.5,2.25,1.25
CARSON CUMBERBATCH PLC,CARS.N0000,145,11,800.25,790.25,826.75,790.25,801.75,1.5,0.19
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,27580,84,290,290,292,287,287.25,-2.75,-0.95
CENTRAL INDUSTRIES PLC,CIND.N0000,258527,96,180.25,181.75,186,181.5,182,1.75,0.97
CEYLINCO HOLDINGS PLC,CINS.N0000,37,10,3200,3238,3239.75,3058,3200,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,31,4,1774.75,1730,1775,1730,1774.75,0,0
CEYLON COLD STORES PLC,CCS.N0000,66830,154,112,112.25,113.5,111,111.5,-0.5,-0.45
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,6815,58,326.75,325.25,339,322.25,330,3.25,0.99
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,8194,36,296,298,298,286,290.75,-5.25,-1.77
CEYLON HOSPITALS PLC,CHL.X0000,52,4,151,157,157,156.75,151,0,0
CEYLON HOSPITALS PLC,CHL.N0000,262,11,186.5,185.75,185.75,179,181.5,-5,-2.68
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,556525,190,38.2,37.7,38.8,37.7,38.1,-0.1,-0.26
CEYLON INVESTMENT PLC,CINV.N0000,153541,253,133.5,135,135,128,131.75,-1.75,-1.31
CEYLON LAND & EQUITY PLC,KZOO.N0000,514368,108,10.9,11.2,11.3,10.6,10.7,-0.2,-1.83
CEYLON TEA BROKERS PLC,CTBL.N0000,251048,58,8.4,8.4,8.5,8.2,8.3,-0.1,-1.19
CEYLON TOBACCO COMPANY PLC,CTC.N0000,982,50,1609.5,1664.75,1665,1640,1646.5,37,2.3
CHEMANEX PLC,CHMX.N0000,21762,58,190.25,193,193,189.25,190,-0.25,-0.13
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,46768,135,180.75,180.75,181.5,179.25,179.75,-1,-0.55
CHRISSWORLD PLC,CWL.N0000,1494,4,12,12,12.3,12,12,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,4248,17,285.75,285.75,294,285.75,290,4.25,1.49
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,128,11,373.5,370,370,369.75,370,-3.5,-0.94
CITRUS LEISURE PLC,REEF.N0000,834399,85,4.3,4.4,4.4,4.2,4.2,-0.1,-2.33
Co-operative Insurance Company PLC,COOP.N0000,1573233,103,4.8,4.8,4.8,4.6,4.7,-0.1,-2.08
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,37971,85,177.25,177,183,171,180,2.75,1.55
COLOMBO DOCKYARD PLC,DOCK.N0000,487982,184,97.8,99.4,100,97,99.9,2.1,2.15
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,7750,43,311,310,314.5,305,305,-6,-1.93
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,8554,47,361.75,362,372,354,355.25,-6.5,-1.8
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,51958,59,40.8,40.1,40.5,39.5,39.6,-1.2,-2.94
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,221726,347,193.25,193.5,194,191.5,192.5,-0.75,-0.39
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,170668,217,167,167,168,163.75,166,-1,-0.6
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,308719,451,135,134.75,137,132,133.75,-1.25,-0.93
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,1773,20,242.25,242.25,249.25,240,241.25,-1,-0.41
CONVENIENCE FOODS LANKA PLC,SOY.N0000,131,5,1875,1900,1925,1900,1900.25,25.25,1.35
DANKOTUWA PORCELAIN PLC,DPL.N0000,57046188,4177,27,27,27.6,20.5,21.4,-5.6,-20.74
DFCC BANK PLC,DFCC.N0000,134659,289,159,159,161,158,158.5,-0.5,-0.31
DIALOG AXIATA PLC,DIAL.N0000,443087,164,26.6,26.9,27,26.4,26.5,-0.1,-0.38
DIALOG FINANCE PLC,CALF.N0000,8961,30,69.7,72.2,72.2,69.1,69.9,0.2,0.29
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1546,58,1450,1498,1499,1375,1435.75,-14.25,-0.98
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,256238,152,124.5,125,125.5,122.5,124,-0.5,-0.4
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,5,3,1178,1146.5,1195.75,1146.5,1178,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,1043618,233,59.8,59.9,60,58.9,59.1,-0.7,-1.17
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,45530,59,46,46.9,46.9,45.5,45.5,-0.5,-1.09
DOLPHIN HOTELS PLC,STAF.N0000,1221728,411,67.5,68,70.9,66.7,70,2.5,3.7
E - CHANNELLING PLC,ECL.N0000,38699,67,16.6,16.2,16.4,15.5,15.7,-0.9,-5.42
E B CREASY & COMPANY PLC,EBCR.N0000,608564,168,68.1,69,69,66.5,67,-1.1,-1.62
E M L CONSULTANTS PLC,EML.N0000,20556,16,4.4,4.4,4.4,4.3,4.3,-0.1,-2.27
EAST WEST PROPERTIES PLC,EAST.N0000,394033,181,62.7,62.5,63.8,61.5,62,-0.7,-1.12
EASTERN MERCHANTS PLC,EMER.N0000,320496,83,9.9,10.2,10.4,10,10,0.1,1.01
EDEN HOTEL LANKA PLC,EDEN.N0000,2778167,681,14.9,15,16.4,15,15.6,0.7,4.7
ELPITIYA PLANTATIONS PLC,ELPL.N0000,11242,43,172.5,173,173,170.5,172.75,0.25,0.14
EQUITY TWO PLC,ETWO.N0000,349717,587,75.2,79,81.9,75,77.7,2.5,3.32
Ex-pack Corrugated Cartons PLC,PACK.N0000,41967,37,15.1,15.3,15.4,15.1,15.1,0,0
EXTERMINATORS PLC,EXT.N0000,142462,45,6,6.2,6.2,6,6.1,0.1,1.67
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,334479,180,53,52.9,53.4,51.9,52.9,-0.1,-0.19
First Capital Treasuries PLC,FCT.N0000,38256,73,29.6,29.6,29.7,29.1,29.2,-0.4,-1.35
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,326123,178,20,20.5,21,20.3,20.7,0.7,3.5
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,80491,97,85,86.4,87.5,84,84.1,-0.9,-1.06
GESTETNER OF CEYLON PLC,GEST.N0000,2871,28,202,202,202,200,200,-2,-0.99
GREENTECH ENERGY PLC,MEL.N0000,1684175,194,5,5.1,5.3,4.9,4.9,-0.1,-2
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,12158,32,55.4,55.5,58.9,55.5,57,1.6,2.89
HARISCHANDRA MILLS PLC,HARI.N0000,603,54,4500,4105,4990,4105,4796.5,296.5,6.59
HATTON NATIONAL BANK PLC,HNB.X0000,183446,297,305,307.5,307.5,300,301.75,-3.25,-1.07
HATTON NATIONAL BANK PLC,HNB.N0000,465357,249,397.25,397.75,399.75,395,395,-2.25,-0.57
HATTON PLANTATIONS PLC,HPL.N0000,34157,28,29.3,29.5,29.6,29,29.4,0.1,0.34
HAYCARB PLC,HAYC.N0000,37025,69,92.9,92.5,93,92.3,92.8,-0.1,-0.11
HAYLEYS FABRIC PLC,MGT.N0000,40926,52,45.2,45.4,45.7,44.8,44.8,-0.4,-0.88
HAYLEYS FIBRE PLC,HEXP.N0000,68207,145,99.6,99.5,103,97.1,98,-1.6,-1.61
HAYLEYS LEISURE PLC,CONN.N0000,1415657,442,38.8,40,40.8,38.7,39.9,1.1,2.84
HAYLEYS PLC,HAYL.N0000,76120,186,174,174,176,172.5,173.5,-0.5,-0.29
HELA APPAREL HOLDINGS PLC,HELA.N0000,671597,154,3.7,3.7,3.8,3.6,3.6,-0.1,-2.7
HEMAS HOLDINGS PLC,HHL.N0000,4810892,546,30.4,30.5,30.7,30.4,30.5,0.1,0.33
HIKKADUWA BEACH RESORT PLC,CITH.N0000,1298358,179,4.3,4.3,4.4,4.1,4.2,-0.1,-2.33
HNB ASSURANCE PLC,HASU.N0000,18174,53,104.5,105,105,103,103.5,-1,-0.96
HNB FINANCE PLC,HNBF.N0000,1738752,223,8.6,8.7,8.8,8.5,8.6,0,0
HNB FINANCE PLC,HNBF.X0000,57425,30,10.5,10.8,10.9,10.5,10.6,0.1,0.95
HORANA PLANTATIONS PLC,HOPL.N0000,16010,13,61,60.2,60.6,60.1,60.1,-0.9,-1.48
HOTEL SIGIRIYA PLC,HSIG.N0000,314414,460,93.5,96.9,109,94,106.5,13,13.9
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,50783,68,43.9,45.9,45.9,44,44.1,0.2,0.46
hSenid Business Solutions PLC,HBS.N0000,63901,61,12.5,12.4,12.7,12.2,12.5,0,0
HUNAS HOLDINGS PLC,HUNA.N0000,246657,98,20.4,20.7,21.3,20.7,21.2,0.8,3.92
HUNTER & COMPANY PLC,HUNT.N0000,2,1,817.25,800.25,800.25,800.25,817.25,0,0
HVA FOODS PLC,HVA.N0000,128311,88,3.8,3.8,4,3.7,3.8,0,0
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,6635237,66,0.4,0.4,0.5,0.4,0.5,0.1,25
JANASHAKTHI FINANCE PLC,BFN.N0000,39343,49,56.7,57,60.9,57,57.4,0.7,1.23
JANASHAKTHI INSURANCE PLC,JINS.N0000,202292,343,121.5,120,121.5,114.25,117.75,-3.75,-3.09
JAT HOLDINGS PLC,JAT.N0000,935480,369,45.8,46,46.4,44.6,45,-0.8,-1.75
JETWING SYMPHONY PLC,JETS.N0000,8085425,732,16.9,17,17.8,17,17.7,0.8,4.73
JOHN KEELLS HOLDINGS PLC,JKH.N0000,8231951,968,22.8,22.8,22.9,22.7,22.7,-0.1,-0.44
JOHN KEELLS HOTELS PLC,KHL.N0000,2903285,292,24.9,25.2,25.3,24.8,25.1,0.2,0.8
JOHN KEELLS PLC,JKL.N0000,989,14,84.2,84.7,84.7,83.1,83.8,-0.4,-0.48
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,139620,35,25.6,25.6,25.6,25,25,-0.6,-2.34
KAPRUKA HOLDINGS PLC,KPHL.N0000,39720,41,8.3,8.3,8.3,8,8,-0.3,-3.61
KEELLS FOOD PRODUCTS PLC,KFP.N0000,3695,17,173.25,173.25,173.25,165.5,168.25,-5,-2.89
KEGALLE PLANTATIONS PLC,KGAL.N0000,4523,17,141,140.5,143.5,140,140.5,-0.5,-0.35
KELANI CABLES PLC,KCAB.N0000,24700,45,755.5,760,773.5,760,770,14.5,1.92
KELANI TYRES PLC,TYRE.N0000,13681,127,96.1,96.4,97.5,95.5,95.8,-0.3,-0.31
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,3273,20,97,98,98,95.8,96,-1,-1.03
KERNER HAUS GLOBAL SOLUTIONS PLC,CPRT.N0000,16,4,359.25,359,359,345.25,359.25,0,0
KOTAGALA PLANTATIONS PLC,KOTA.N0000,375601,93,9.3,9.3,9.4,9.2,9.3,0,0
KOTMALE HOLDINGS PLC,LAMB.N0000,10,1,650,660,660,660,650,0,0
L O L C HOLDINGS PLC,LOLC.N0000,127947,133,560,561.75,563,560,560.5,0.5,0.09
L V L ENERGY FUND PLC,LVEF.N0000,25686576,1267,11.7,11.8,12.3,11.8,12.1,0.4,3.42
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,52,7,292.75,295,295,285,292.75,0,0
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,96386,149,49.5,50.2,50.5,49.1,49.3,-0.2,-0.4
LANKA ASHOK LEYLAND PLC,ASHO.N0000,3301,65,2767.5,2829.75,2923,2770,2847.5,80,2.89
LANKA CERAMIC PLC,CERA.N0000,938,20,178,179,179,172.25,172.5,-5.5,-3.09
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,4938940,157,5.5,5.6,5.7,5.4,5.7,0.2,3.64
LANKA IOC PLC,LIOC.N0000,242172,194,133.25,135,135,131,132.25,-1,-0.75
LANKA MILK FOODS (CWE) PLC,LMF.N0000,787807,500,60.1,61,62,60.5,60.6,0.5,0.83
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,254298,143,26.8,27,27.2,25.6,25.9,-0.9,-3.36
LANKA TILES PLC,TILE.N0000,52570,83,53.1,53,53.4,53,53.1,0,0
LANKA VENTURES PLC,LVEN.N0000,258431,99,86.9,87.5,90.5,86.1,89.7,2.8,3.22
LANKA WALLTILE PLC,LWL.N0000,60061,68,52.6,53.2,53.3,52.1,52.2,-0.4,-0.76
LANKEM CEYLON PLC,LCEY.N0000,5032,18,95.5,98.3,98.3,91.7,95.3,-0.2,-0.21
LANKEM DEVELOPMENTS PLC,LDEV.N0000,253901,59,26.1,25.9,26.1,25.5,25.5,-0.6,-2.3
LAUGFS GAS PLC,LGL.N0000,1452811,150,32.6,32,40,31,37.6,5,15.34
LAUGFS GAS PLC,LGL.X0000,848419,95,22.5,23,23.5,21.7,23,0.5,2.22
LAUGFS POWER PLC,LPL.X0000,134199,20,8.6,9,9.2,8.6,9.1,0.5,5.81
LAUGFS POWER PLC,LPL.N0000,263496,62,12,12.1,13,12,12.6,0.6,5
LAXAPANA PLC,LITE.N0000,13989,21,48.6,48.4,50,48.4,49.8,1.2,2.47
LB FINANCE PLC,LFIN.N0000,55632,90,139,139.25,141,138,139.5,0.5,0.36
LEE HEDGES PLC,SHAW.N0000,294,6,204.75,206.25,206.25,194,202.5,-2.25,-1.1
LION BREWERY (CEYLON) PLC,LION.N0000,967,13,1401,1400,1435,1400,1413.75,12.75,0.91
LOLC FINANCE PLC,LOFC.N0000,2887304,312,5.9,5.9,6,5.8,5.9,0,0
LOLC GENERAL INSURANCE PLC,LGIL.N0000,213976,52,8.8,8.8,9.1,8.7,8.7,-0.1,-1.14
LOTUS HYDRO POWER PLC,HPFL.N0000,153159,133,16.7,15.3,15.7,14.9,15.3,-1.4,-8.38
LUMINEX PLC,LUMX.N0000,236815,62,7,6.9,6.9,6.7,6.9,-0.1,-1.43
MADULSIMA PLANTATIONS PLC,MADU.N0000,37609,27,13.5,13.9,13.9,13.4,13.5,0,0
MAHARAJA FOODS PLC,MFPE.N0000,988854,107,10.2,10.2,11,10.2,10.4,0.2,1.96
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,93001,398,49.6,50,58,49.9,54.8,5.2,10.48
MAHAWELI REACH HOTELS PLC,MRH.N0000,9428,15,21.8,21.1,21.9,21.1,21.7,-0.1,-0.46
MALWATTE VALLEY PLANTATION PLC,MAL.X0000,20,2,39.8,40.3,40.3,36.7,39.8,0,0
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,11259,65,62.6,59,62.6,58.9,60.8,-1.8,-2.88
MARAWILA RESORTS PLC,MARA.N0000,4969263,237,8.3,8.3,8.5,8.2,8.4,0.1,1.2
MASKELIYA PLANTATIONS PLC,MASK.N0000,291727,70,102.75,104.5,106.75,101,104.75,2,1.95
MELSTACORP PLC,MELS.N0000,424002,78,164.25,164,165,163.5,165,0.75,0.46
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,76,2,279,257,288,257,279,0,0
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,482724,86,8.7,8.8,8.9,8.5,8.6,-0.1,-1.15
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,280962,75,7.2,7.2,7.4,7,7.3,0.1,1.39
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,219310,20,1.9,1.9,1.9,1.8,1.8,-0.1,-5.26
MYLAND DEVELOPMENTS PLC,MDL.N0000,53333,41,11.1,11.2,11.6,11.1,11.2,0.1,0.9
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,18359,95,545.5,567.5,576,531.25,573.75,28.25,5.18
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,206195,306,141.5,141,142.5,140,140.25,-1.25,-0.88
NATIONS TRUST BANK PLC,NTB.X0000,438,7,304.5,300.75,300.75,287.5,292,-12.5,-4.11
NATIONS TRUST BANK PLC,NTB.N0000,70285,99,266.25,266,267.5,263,265.25,-1,-0.38
NAWALOKA HOSPITALS PLC,NHL.N0000,73086,61,7.8,8,8,7.6,7.7,-0.1,-1.28
ODEL PLC,ODEL.N0000,38000,24,11.9,11.9,11.9,11.4,11.4,-0.5,-4.2
ON'ALLY HOLDINGS PLC,ONAL.N0000,137949,157,42.4,43.5,48.4,43.5,45.9,3.5,8.25
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,1629673,323,39,39,39.3,38.6,38.8,-0.2,-0.51
PALM GARDEN HOTELS PLC,PALM.N0000,151282,137,80.4,81,86.5,81,82.2,1.8,2.24
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,890192,165,58.5,58.1,58.8,58,58,-0.5,-0.85
PANASIAN POWER PLC,PAP.N0000,12082020,1376,18,18.2,20.9,18.2,20.1,2.1,11.67
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,261188,285,40.2,40.7,46,40.7,44.9,4.7,11.69
PEOPLE'S INSURANCE PLC,PINS.N0000,74019,52,37.1,37.1,37.1,36.5,36.7,-0.4,-1.08
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,1041868,102,23.9,23.9,24,23.7,23.8,-0.1,-0.42
PGP GLASS CEYLON PLC,GLAS.N0000,21338,50,55.5,55.6,56.1,55.3,55.9,0.4,0.72
PMF FINANCE PLC,PMB.N0000,331286,130,18.3,18.4,18.6,17.5,18.2,-0.1,-0.55
PRIME LANDS RESIDENCIES PLC,PLR.N0000,2616943,448,27.1,27.5,27.7,26.5,27.3,0.2,0.74
PRINTCARE PLC,CARE.N0000,33901,42,55.9,56,59.9,55.5,56,0.1,0.18
R I L PROPERTY PLC,RIL.N0000,3559769,441,29.6,29.4,30.3,29,29.7,0.1,0.34
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,8910,18,83.6,84,85,82,84.5,0.9,1.08
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,1960976,525,22.4,22.4,24.8,22.3,24.2,1.8,8.04
RAMBODA FALLS PLC,RFL.N0000,198985,328,38.2,38.2,47.7,38.2,42,3.8,9.95
RENUKA AGRI FOODS PLC,RAL.N0000,2684284,312,5.1,5.1,5.2,4.9,5,-0.1,-1.96
RENUKA CITY HOTELS PLC.,RENU.N0000,3711,42,873,875,880,850,853.25,-19.75,-2.26
RENUKA FOODS PLC,COCO.N0000,436469,126,21.7,21,21.7,21,21.2,-0.5,-2.3
RENUKA FOODS PLC,COCO.X0000,10535,9,17.6,17.1,17.7,17,17.1,-0.5,-2.84
RENUKA HOLDINGS PLC,RHL.X0000,6244,11,25.4,25.6,25.6,24,24,-1.4,-5.51
RENUKA HOLDINGS PLC,RHL.N0000,218406,39,29.5,29,29.5,28.5,29,-0.5,-1.69
RENUKA HOTELS PLC,RCH.N0000,16368,62,271.5,280,280,256,256.25,-15.25,-5.62
RESUS ENERGY PLC,HPWR.N0000,3741761,235,39.3,39.4,43.5,38.9,42.6,3.3,8.4
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,46233,61,27.6,27.5,27.5,26.5,26.5,-1.1,-3.99
RICHARD PIERIS EXPORTS PLC,REXP.N0000,162,14,392,382.25,392,382.25,385.25,-6.75,-1.72
ROYAL CERAMICS LANKA PLC,RCL.N0000,1383566,269,45.3,45.3,45.5,44.8,45,-0.3,-0.66
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,6,5,87.3,90,90,87.2,87.3,0,0
SAMPATH BANK PLC,SAMP.N0000,234215,473,144.5,145.5,145.5,144,144.25,-0.25,-0.17
SAMSON INTERNATIONAL PLC,SIL.N0000,5684,76,187.75,199,225,199,223.5,35.75,19.04
SANASA DEVELOPMENT BANK PLC,SDB.N0000,123830,57,45.1,45.5,45.5,44.8,45,-0.1,-0.22
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,101843,38,33.1,33,33.9,32.9,32.9,-0.2,-0.6
SATHOSA MOTORS PLC,SMOT.N0000,12,2,945.25,950,951,950,945.25,0,0
