Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,13659,250,847.5,850,888,782,797.75,-49.75,-5.87
ABANS FINANCE PLC,AFSL.N0000,383,7,72.7,72.7,72.7,69,70,-2.7,-3.71
ACCESS ENGINEERING PLC,AEL.N0000,3515837,446,58.9,59.1,59.8,58.8,59,0.1,0.17
ACL CABLES PLC,ACL.N0000,268785,220,187.75,190,192,183.25,185,-2.75,-1.46
ACL PLASTICS PLC,APLA.N0000,28194,157,936.75,940,995,930,970.75,34,3.63
ACME PRINTING & PACKAGING PLC,ACME.N0000,5611,13,5.2,5.1,5.3,5.1,5.2,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,228143,97,61.5,61.9,61.9,59.9,60,-1.5,-2.44
Agarapatana Plantations PLC,AGPL.N0000,222882,153,24,24,24,23,23,-1,-4.17
AGSTAR PLC,AGST.N0000,1657193,379,8.7,8.7,8.9,8.1,8.3,-0.4,-4.6
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,153420,128,82.4,82.5,83.5,81.9,83.2,0.8,0.97
AITKEN SPENCE PLC,SPEN.N0000,29261,72,146.25,146.5,147,145,145.75,-0.5,-0.34
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,28831,170,401.25,400,408,394,394.5,-6.75,-1.68
ALPHA FIRE SERVICES PLC,AFS.N0000,161907,125,29,29.4,29.4,28.2,28.9,-0.1,-0.34
ALUMEX PLC,ALUM.N0000,597925,188,17.4,17.4,17.6,17.1,17.5,0.1,0.57
AMANA BANK PLC,ABL.N0000,1128006,179,24.9,25,25.8,25,25.5,0.6,2.41
AMANA TAKAFUL LIFE PLC,ATLL.N0000,208,6,33,34,34.5,34,34.3,1.3,3.94
AMANA TAKAFUL PLC,ATL.N0000,463684,222,15.2,15.9,17.8,15.9,17.4,2.2,14.47
AMBEON CAPITAL PLC,TAP.N0000,3552085,335,28.3,28.5,29,27.5,28.8,0.5,1.77
AMBEON HOLDINGS PLC,GREG.N0000,17562,30,103,104,104.5,101,104,1,0.97
