Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2647,93,1485,1490,1500,1300,1497.25,12.25,0.82
ABANS FINANCE PLC,AFSL.N0000,2224,12,74,76.9,76.9,72.1,72.5,-1.5,-2.03
ACCESS ENGINEERING PLC,AEL.N0000,462746,175,61.3,61.3,61.9,61.3,61.7,0.4,0.65
ACL CABLES PLC,ACL.N0000,108598,60,219.5,219,220,219,220,0.5,0.23
ACL PLASTICS PLC,APLA.N0000,3718,53,1665.5,1696,1728,1645,1672,6.5,0.39
ACME PRINTING & PACKAGING PLC,ACME.N0000,32157,18,6.7,6.5,6.8,6.5,6.7,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,169607,122,61.4,62,63.7,62,63,1.6,2.61
Agarapatana Plantations PLC,AGPL.N0000,28115,65,21.5,21.6,21.6,21.2,21.5,0,0
AGSTAR PLC,AGST.N0000,3170950,317,9.7,9.7,10,9.5,9.9,0.2,2.06
AGSTAR PLC,AGST.X0000,15838,11,13.5,13.3,13.5,12.7,13.3,-0.2,-1.48
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,56766,84,123.75,123.25,124.75,122.25,124.25,0.5,0.4
AITKEN SPENCE PLC,SPEN.N0000,17780,62,169.5,169.5,170,163,168.75,-0.75,-0.44
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,7879,56,401.75,400,410,400,410,8.25,2.05
ALPHA FIRE SERVICES PLC,AFS.N0000,6900,13,26.5,26,27.8,26,26.9,0.4,1.51
ALUMEX PLC,ALUM.N0000,717654,170,19.4,19.7,20.2,19.7,20,0.6,3.09
AMANA BANK PLC,ABL.N0000,61543,55,28.5,28.4,28.5,28.2,28.5,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,1270,13,45,45.9,45.9,44.7,44.7,-0.3,-0.67
AMANA TAKAFUL PLC,ATL.N0000,974745,92,28.5,29,29.7,28.3,29,0.5,1.75
AMBEON CAPITAL PLC,TAP.N0000,785021,192,46,45.9,47.1,45.5,46.6,0.6,1.3
AMBEON HOLDINGS PLC,GREG.N0000,83094,66,161,158,165,156,162.5,1.5,0.93
ARPICO INSURANCE PLC,AINS.N0000,391,6,37.9,36.1,38.6,36.1,37.1,-0.8,-2.11
ASIA ASSET FINANCE PLC,AAF.N0000,50179,58,58.1,59.6,59.8,58,58.9,0.8,1.38
ASIA CAPITAL PLC,ACAP.N0000,102114,64,6.9,6.9,6.9,6.5,6.8,-0.1,-1.45
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,4824885,415,10.8,10.9,11.4,10.5,11.1,0.3,2.78
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,3474,14,60.6,62.4,62.4,61.7,62,1.4,2.31
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,2312,20,34.1,34.8,34.8,33.8,34,-0.1,-0.29
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,19518,42,14.1,14.1,14.4,14,14,-0.1,-0.71
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,57267,137,75,74.5,75.7,72.1,72.6,-2.4,-3.2
B P P L HOLDINGS PLC,BPPL.N0000,208419,128,23.2,23,23,22.4,22.8,-0.4,-1.72
BAIRAHA FARMS PLC,BFL.N0000,43856,82,442.25,442,452,440.25,449,6.75,1.53
BALANGODA PLANTATIONS PLC,BALA.N0000,4397,34,90.3,90.5,91.5,89.9,90,-0.3,-0.33
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,9754,12,23.3,23.5,24.3,23.5,23.5,0.2,0.86
BERUWALA RESORTS PLC,BERU.N0000,177758,31,4,4.1,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,2204687,2919,109.75,117,137,115.75,137,27.25,24.83
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,11074,21,82,82.3,82.3,79.2,79.2,-2.8,-3.41
BROWN & COMPANY PLC,BRWN.N0000,60922,128,179.75,179.75,182,178,180.25,0.5,0.28
BROWNS BEACH HOTELS PLC,BBH.N0000,2865,11,25.7,25.7,25.7,25,25.1,-0.6,-2.33
BROWNS INVESTMENTS PLC,BIL.N0000,19542808,937,7.4,7.4,7.5,7.2,7.3,-0.1,-1.35
BUKIT DARAH PLC,BUKI.N0000,1342,17,1164,1160,1165,1150,1151.5,-12.5,-1.07
C I C HOLDINGS PLC,CIC.N0000,3769257,944,33,33.2,33.2,31.8,32.3,-0.7,-2.12
C I C HOLDINGS PLC,CIC.X0000,3028985,356,25.8,25.9,26.4,25.6,26.3,0.5,1.94
C M HOLDINGS PLC,COLO.N0000,66408,122,68.2,68.4,68.4,65.8,66.5,-1.7,-2.49
C T HOLDINGS PLC,CTHR.N0000,371,11,694.5,699,699,671.5,673,-21.5,-3.1
C T LAND DEVELOPMENT PLC,CTLD.N0000,27665,38,40.9,40,40.9,39,40,-0.9,-2.2
C. W. MACKIE PLC,CWM.N0000,23919,72,129,129,129,126.5,128.5,-0.5,-0.39
CABLE SOLUTIONS PLC,CSLK.N0000,462027,106,14.8,14.7,15.2,14.7,15,0.2,1.35
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,95,2,14.4,14.4,14.4,14.3,14.4,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,238873,160,16.4,16.9,17,16.7,16.8,0.4,2.44
CAPITAL ALLIANCE PLC,CALT.N0000,215567,289,52.8,53,53.2,52,52.1,-0.7,-1.33
CARGILLS (CEYLON) PLC,CARG.N0000,3087,55,845,847,847,836,844.25,-0.75,-0.09
CARGILLS BANK PLC,CBNK.N0000,1591448,234,10.5,10.6,10.8,10.5,10.8,0.3,2.86
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,7639,28,185.5,189.5,190,185.75,189.5,4,2.16
CARSON CUMBERBATCH PLC,CARS.N0000,661,30,800.5,801.25,819,800,800.5,0,0
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,411091,172,309.75,310,313,310,311.25,1.5,0.48
CENTRAL INDUSTRIES PLC,CIND.N0000,18448,77,220,223.5,223.5,220,222.75,2.75,1.25
CEYLINCO HOLDINGS PLC,CINS.N0000,74,3,3358.25,3200.5,3350.5,3200.5,3358.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,39,7,1951,1970,1970,1891,1951,0,0
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,266,9,2634.25,2613,2745,2612,2632.75,-1.5,-0.06
CEYLON COLD STORES PLC,CCS.N0000,263084,243,117.25,116.75,117,114.75,115,-2.25,-1.92
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,66319,195,427.5,434,434,422,428.25,0.75,0.18
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,36687,84,303.25,303.25,310,303.25,309.5,6.25,2.06
CEYLON HOSPITALS PLC,CHL.N0000,11991,46,267,275,277.75,264,275,8,3
CEYLON HOSPITALS PLC,CHL.X0000,116,9,200,208.5,208.5,193.75,206.75,6.75,3.38
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,64481,67,45.2,45.8,46,44.8,44.9,-0.3,-0.66
CEYLON INVESTMENT PLC,CINV.N0000,389368,312,136.5,138,142,138,141.75,5.25,3.85
CEYLON LAND & EQUITY PLC,KZOO.N0000,570592,64,12.8,13,13,12.5,12.6,-0.2,-1.56
CEYLON TEA BROKERS PLC,CTBL.N0000,387737,180,9.1,9.2,9.2,8.6,8.9,-0.2,-2.2
CEYLON TOBACCO COMPANY PLC,CTC.N0000,23169,99,1695,1695,1695,1692,1694.5,-0.5,-0.03
CHEMANEX PLC,CHMX.N0000,74627,147,169.5,170,185,170,180,10.5,6.19
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,43638,143,185.25,186,187,185.5,185.75,0.5,0.27
CHRISSWORLD PLC,CWL.N0000,22324,27,13.1,13,13.1,12.8,12.9,-0.2,-1.53
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,782,11,382.5,396.25,396.25,394.75,394.75,12.25,3.2
