Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,6783,134,1080.5,1098.5,1098.5,1004,1051.75,-28.75,-2.66
ABANS FINANCE PLC,AFSL.N0000,5278,21,69.9,70,70,68.1,68.3,-1.6,-2.29
ACCESS ENGINEERING PLC,AEL.N0000,596813,210,61.8,62,62.1,60.6,61,-0.8,-1.29
ACL CABLES PLC,ACL.N0000,282512,230,197.25,198,200,195,199.75,2.5,1.27
ACL PLASTICS PLC,APLA.N0000,6413,66,1240,1200,1235,1150,1201,-39,-3.15
ACME PRINTING & PACKAGING PLC,ACME.N0000,181906,91,7.1,7.4,7.4,7.1,7.2,0.1,1.41
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,91248,48,61,60.2,61,60.2,61,0,0
Agarapatana Plantations PLC,AGPL.N0000,207167,94,23.3,23.2,23.4,22.3,22.5,-0.8,-3.43
AGSTAR PLC,AGST.N0000,781151,158,9,9,9.3,9,9.2,0.2,2.22
AGSTAR PLC,AGST.X0000,10698,10,11,11,11.3,10.5,10.5,-0.5,-4.55
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,109312,110,116,117,117,115,116,0,0
AITKEN SPENCE PLC,SPEN.N0000,901642,178,156.25,155,162,155,159.75,3.5,2.24
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,816,12,365,377,377,365,373.75,8.75,2.4
ALPHA FIRE SERVICES PLC,AFS.N0000,694489,219,27.1,26.1,29.9,26.1,28.7,1.6,5.9
ALUMEX PLC,ALUM.N0000,6709695,676,20.8,20.9,21.3,20.5,21.1,0.3,1.44
AMANA BANK PLC,ABL.N0000,454135,126,26,26.5,26.5,25.7,25.9,-0.1,-0.38
AMANA TAKAFUL LIFE PLC,ATLL.N0000,5086,31,48,48.8,48.8,48,48.1,0.1,0.21
AMANA TAKAFUL PLC,ATL.N0000,41477,32,23.2,23.3,24,23.1,23.2,0,0
AMBEON CAPITAL PLC,TAP.N0000,817435,156,32,32.4,32.4,30.9,31.9,-0.1,-0.31
AMBEON HOLDINGS PLC,GREG.N0000,4454,24,119.75,120,124.75,120,122.5,2.75,2.3
ARPICO INSURANCE PLC,AINS.N0000,2000,5,37.7,37.8,39,37.8,39,1.3,3.45
ASIA ASSET FINANCE PLC,AAF.N0000,3555611,953,50,51,56.7,51,54.9,4.9,9.8
ASIA CAPITAL PLC,ACAP.N0000,93307,37,4.8,4.8,5,4.6,4.9,0.1,2.08
