Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,14213,298,750.25,750,885,750,847.5,97.25,12.96
ABANS FINANCE PLC,AFSL.N0000,2078,16,69.7,71.9,72.8,69,72.7,3,4.3
ACCESS ENGINEERING PLC,AEL.N0000,8690382,998,59.8,58,59.5,56.6,58.9,-0.9,-1.51
ACL CABLES PLC,ACL.N0000,286763,289,180,180.75,192,180.25,187.75,7.75,4.31
ACL PLASTICS PLC,APLA.N0000,31432,251,819.5,830,957.5,830,936.75,117.25,14.31
ACME PRINTING & PACKAGING PLC,ACME.N0000,1001,2,5.2,5.3,5.3,5.2,5.2,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,238341,146,62.2,61.5,61.8,60,61.5,-0.7,-1.13
Agarapatana Plantations PLC,AGPL.N0000,5002833,564,22.8,20,24.1,19.7,24,1.2,5.26
AGSTAR PLC,AGST.N0000,10816837,1093,7.8,8,9,8,8.7,0.9,11.54
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,155797,129,83.6,83,83.6,81.8,82.4,-1.2,-1.44
AITKEN SPENCE PLC,SPEN.N0000,66501,91,147,146.25,147,145,146.25,-0.75,-0.51
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,35496,72,408,410,410,399,401.25,-6.75,-1.65
ALPHA FIRE SERVICES PLC,AFS.N0000,777041,447,27.7,27.7,32,27.7,29,1.3,4.69
ALUMEX PLC,ALUM.N0000,539157,139,17.1,17.4,17.5,17.1,17.4,0.3,1.75
AMANA BANK PLC,ABL.N0000,288850,114,24.6,24.7,25.2,24.7,24.9,0.3,1.22
AMANA TAKAFUL PLC,ATL.N0000,25900,24,14.9,14.9,15.4,14.8,15.2,0.3,2.01
AMBEON CAPITAL PLC,TAP.N0000,2411509,365,27.9,28,28.9,27,28.3,0.4,1.43
AMBEON HOLDINGS PLC,GREG.N0000,24854,26,103,103,103,98.5,103,0,0
ARPICO INSURANCE PLC,AINS.N0000,11564,15,36.2,37.4,37.5,36.8,37.3,1.1,3.04
ASIA ASSET FINANCE PLC,AAF.N0000,236129,121,50.2,50.8,50.9,49,49.1,-1.1,-2.19
ASIA CAPITAL PLC,ACAP.N0000,28856,16,4.4,4.5,4.5,4.4,4.4,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,192870,73,6.9,6.9,7,6.7,6.9,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,159989,48,65,64.8,66,64.8,65,0,0
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,29319,52,33.6,35.5,36,33.9,34.6,1,2.98
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,46372,38,13.1,13.3,13.6,13.2,13.5,0.4,3.05
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,349504,288,94,96,98,92,93.1,-0.9,-0.96
B P P L HOLDINGS PLC,BPPL.N0000,11001,18,19,19,19.2,18.7,18.9,-0.1,-0.53
BAIRAHA FARMS PLC,BFL.N0000,89661,213,215.25,214.5,214.5,208,211.25,-4,-1.86
BALANGODA PLANTATIONS PLC,BALA.N0000,69940,58,85.5,83.6,85.7,83,83.2,-2.3,-2.69
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,7663,7,22,22,22.5,21.7,22.4,0.4,1.82
BERUWALA RESORTS PLC,BERU.N0000,1816275,98,4.1,4.1,4.1,3.9,4,-0.1,-2.44
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1120064,2047,93.8,97,114.5,97,106,12.2,13.01
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,226921,36,80,77,79.7,77,78.5,-1.5,-1.88
BROWN & COMPANY PLC,BRWN.N0000,269571,566,179.75,187.75,193.25,180.25,192.25,12.5,6.95
BROWNS BEACH HOTELS PLC,BBH.N0000,10306,23,22,22.2,22.9,22.1,22.2,0.2,0.91
BROWNS INVESTMENTS PLC,BIL.N0000,10492653,659,7.7,7.7,8,7.6,7.9,0.2,2.6
BUKIT DARAH PLC,BUKI.N0000,44705,46,814,825,840,816,840,26,3.19
C I C HOLDINGS PLC,CIC.X0000,640929,247,101.75,102,104.5,101.25,101.75,0,0
C I C HOLDINGS PLC,CIC.N0000,271881,178,135.5,135.5,137.5,135,135.5,0,0
C M HOLDINGS PLC,COLO.N0000,690,11,380,388,388,374.5,375,-5,-1.32
C T HOLDINGS PLC,CTHR.N0000,175024,17,697,715.75,715,690,708,11,1.58
C T LAND DEVELOPMENT PLC,CTLD.N0000,37555,36,33.6,33.3,34.4,32.4,34,0.4,1.19
C. W. MACKIE PLC,CWM.N0000,22972,91,121,121,125.5,119,124.75,3.75,3.1
CABLE SOLUTIONS PLC,CSLK.N0000,342490,111,14.9,14.7,15.3,14.7,15,0.1,0.67
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,424,3,13.5,13.7,13.8,13.7,13.8,0.3,2.22
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,2113056,310,18,18,18.8,17.9,18.5,0.5,2.78
CAPITAL ALLIANCE PLC,CALT.N0000,402497,224,55,55,56.6,55,56.2,1.2,2.18
CARGILLS (CEYLON) PLC,CARG.N0000,61698,38,705,720,723,700.75,704,-1,-0.14
CARGILLS BANK PLC,CBNK.N0000,353252,131,9.3,9.3,9.4,9.2,9.2,-0.1,-1.08
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,19131,58,151.5,154,155,150,154.75,3.25,2.15
CARSON CUMBERBATCH PLC,CARS.N0000,4615,35,614.75,628,650,615,640.5,25.75,4.19
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,584076,291,294.25,294,298,292.25,294.25,0,0
CENTRAL INDUSTRIES PLC,CIND.N0000,85915,111,171.75,171,174,170,173.75,2,1.16
CEYLINCO HOLDINGS PLC,CINS.N0000,2,1,3280,3350,3350,3350,3280,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,13855,38,1651.25,1665,1699,1600,1600,-51.25,-3.1
CEYLON COLD STORES PLC,CCS.N0000,207793,132,111.5,112.5,113,111.5,112,0.5,0.45
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,28614,93,330.5,326,340,326,338,7.5,2.27
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,165689,221,213.75,215.25,232.5,215.25,229.75,16,7.49
CEYLON HOSPITALS PLC,CHL.X0000,38770,143,130,136,162.5,133.25,150.5,20.5,15.77
CEYLON HOSPITALS PLC,CHL.N0000,32928,175,150.25,165,187.75,165,178.75,28.5,18.97
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,256459,66,26.2,26,26.3,25.8,26.1,-0.1,-0.38
CEYLON INVESTMENT PLC,CINV.N0000,716840,619,110,112,126,112,121.25,11.25,10.23
CEYLON LAND & EQUITY PLC,KZOO.N0000,4910065,388,10.9,11,11.7,10.8,11.4,0.5,4.59
CEYLON PRINTERS PLC,CPRT.N0000,872,7,292,298,299,285,298.75,6.75,2.31
CEYLON TEA BROKERS PLC,CTBL.N0000,321785,75,7.3,7.3,7.3,7.1,7.1,-0.2,-2.74
CEYLON TOBACCO COMPANY PLC,CTC.N0000,2315,70,1595.25,1610,1615,1603,1614,18.75,1.18
CHEMANEX PLC,CHMX.N0000,7309,39,160.75,160.75,167.75,157,160.5,-0.25,-0.16
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,522941,260,176,176.5,183.75,176.5,182,6,3.41
CHRISSWORLD PLC,CWL.N0000,70438,68,11.1,10.9,10.9,10.5,10.7,-0.4,-3.6
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,6371,51,305.25,305,305,301,305,-0.25,-0.08
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,3871,38,387,389,397.75,376.25,392.25,5.25,1.36
CITRUS LEISURE PLC,REEF.N0000,834657,87,4.1,4.2,4.2,4,4.1,0,0
Co-operative Insurance Company PLC,COOP.N0000,16899590,750,4.9,5,5.2,4.7,4.8,-0.1,-2.04
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,122871,136,99,100,109,100,105.25,6.25,6.31
COLOMBO DOCKYARD PLC,DOCK.N0000,69987,126,103.25,104.75,104.75,102,103,-0.25,-0.24
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,8739,30,313.5,312.25,313,302,303.25,-10.25,-3.27
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,4342,47,363.25,363,380,331,351,-12.25,-3.37
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,91469,38,32.8,33.4,33.4,32,32.4,-0.4,-1.22
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,2060373,743,172.5,175,181.75,175,181.25,8.75,5.07
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,743885,484,148,150,154,149.25,153.5,5.5,3.72
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,624802,447,123,123,127.75,121.75,126.5,3.5,2.85
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,2149,16,233.75,238,238,230,235,1.25,0.53
CONVENIENCE FOODS LANKA PLC,SOY.N0000,5906,140,1750,1775,1850,1770,1829.5,79.5,4.54
DANKOTUWA PORCELAIN PLC,DPL.N0000,66313,83,22,21.4,22,21,21.9,-0.1,-0.45
DFCC BANK PLC,DFCC.N0000,772982,601,153.25,153,161,152.75,160.25,7,4.57
DIALOG AXIATA PLC,DIAL.N0000,1309894,184,21.5,21.5,21.6,21.1,21.5,0,0
DIALOG FINANCE PLC,CALF.N0000,9861,63,71.7,72,72,65,70.4,-1.3,-1.81
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,802,19,1299.5,1299.25,1299.75,1285,1290.5,-9,-0.69
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,1597079,1020,123,125,125,115,118.25,-4.75,-3.86
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,360,15,1188.5,1188,1190,1160,1160,-28.5,-2.4
DIPPED PRODUCTS PLC,DIPD.N0000,1275922,254,59,59,59.9,58.2,59.1,0.1,0.17
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,137374,109,45.5,45.5,45.6,45,45.4,-0.1,-0.22
DOLPHIN HOTELS PLC,STAF.N0000,87650,65,49.6,49.9,49.9,48.9,49.4,-0.2,-0.4
E - CHANNELLING PLC,ECL.N0000,171564,68,12.9,13,13.3,12.8,13.3,0.4,3.1
E B CREASY & COMPANY PLC,EBCR.N0000,50896,106,62.1,63,64.9,62.6,63.5,1.4,2.25
E M L CONSULTANTS PLC,EML.N0000,711613,175,4.2,4.3,4.6,4.1,4.4,0.2,4.76
EAST WEST PROPERTIES PLC,EAST.N0000,3222989,956,52.7,52.8,54.7,50,52.8,0.1,0.19
EASTERN MERCHANTS PLC,EMER.N0000,1381689,258,8.5,8.6,10,8.6,9.6,1.1,12.94
EDEN HOTEL LANKA PLC,EDEN.N0000,74367,71,14,14.3,14.4,14,14.3,0.3,2.14
ELPITIYA PLANTATIONS PLC,ELPL.N0000,12890,93,176,177,178,167.75,172,-4,-2.27
EQUITY TWO PLC,ETWO.N0000,65607,72,47.1,47,47.7,46.5,47.5,0.4,0.85
Ex-pack Corrugated Cartons PLC,PACK.N0000,995038,190,15.1,14.8,15,14.6,14.8,-0.3,-1.99
EXTERMINATORS PLC,EXT.N0000,392019,34,5.7,6,6,5.8,6,0.3,5.26
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,1238851,849,42.3,42.4,45,42.4,44.1,1.8,4.26
First Capital Treasuries PLC,FCT.N0000,668352,410,26.6,26.6,28.1,26.5,27.2,0.6,2.26
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,123762,110,19.8,19.6,20,19,19.6,-0.2,-1.01
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,107727,210,80.1,81,85.9,79,83.1,3,3.75
GESTETNER OF CEYLON PLC,GEST.N0000,8392,37,216.25,223.75,224,220,222.5,6.25,2.89
GREENTECH ENERGY PLC,MEL.N0000,1152784,125,3,2.9,3,2.8,3,0,0
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,31,3,52,50.8,52,50.8,52,0,0
HARISCHANDRA MILLS PLC,HARI.N0000,12,2,3929.75,3960,3997,3960,3929.75,0,0
HATTON NATIONAL BANK PLC,HNB.X0000,403236,322,300,300,306,299,304.25,4.25,1.42
HATTON NATIONAL BANK PLC,HNB.N0000,1609143,318,378,377.25,380,377.25,379.75,1.75,0.46
HATTON PLANTATIONS PLC,HPL.N0000,171453,105,29,28.8,29.1,27.5,27.8,-1.2,-4.14
HAYCARB PLC,HAYC.N0000,116333,142,91.2,91.5,93,90.2,91.8,0.6,0.66
HAYLEYS FABRIC PLC,MGT.N0000,788733,174,44.7,44.5,44.5,44,44,-0.7,-1.57
HAYLEYS FIBRE PLC,HEXP.N0000,32658,157,63.6,63.5,69.8,63.2,65.6,2,3.14
HAYLEYS LEISURE PLC,CONN.N0000,62872,50,32.3,31.8,32.2,31.5,31.6,-0.7,-2.17
HAYLEYS PLC,HAYL.N0000,461258,413,177.75,177.5,177.5,175.5,176.5,-1.25,-0.7
HELA APPAREL HOLDINGS PLC,HELA.N0000,953694,96,3.5,3.5,3.6,3.4,3.5,0,0
HEMAS HOLDINGS PLC,HHL.N0000,2463109,680,30.5,30.7,30.7,30,30.3,-0.2,-0.66
HIKKADUWA BEACH RESORT PLC,CITH.N0000,402306,41,3.4,3.4,3.5,3.3,3.4,0,0
HNB ASSURANCE PLC,HASU.N0000,75402,56,102.25,104,104,102,103.25,1,0.98
HNB FINANCE PLC,HNBF.N0000,5705255,412,7.9,8,8,7.6,7.8,-0.1,-1.27
HNB FINANCE PLC,HNBF.X0000,629145,69,8.8,8.8,8.8,8.4,8.6,-0.2,-2.27
HORANA PLANTATIONS PLC,HOPL.N0000,3741,13,62,61.1,63,60.5,60.9,-1.1,-1.77
HOTEL SIGIRIYA PLC,HSIG.N0000,18672,20,80.3,79.9,82.9,79.9,82.2,1.9,2.37
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,111320,107,43.1,43.1,43.9,42.8,43.1,0,0
hSenid Business Solutions PLC,HBS.N0000,180025,69,12,12,12.2,11.7,12,0,0
HUNAS HOLDINGS PLC,HUNA.N0000,40344,51,20.7,20.9,21,20.7,20.8,0.1,0.48
HUNTER & COMPANY PLC,HUNT.N0000,21,3,775,799.75,829,799.75,775,0,0
HVA FOODS PLC,HVA.N0000,88418,60,3.2,3.2,3.3,3.2,3.3,0.1,3.13
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,7626695,130,0.4,0.4,0.5,0.4,0.4,0,0
JANASHAKTHI FINANCE PLC,BFN.N0000,56864,53,41.7,41.5,44.4,41,41.5,-0.2,-0.48
JANASHAKTHI INSURANCE PLC,JINS.N0000,1944836,1412,74.1,77,87.9,77,83.6,9.5,12.82
JAT HOLDINGS PLC,JAT.N0000,176296,109,37.7,37.7,37.7,37,37.7,0,0
JETWING SYMPHONY PLC,JETS.N0000,1837578,126,15.8,15.8,16.2,15.3,15.8,0,0
JOHN KEELLS HOLDINGS PLC,JKH.N0000,13583563,1033,22.8,22.9,23.1,22.7,23,0.2,0.88
JOHN KEELLS HOTELS PLC,KHL.N0000,448390,155,21.1,21,21.3,20.5,21.1,0,0
JOHN KEELLS PLC,JKL.N0000,3075,25,85,85,85,83.5,83.9,-1.1,-1.29
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,28499,9,22.6,22.6,23,22.5,22.5,-0.1,-0.44
KAPRUKA HOLDINGS PLC,KPHL.N0000,9361,19,7.9,7.8,7.8,7.7,7.8,-0.1,-1.27
KEELLS FOOD PRODUCTS PLC,KFP.N0000,184,6,183.25,182,182,175,182,-1.25,-0.68
KEGALLE PLANTATIONS PLC,KGAL.N0000,974,19,135.25,137,137,132,136.75,1.5,1.11
KELANI CABLES PLC,KCAB.N0000,114990,222,745.75,745,799.5,744,780,34.25,4.59
KELANI TYRES PLC,TYRE.N0000,211139,375,105.5,106,107.5,104.75,105,-0.5,-0.47
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,15999,52,96.2,97.5,97.5,95.1,96.5,0.3,0.31
KOTAGALA PLANTATIONS PLC,KOTA.N0000,1080115,98,9,9,9.3,9,9.1,0.1,1.11
KOTMALE HOLDINGS PLC,LAMB.N0000,14,3,647.25,650,650,649.75,647.25,0,0
L O L C HOLDINGS PLC,LOLC.N0000,843385,867,551.75,560,590,550,581,29.25,5.3
