Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1183,44,856.75,870,870,840,844.75,-12,-1.4
ABANS FINANCE PLC,AFSL.N0000,5566,11,70.1,70,72.4,69.5,69.5,-0.6,-0.86
ACCESS ENGINEERING PLC,AEL.N0000,1148747,309,61.3,61.5,61.5,60.9,61,-0.3,-0.49
ACL CABLES PLC,ACL.N0000,212678,129,189.5,190.75,190.75,186,187,-2.5,-1.32
ACL PLASTICS PLC,APLA.N0000,1332,13,966.25,960.5,975,960.25,970,3.75,0.39
ACME PRINTING & PACKAGING PLC,ACME.N0000,405284,33,6.6,6.7,6.7,6.5,6.6,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,61273,37,61.6,61.8,61.8,60.6,61.4,-0.2,-0.32
Agarapatana Plantations PLC,AGPL.N0000,342056,110,23.4,23.5,23.8,23.1,23.1,-0.3,-1.28
AGSTAR PLC,AGST.N0000,1357625,134,8.6,8.6,8.8,8.5,8.5,-0.1,-1.16
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1905684,894,88.5,90,100,90,99.5,11,12.43
AITKEN SPENCE PLC,SPEN.N0000,836771,130,147,148.25,151,146.25,150,3,2.04
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,7028,54,394,395,395,383,383.25,-10.75,-2.73
ALPHA FIRE SERVICES PLC,AFS.N0000,62667,89,28.7,29,29,27.5,27.7,-1,-3.48
ALUMEX PLC,ALUM.N0000,113445567,3407,18.6,18.7,21.2,18.7,19.6,1,5.38
AMANA BANK PLC,ABL.N0000,79837,100,27.2,27.2,27.5,27.2,27.3,0.1,0.37
AMANA TAKAFUL LIFE PLC,ATLL.N0000,120,7,57.7,57.1,57.1,56.5,57,-0.7,-1.21
AMANA TAKAFUL PLC,ATL.N0000,45391,34,23.9,23.3,24,23,23.3,-0.6,-2.51
