Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,3337,44,1015.75,1017,1045,1017,1036.25,20.5,2.02
ABANS FINANCE PLC,AFSL.N0000,1385,11,68.3,69.9,69.9,68,69.4,1.1,1.61
ACCESS ENGINEERING PLC,AEL.N0000,901169,268,62.1,62.5,62.8,61.8,62,-0.1,-0.16
ACL CABLES PLC,ACL.N0000,399082,211,202,202,202.75,199,202,0,0
ACL PLASTICS PLC,APLA.N0000,12479,83,1197.75,1160.25,1200,1100,1114.25,-83.5,-6.97
ACME PRINTING & PACKAGING PLC,ACME.N0000,25982,36,7,7.2,7.2,6.9,7,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,27260,26,61,61.4,61.4,60.6,60.7,-0.3,-0.49
Agarapatana Plantations PLC,AGPL.N0000,148104,77,22.5,22.5,22.9,22.1,22.3,-0.2,-0.89
AGSTAR PLC,AGST.N0000,607544,142,9.1,9.2,9.2,9,9,-0.1,-1.1
AGSTAR PLC,AGST.X0000,3897,16,10,10.1,11.6,10.1,10.9,0.9,9
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,885607,248,120,121.75,122.5,120,122,2,1.67
AITKEN SPENCE PLC,SPEN.N0000,104717,70,159.75,161.75,161.75,160,160.75,1,0.63
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2729,26,372.75,374,374.75,368,369.75,-3,-0.8
ALPHA FIRE SERVICES PLC,AFS.N0000,27196,23,27.7,27.5,28.7,27.3,27.5,-0.2,-0.72
ALUMEX PLC,ALUM.N0000,4466051,845,21,20.8,21.1,20.5,20.6,-0.4,-1.9
AMANA BANK PLC,ABL.N0000,172093,198,28,28.3,28.3,27.9,28,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,219,8,48.5,49.9,49.9,48.5,49.7,1.2,2.47
AMANA TAKAFUL PLC,ATL.N0000,21171,29,23.5,23.2,23.2,22,22.7,-0.8,-3.4
AMBEON CAPITAL PLC,TAP.N0000,271728,69,31,30.8,31.5,30.2,30.5,-0.5,-1.61
AMBEON HOLDINGS PLC,GREG.N0000,7278,19,121.5,118,121.75,115.25,120,-1.5,-1.23
ARPICO INSURANCE PLC,AINS.N0000,2461,18,35.7,37.4,37.5,35.8,35.9,0.2,0.56
ASIA ASSET FINANCE PLC,AAF.N0000,1911227,649,57.9,58,61.9,57.7,60.7,2.8,4.84
ASIA CAPITAL PLC,ACAP.N0000,31059,28,4.9,4.9,4.9,4.7,4.7,-0.2,-4.08
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,935549,139,9.5,9.8,9.8,9.2,9.2,-0.3,-3.16
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,14298,13,68.7,67,68.7,66.7,67.5,-1.2,-1.75
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,38805,51,36,36.5,37.2,35.4,36.4,0.4,1.11
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,87554,69,13.6,14,14,13,13.2,-0.4,-2.94
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,177866,182,96,96.7,97.9,93,94.8,-1.2,-1.25
B P P L HOLDINGS PLC,BPPL.N0000,37480,22,20,20.4,20.5,20.3,20.3,0.3,1.5
BAIRAHA FARMS PLC,BFL.N0000,119864,187,318.75,317,325,315,322.25,3.5,1.1
BALANGODA PLANTATIONS PLC,BALA.N0000,2718,19,96.6,94.8,96.9,94.3,94.3,-2.3,-2.38
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2615,19,24.5,25.7,25.7,24,24.4,-0.1,-0.41
BERUWALA RESORTS PLC,BERU.N0000,677440,46,4,4.1,4.2,4,4.1,0.1,2.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,19615,43,81.3,83,83,80.9,81.6,0.3,0.37
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,1887,15,83.4,85,85.8,83.1,85.6,2.2,2.64
BROWN & COMPANY PLC,BRWN.N0000,325143,478,185.75,187,196.75,186.75,195.75,10,5.38
BROWNS BEACH HOTELS PLC,BBH.N0000,26578,28,28,28.5,28.5,27.5,27.9,-0.1,-0.36
BROWNS INVESTMENTS PLC,BIL.N0000,62498851,2055,7.7,7.8,8.2,7.7,8.1,0.4,5.19
BUKIT DARAH PLC,BUKI.N0000,10,6,988.25,988.25,988.25,955,988.25,0,0
C I C HOLDINGS PLC,CIC.N0000,444578,149,150.75,150.5,151.5,150,150.25,-0.5,-0.33
C I C HOLDINGS PLC,CIC.X0000,516248,154,118,119,119,116.5,117,-1,-0.85
C M HOLDINGS PLC,COLO.N0000,459,12,412.75,418,418,410,410,-2.75,-0.67
C T HOLDINGS PLC,CTHR.N0000,4,3,699.25,699.75,699.75,683,699.25,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,2518,17,38,38,38,37,37,-1,-2.63
C. W. MACKIE PLC,CWM.N0000,2067,16,124,124,124,122.5,124,0,0
CABLE SOLUTIONS PLC,CSLK.N0000,192084,64,15.4,15.8,15.8,15.3,15.3,-0.1,-0.65
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,100,1,15.3,15.9,15.9,15.9,15.9,0.6,3.92
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,21062737,561,17,17.2,18.2,17,17.8,0.8,4.71
CAPITAL ALLIANCE PLC,CALT.N0000,38534,148,54,54.8,54.8,53.7,53.8,-0.2,-0.37
CARGILLS (CEYLON) PLC,CARG.N0000,182,26,780.5,778.25,789,778.25,788.5,8,1.02
CARGILLS BANK PLC,CBNK.N0000,1942695,174,9.7,9.8,9.8,9.6,9.7,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,2674,23,190,188,189.5,176,189.5,-0.5,-0.26
CARSON CUMBERBATCH PLC,CARS.N0000,297,18,790.5,800,800,751,760.75,-29.75,-3.76
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,67584,105,282,285,288.5,282,282.75,0.75,0.27
CENTRAL INDUSTRIES PLC,CIND.N0000,25511,85,205.5,206,207.75,203.25,205.25,-0.25,-0.12
CEYLINCO HOLDINGS PLC,CINS.N0000,20001,2,3100,3175,3248,3248,3100,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,25568,10,1767.5,1752.25,1775,1752.25,1775,7.5,0.42
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,22,4,2603.25,2620,2775,2600,2603.25,0,0
CEYLON COLD STORES PLC,CCS.N0000,316333,191,110,111.5,115.75,111,114.5,4.5,4.09
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,21609,40,347.5,348,348.5,345,345.75,-1.75,-0.5
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,1849,25,285,287,287,281,284,-1,-0.35
CEYLON HOSPITALS PLC,CHL.N0000,237,10,184.75,185,185,175,176.5,-8.25,-4.47
CEYLON HOSPITALS PLC,CHL.X0000,1754,15,154,154,170,150,156,2,1.3
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,339762,83,37.5,37,38.5,36.3,36.7,-0.8,-2.13
CEYLON INVESTMENT PLC,CINV.N0000,14711,46,127,128,128.75,126.75,127.25,0.25,0.2
CEYLON LAND & EQUITY PLC,KZOO.N0000,118845,42,10.7,11,11,10.6,10.6,-0.1,-0.93
CEYLON TEA BROKERS PLC,CTBL.N0000,190690,45,8.2,8.3,8.4,8.1,8.1,-0.1,-1.22
CEYLON TOBACCO COMPANY PLC,CTC.N0000,3994,71,1599.75,1600,1600,1585,1599.75,0,0
CHEMANEX PLC,CHMX.N0000,79875,200,184,184.25,190,184,186,2,1.09
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,29879,66,174.75,174.75,175,174.5,175,0.25,0.14
CHRISSWORLD PLC,CWL.N0000,428230,160,12.6,12.8,14,12.5,13.6,1,7.94
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,771,10,353.25,365,365,351,356.5,3.25,0.92
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,1945,23,290.25,293.25,293.5,293,293,2.75,0.95
CITRUS LEISURE PLC,REEF.N0000,261464,77,4.5,4.6,4.6,4.3,4.4,-0.1,-2.22
Co-operative Insurance Company PLC,COOP.N0000,600861,60,4.6,4.6,4.7,4.5,4.6,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,63659,112,170.25,178.25,182.5,168,181.5,11.25,6.61
COLOMBO DOCKYARD PLC,DOCK.N0000,41456,68,117,117,120,115,115.5,-1.5,-1.28
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,933,17,302.25,302,302,298,298.5,-3.75,-1.24
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,360,8,356,355,355,350,350.5,-5.5,-1.54
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,264612,110,41,41,42,39.8,40.8,-0.2,-0.49
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,98594,117,171.75,175,175,173,174,2.25,1.31
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,1737269,369,193.25,194.5,195.25,190,192.5,-0.75,-0.39
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,173914,182,137.25,137.75,139,137,138.75,1.5,1.09
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,252,14,238.75,238.5,243,236.25,241.5,2.75,1.15
CONVENIENCE FOODS LANKA PLC,SOY.N0000,5,5,1899.75,1860,1919.75,1860,1899.75,0,0
DANKOTUWA PORCELAIN PLC,DPL.N0000,269986,171,19.6,19.8,20.3,19.5,19.9,0.3,1.53
DFCC BANK PLC,DFCC.N0000,1222029,227,162.5,161.5,163,161.25,162.75,0.25,0.15
DIALOG AXIATA PLC,DIAL.N0000,772396,138,25.6,25.7,25.9,25.5,25.7,0.1,0.39
DIALOG FINANCE PLC,CALF.N0000,8663,33,68.5,69,69,67.2,67.2,-1.3,-1.9
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,11861,231,1518.5,1570,1720,1570,1696.5,178,11.72
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,1924929,1024,127.25,129.5,137.25,129.5,136.25,9,7.07
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,28,6,1141,1110,1150,1110,1141,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,2950531,744,62.1,62.3,64.3,61.8,64.1,2,3.22
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,48512,52,46,46,46.3,45.9,46.3,0.3,0.65
DOLPHIN HOTELS PLC,STAF.N0000,62045,80,66,65.7,66,65,65.1,-0.9,-1.36
E - CHANNELLING PLC,ECL.N0000,44277,30,16.1,15.9,16.5,15.9,16.2,0.1,0.62
E B CREASY & COMPANY PLC,EBCR.N0000,119513,117,68.3,68.5,69,67,67.5,-0.8,-1.17
E M L CONSULTANTS PLC,EML.N0000,2998865,379,4.8,4.8,5.4,4.6,5.2,0.4,8.33
EAST WEST PROPERTIES PLC,EAST.N0000,245890,159,62.6,65.8,65.8,61.3,61.9,-0.7,-1.12
EASTERN MERCHANTS PLC,EMER.N0000,184049,92,11.6,11.6,11.6,11,11.2,-0.4,-3.45
EDEN HOTEL LANKA PLC,EDEN.N0000,83745,55,15,15,15,14.8,14.8,-0.2,-1.33
ELPITIYA PLANTATIONS PLC,ELPL.N0000,28276,61,171.5,173,177,171.75,174.5,3,1.75
EQUITY TWO PLC,ETWO.N0000,26218,83,90.3,89,89,85,85.6,-4.7,-5.2
Ex-pack Corrugated Cartons PLC,PACK.N0000,448861,98,14.8,15,15,14.7,14.7,-0.1,-0.68
EXTERMINATORS PLC,EXT.N0000,3128316,677,7.9,7.8,8.8,7.8,8.1,0.2,2.53
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,1060023,666,61.9,62.1,64,61.1,62.9,1,1.62
First Capital Treasuries PLC,FCT.N0000,414440,436,37.4,37.5,37.6,37.1,37.2,-0.2,-0.53
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,62080,31,19.5,19.7,19.7,19.4,19.6,0.1,0.51
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,25431,62,86.1,87,87,86.1,86.2,0.1,0.12
GESTETNER OF CEYLON PLC,GEST.N0000,443,20,211.25,211.75,219,203,214,2.75,1.3
GREENTECH ENERGY PLC,MEL.N0000,420541,57,4.7,4.8,4.9,4.6,4.6,-0.1,-2.13
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,1689,27,59.5,59.5,63.8,59.5,62.2,2.7,4.54
HARISCHANDRA MILLS PLC,HARI.N0000,15,8,4796.5,4350,4460,4350,4796.5,0,0
HATTON NATIONAL BANK PLC,HNB.X0000,409236,131,296.75,298,300,298,300,3.25,1.1
HATTON NATIONAL BANK PLC,HNB.N0000,100159,178,390,390,393,389,389.25,-0.75,-0.19
HATTON PLANTATIONS PLC,HPL.N0000,169004,89,31,31.5,31.5,30.7,30.8,-0.2,-0.65
HAYCARB PLC,HAYC.N0000,128684,159,92.2,93.7,96,92,94.2,2,2.17
HAYLEYS FABRIC PLC,MGT.N0000,183741,119,44.1,45,45,44.2,45,0.9,2.04
