Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,3382,107,1051.75,1050,1050,1004.25,1015.75,-36,-3.42
ABANS FINANCE PLC,AFSL.N0000,712,6,68.3,69.9,69.9,68.3,68.3,0,0
ACCESS ENGINEERING PLC,AEL.N0000,5311473,428,61,61.2,62.5,61.2,62.1,1.1,1.8
ACL CABLES PLC,ACL.N0000,713082,221,199.75,200,204,199.75,202,2.25,1.13
ACL PLASTICS PLC,APLA.N0000,3661,28,1201,1200,1223,1154.25,1197.75,-3.25,-0.27
ACME PRINTING & PACKAGING PLC,ACME.N0000,45514,41,7.2,7,7.2,6.9,7,-0.2,-2.78
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,85357,49,61,60.3,61.4,60.3,61,0,0
Agarapatana Plantations PLC,AGPL.N0000,49371,40,22.5,22.5,23,22.5,22.5,0,0
AGSTAR PLC,AGST.N0000,602663,110,9.2,9.3,9.3,9,9.1,-0.1,-1.09
AGSTAR PLC,AGST.X0000,20000,6,10.5,10.5,10.5,10,10,-0.5,-4.76
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,1078785,337,116,116,122.5,116,120,4,3.45
AITKEN SPENCE PLC,SPEN.N0000,325632,90,159.75,159.75,161.75,158.5,159.75,0,0
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,332,16,373.75,375.75,375.75,369.5,372.75,-1,-0.27
ALPHA FIRE SERVICES PLC,AFS.N0000,40321,50,28.7,29.1,29.1,27.5,27.7,-1,-3.48
ALUMEX PLC,ALUM.N0000,4224298,700,21.1,21.3,21.3,20.7,21,-0.1,-0.47
AMANA BANK PLC,ABL.N0000,2251654,842,25.9,27.1,29,27.1,28,2.1,8.11
AMANA TAKAFUL LIFE PLC,ATLL.N0000,12225,39,48.1,49.1,49.9,47.4,48.5,0.4,0.83
AMANA TAKAFUL PLC,ATL.N0000,110631,55,23.2,23.2,25,23.2,23.5,0.3,1.29
AMBEON CAPITAL PLC,TAP.N0000,178415,77,31.9,32,32,30.7,31,-0.9,-2.82
AMBEON HOLDINGS PLC,GREG.N0000,5459,13,122.5,125,125,118,121.5,-1,-0.82
ARPICO INSURANCE PLC,AINS.N0000,978,8,39,37.8,37.8,35.1,35.7,-3.3,-8.46
ASIA ASSET FINANCE PLC,AAF.N0000,1250152,577,54.9,56,58.9,55.3,57.9,3,5.46
ASIA CAPITAL PLC,ACAP.N0000,20321,19,4.9,4.9,4.9,4.5,4.9,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1970780,155,9.9,9.8,10.2,9.5,9.5,-0.4,-4.04
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,18889,12,67.1,70,70,68.5,68.7,1.6,2.38
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,11939,27,36,36.1,36.5,35.9,36,0,0
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,12370,20,13.7,13.7,14,13.6,13.6,-0.1,-0.73
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,128610,139,98.3,98.3,99.5,96,96,-2.3,-2.34
B P P L HOLDINGS PLC,BPPL.N0000,31300,18,20,20,20.5,20,20,0,0
BAIRAHA FARMS PLC,BFL.N0000,168489,270,310.5,315,325,315,318.75,8.25,2.66
BALANGODA PLANTATIONS PLC,BALA.N0000,2219,9,96.7,94.3,96.8,94.3,96.6,-0.1,-0.1
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10087,33,25.9,25.5,26,24.5,24.5,-1.4,-5.41
BERUWALA RESORTS PLC,BERU.N0000,214118,56,4.1,4.1,4.2,4,4,-0.1,-2.44
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,58791,91,80.9,83,83.9,80,81.3,0.4,0.49
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,1139,11,84,83.7,85.8,83.1,83.4,-0.6,-0.71
BROWN & COMPANY PLC,BRWN.N0000,8811,38,188.25,189.5,189.5,184,185.75,-2.5,-1.33
BROWNS BEACH HOTELS PLC,BBH.N0000,25748,36,28.5,28.5,28.9,27.7,28,-0.5,-1.75
BROWNS INVESTMENTS PLC,BIL.N0000,25840885,627,7.6,7.7,7.8,7.5,7.7,0.1,1.32
BUKIT DARAH PLC,BUKI.N0000,631,11,960.25,962,989,962,988.25,28,2.92
C I C HOLDINGS PLC,CIC.N0000,393140,274,145.5,147,156.5,147,150.75,5.25,3.61
C I C HOLDINGS PLC,CIC.X0000,530052,268,114,115.5,119.75,115.5,118,4,3.51
C M HOLDINGS PLC,COLO.N0000,629,16,406.5,414,415,410,412.75,6.25,1.54
C T HOLDINGS PLC,CTHR.N0000,231859,24,666,698,700,682,699.25,33.25,4.99
C T LAND DEVELOPMENT PLC,CTLD.N0000,8487,35,38.1,39.1,39.4,36,38,-0.1,-0.26
C. W. MACKIE PLC,CWM.N0000,594,7,123.75,123.75,124,123.25,124,0.25,0.2
CABLE SOLUTIONS PLC,CSLK.N0000,392299,79,15.6,15.7,15.8,15.4,15.4,-0.2,-1.28
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,1969,8,15.3,16,16,15.3,15.3,0,0
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,20,2,13.8,14,14,14,13.8,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,2875749,409,17.3,17.3,17.5,16.6,17,-0.3,-1.73
CAPITAL ALLIANCE PLC,CALT.N0000,89519,188,54.6,54.6,54.8,53.9,54,-0.6,-1.1
CARGILLS (CEYLON) PLC,CARG.N0000,8176,45,785.25,790,790,780,780.5,-4.75,-0.6
CARGILLS BANK PLC,CBNK.N0000,7963999,690,9.6,9.7,9.9,9.6,9.7,0.1,1.04
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,13190,22,185,184.75,190,184.75,190,5,2.7
CARSON CUMBERBATCH PLC,CARS.N0000,981,8,789.25,789.5,800,789.5,790.5,1.25,0.16
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,98269,140,282.25,285,287.5,281.25,282,-0.25,-0.09
CENTRAL INDUSTRIES PLC,CIND.N0000,809364,222,196,196,209.5,196,205.5,9.5,4.85
CEYLINCO HOLDINGS PLC,CINS.X0000,4581,13,1721.5,1750,1800,1749.75,1767.5,46,2.67
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,180,19,2625.75,2652.25,2652.25,2552,2603.25,-22.5,-0.86
CEYLON COLD STORES PLC,CCS.N0000,40339,104,110.75,111.5,112,110,110,-0.75,-0.68
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,43614,75,345,346.5,348,340,347.5,2.5,0.72
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,20306,23,284.5,288.75,289,283,285,0.5,0.18
CEYLON HOSPITALS PLC,CHL.N0000,1476,12,183,184,185,173.25,184.75,1.75,0.96
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,157623,84,38.2,38.7,38.8,37,37.5,-0.7,-1.83
CEYLON INVESTMENT PLC,CINV.N0000,46882,66,126.5,127,129.75,126.5,127,0.5,0.4
CEYLON LAND & EQUITY PLC,KZOO.N0000,489558,79,10.6,10.7,10.9,10.6,10.7,0.1,0.94
CEYLON TEA BROKERS PLC,CTBL.N0000,169382,40,8.4,8.6,8.6,8.2,8.2,-0.2,-2.38
CEYLON TOBACCO COMPANY PLC,CTC.N0000,2765,83,1599.75,1600,1635,1599,1599.75,0,0
CHEMANEX PLC,CHMX.N0000,10611,25,183.25,184.75,184.75,183.25,184,0.75,0.41
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,79622,103,174.5,174.75,175,174,174.75,0.25,0.14
CHRISSWORLD PLC,CWL.N0000,52651,51,12.2,12.1,12.7,12.1,12.6,0.4,3.28
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,10826,46,291.5,291.5,292,290,290.25,-1.25,-0.43
