Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1102,42,1564.75,1564,1600,1550.75,1560.75,-4,-0.26
ABANS FINANCE PLC,AFSL.N0000,181,6,73.1,73.5,73.5,72,72.8,-0.3,-0.41
ACCESS ENGINEERING PLC,AEL.N0000,478047,167,60.9,60.9,61,60.7,61,0.1,0.16
ACL CABLES PLC,ACL.N0000,48946,62,220,222,222,220,221.5,1.5,0.68
ACL PLASTICS PLC,APLA.N0000,4140,108,1708.5,1720,1744.5,1700,1700,-8.5,-0.5
ACME PRINTING & PACKAGING PLC,ACME.N0000,5756,15,6.7,6.6,6.7,6.6,6.6,-0.1,-1.49
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,31749,51,61.4,61.4,62,61,61.6,0.2,0.33
Agarapatana Plantations PLC,AGPL.N0000,5765,25,21.7,21.9,21.9,21.7,21.8,0.1,0.46
AGSTAR PLC,AGST.N0000,2257694,156,9.7,9.8,9.8,9.4,9.7,0,0
AGSTAR PLC,AGST.X0000,1467,10,12.7,13.1,13.1,12,12.4,-0.3,-2.36
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,18553,59,124,124.75,125,122.25,123.75,-0.25,-0.2
AITKEN SPENCE PLC,SPEN.N0000,3454489,75,163.5,163.5,166,163,163,-0.5,-0.31
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,6019,49,432.5,431,431,427,427.25,-5.25,-1.21
ALPHA FIRE SERVICES PLC,AFS.N0000,25041,13,28.8,29.2,29.2,28,28.1,-0.7,-2.43
ALUMEX PLC,ALUM.N0000,347382,169,20,20.2,20.5,20.1,20.2,0.2,1
AMANA BANK PLC,ABL.N0000,53487,64,28.8,28.5,28.9,28.5,28.7,-0.1,-0.35
AMANA TAKAFUL LIFE PLC,ATLL.N0000,14932,43,45.3,45.3,47.3,44.3,44.6,-0.7,-1.55
AMANA TAKAFUL PLC,ATL.N0000,1368335,157,29.1,29.1,29.7,28.8,29,-0.1,-0.34
AMBEON CAPITAL PLC,TAP.N0000,1329293,218,46.9,47,47.5,46,46.5,-0.4,-0.85
AMBEON HOLDINGS PLC,GREG.N0000,108014,47,158.75,151.75,159,151.75,158.25,-0.5,-0.31
ARPICO INSURANCE PLC,AINS.N0000,202,6,38.2,38.7,38.7,36.2,36.2,-2,-5.24
ASIA ASSET FINANCE PLC,AAF.N0000,41194,119,60.2,60.9,60.9,58.5,59.4,-0.8,-1.33
ASIA CAPITAL PLC,ACAP.N0000,69383,38,6.8,7,7,6.8,6.9,0.1,1.47
