Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1194,57,1372.75,1390,1390,1350,1350.25,-22.5,-1.64
ABANS FINANCE PLC,AFSL.N0000,1486,20,75.3,75.3,77,73.1,75.5,0.2,0.27
ACCESS ENGINEERING PLC,AEL.N0000,1004497,223,61.5,61.9,62.9,61.5,62.4,0.9,1.46
ACL CABLES PLC,ACL.N0000,277495,147,214.25,215,217,214,215.5,1.25,0.58
ACL PLASTICS PLC,APLA.N0000,4946,73,1681.25,1742.25,1742.25,1681.25,1700,18.75,1.12
ACME PRINTING & PACKAGING PLC,ACME.N0000,96687,50,6.5,6.5,6.6,6.4,6.4,-0.1,-1.54
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,49673,42,62.1,62.5,63.4,62.3,62.5,0.4,0.64
Agarapatana Plantations PLC,AGPL.N0000,49020,53,22.1,22.2,22.8,22,22.1,0,0
AGSTAR PLC,AGST.N0000,4162108,377,9.1,9.1,9.7,9.1,9.5,0.4,4.4
AGSTAR PLC,AGST.X0000,10134,22,11.9,11.5,12.7,11.5,12.5,0.6,5.04
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,133523,137,124.5,125,128,123,126.25,1.75,1.41
AITKEN SPENCE PLC,SPEN.N0000,58950,46,167,166,169.5,166,168,1,0.6
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,15146,108,399.75,400,415,393.25,400.25,0.5,0.13
ALPHA FIRE SERVICES PLC,AFS.N0000,102354,38,26,26.5,26.5,25.6,25.7,-0.3,-1.15
ALUMEX PLC,ALUM.N0000,2360487,193,21.2,21.6,21.7,21.3,21.5,0.3,1.42
AMANA BANK PLC,ABL.N0000,1113968,189,28.9,28.8,29.1,28.8,29,0.1,0.35
AMANA TAKAFUL LIFE PLC,ATLL.N0000,5188,31,49.3,47.3,49.3,47,47.1,-2.2,-4.46
AMANA TAKAFUL PLC,ATL.N0000,4924,16,22.9,22.9,23.1,22.4,23,0.1,0.44
AMBEON CAPITAL PLC,TAP.N0000,671783,225,40,39.8,41.8,39.7,41.4,1.4,3.5
AMBEON HOLDINGS PLC,GREG.N0000,25238,53,156.25,158,159.5,150.25,158,1.75,1.12
ARPICO INSURANCE PLC,AINS.N0000,1356,6,37,38.5,38.5,38.4,38.5,1.5,4.05
ASIA ASSET FINANCE PLC,AAF.N0000,208109,128,61.8,62.4,62.9,60.5,62.1,0.3,0.49
ASIA CAPITAL PLC,ACAP.N0000,5841757,1200,7.1,7.4,8.8,7.4,8.7,1.6,22.54
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,288803,77,9.5,9.7,9.7,9.3,9.3,-0.2,-2.11
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,11730,10,65.5,64.1,65.3,64,65.3,-0.2,-0.31
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,146411,124,33.8,33.8,34.2,32.5,32.9,-0.9,-2.66
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,3662,30,13.6,13.5,13.9,13.5,13.6,0,0
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,355260,355,80.2,85,85.2,80,81,0.8,1
B P P L HOLDINGS PLC,BPPL.N0000,315115,125,20.5,20.5,21.8,20.5,21.6,1.1,5.37
BAIRAHA FARMS PLC,BFL.N0000,5434,39,386,382,390,380,382.25,-3.75,-0.97
BALANGODA PLANTATIONS PLC,BALA.N0000,29800,45,94.5,96.5,96.5,93,93.3,-1.2,-1.27
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,3525,11,23.3,24.7,24.8,23.5,23.6,0.3,1.29
BERUWALA RESORTS PLC,BERU.N0000,597171,58,4,4,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,10224,45,87.8,87,88.7,86.1,87.3,-0.5,-0.57
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,3740,9,86,86,86,84,85.4,-0.6,-0.7
BROWN & COMPANY PLC,BRWN.N0000,384004,114,184.75,185,187.75,181.75,186.25,1.5,0.81
BROWNS BEACH HOTELS PLC,BBH.N0000,4563,16,26.1,26.1,26.3,26,26.1,0,0
BROWNS INVESTMENTS PLC,BIL.N0000,3943463,434,7.6,7.5,7.6,7.4,7.5,-0.1,-1.32
BUKIT DARAH PLC,BUKI.N0000,365,9,1194,1199.75,1199.75,1199,1199.5,5.5,0.46
C T HOLDINGS PLC,CTHR.N0000,13209,84,657,665,720,657,702,45,6.85
C T LAND DEVELOPMENT PLC,CTLD.N0000,3227,16,36.5,37.8,37.8,36.5,36.8,0.3,0.82
C. W. MACKIE PLC,CWM.N0000,37150,74,123.75,123.75,130,123.25,126.75,3,2.42
CABLE SOLUTIONS PLC,CSLK.N0000,500777,128,15.3,15.2,15.3,15.1,15.2,-0.1,-0.65
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,8,1,14.1,13.8,13.8,13.8,14.1,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,834637,276,17.2,17.5,17.5,17,17.4,0.2,1.16
CAPITAL ALLIANCE PLC,CALT.N0000,129190,247,52.3,52.3,52.5,51.8,51.9,-0.4,-0.76
CARGILLS (CEYLON) PLC,CARG.N0000,168345,223,768.5,771,820,770,801.25,32.75,4.26
CARGILLS BANK PLC,CBNK.N0000,1841423,236,10.2,10.3,10.3,10.1,10.2,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,2706,18,170,170.25,174,170,170.25,0.25,0.15
CARSON CUMBERBATCH PLC,CARS.N0000,3553,41,897,900,900,895,896.5,-0.5,-0.06
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,268406,271,299,298,305.5,298,301.75,2.75,0.92
CENTRAL INDUSTRIES PLC,CIND.N0000,209590,81,229.5,232,234,229,230.25,0.75,0.33
CEYLINCO HOLDINGS PLC,CINS.X0000,2040,10,1870,1850,1899.5,1850,1875,5,0.27
CEYLINCO HOLDINGS PLC,CINS.N0000,25021,8,3096.75,3100,3150,3100,3096.75,0,0
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,21,4,2767.25,2750,2795,2750,2767.25,0,0
CEYLON COLD STORES PLC,CCS.N0000,106920,123,117.5,117.5,118.5,116,118,0.5,0.43
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,10478,56,379.5,380,388.75,379.75,381.75,2.25,0.59
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,41250,46,281,280,293,274,287,6,2.14
CEYLON HOSPITALS PLC,CHL.X0000,5002,7,175,156,175,156,174.75,-0.25,-0.14
CEYLON HOSPITALS PLC,CHL.N0000,6686,8,202.75,202.75,203.75,202.75,203.5,0.75,0.37
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,25497,51,48.1,49.3,49.3,48,48.4,0.3,0.62
CEYLON INVESTMENT PLC,CINV.N0000,163711,147,130,131.5,138,131,136,6,4.62
CEYLON LAND & EQUITY PLC,KZOO.N0000,7722755,192,13.4,13.4,13.5,13.1,13.2,-0.2,-1.49
CEYLON TEA BROKERS PLC,CTBL.N0000,11620,20,8.3,8.4,8.4,8,8.1,-0.2,-2.41
CEYLON TOBACCO COMPANY PLC,CTC.N0000,4472,95,1680,1680,1700,1600,1696.5,16.5,0.98
CHEMANEX PLC,CHMX.N0000,480,10,175,178,178,177.5,177.5,2.5,1.43
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,11198,76,183.5,183,183,181,182,-1.5,-0.82
CHRISSWORLD PLC,CWL.N0000,14065,13,13.9,13.8,14.2,13.7,13.7,-0.2,-1.44
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,21296,57,394.5,395,405,395,401.75,7.25,1.84
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,31993,43,310,310,313.75,308,311.75,1.75,0.56
CITRUS LEISURE PLC,REEF.N0000,592370,100,4.4,4.4,4.5,4.3,4.4,0,0
Co-operative Insurance Company PLC,COOP.N0000,31506342,380,4.9,4.8,5.1,4.8,4.8,-0.1,-2.04
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,2704,28,172,166.25,173.5,164.5,166,-6,-3.49
COLOMBO DOCKYARD PLC,DOCK.N0000,210865,121,145,145,148,143.75,145,0,0
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,820,18,339.75,316,337.75,316,326.5,-13.25,-3.9
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,1815,19,434.5,440.25,470,440.25,454.25,19.75,4.55
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,102534,28,44.9,44.2,45.1,44.2,45.1,0.2,0.45
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,478496,299,205,205,206.75,204,206.5,1.5,0.73
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,31628,106,188.25,188.25,189.5,187.25,188.75,0.5,0.27
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,704391,618,143.75,143,153.75,143,150.25,6.5,4.52
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,1465,17,239.5,239.75,240,238.75,238.75,-0.75,-0.31
CONVENIENCE FOODS LANKA PLC,SOY.N0000,410,23,2085.75,2088,2100,2087.75,2090.5,4.75,0.23
DANKOTUWA PORCELAIN PLC,DPL.N0000,250470,95,19.8,19.9,20.2,19.7,19.8,0,0
DFCC BANK PLC,DFCC.N0000,7692949,493,156,158,160,157,159.25,3.25,2.08
DIALOG AXIATA PLC,DIAL.N0000,1910586,398,29.1,29.2,29.2,27.5,29,-0.1,-0.34
DIALOG FINANCE PLC,CALF.N0000,7096,19,80.1,83.8,83.8,80.5,81.2,1.1,1.37
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,3231,77,2402.5,2450,2450,2380,2399.75,-2.75,-0.11
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,760133,144,148,149.75,149.75,147,147.5,-0.5,-0.34
