Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,4244,116,1497.25,1510,1510,1420,1443.75,-53.5,-3.57
ABANS FINANCE PLC,AFSL.N0000,29,3,72.5,74.9,74.9,74.8,72.5,0,0
ACCESS ENGINEERING PLC,AEL.N0000,2796281,937,61.7,62,65,62,64.1,2.4,3.89
ACL CABLES PLC,ACL.N0000,1538834,184,220,222,225,220,221.25,1.25,0.57
ACL PLASTICS PLC,APLA.N0000,5907,138,1672,1728.75,1728.75,1630.25,1643.5,-28.5,-1.7
ACME PRINTING & PACKAGING PLC,ACME.N0000,75382,45,6.7,6.8,7,6.7,6.9,0.2,2.99
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,237470,300,63,63.5,63.5,59.2,59.6,-3.4,-5.4
Agarapatana Plantations PLC,AGPL.N0000,139715,146,21.5,21.5,21.5,21,21.1,-0.4,-1.86
AGSTAR PLC,AGST.N0000,1684244,303,9.9,9.9,10.4,9.8,10.2,0.3,3.03
AGSTAR PLC,AGST.X0000,65363,22,13.3,13.3,13.8,12.5,13.6,0.3,2.26
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,72925,143,124.25,125,126,122,122.25,-2,-1.61
AITKEN SPENCE PLC,SPEN.N0000,227122,67,168.75,171,172,170,170.5,1.75,1.04
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2290,34,410,409,418.75,409,411.75,1.75,0.43
ALPHA FIRE SERVICES PLC,AFS.N0000,29247,29,26.9,27,27,25.1,26.6,-0.3,-1.12
ALUMEX PLC,ALUM.N0000,499033,182,20,20.2,20.3,19.7,19.8,-0.2,-1
AMANA BANK PLC,ABL.N0000,295841,80,28.5,28.5,28.5,28.3,28.5,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,23053,52,44.7,44.6,44.6,43.6,43.7,-1,-2.24
AMANA TAKAFUL PLC,ATL.N0000,2174056,443,29,30,31.7,29,30.9,1.9,6.55
AMBEON CAPITAL PLC,TAP.N0000,1056339,216,46.6,46.6,47.2,45.8,47,0.4,0.86
AMBEON HOLDINGS PLC,GREG.N0000,5891,29,162.5,164.75,165,156.5,163.25,0.75,0.46
ARPICO INSURANCE PLC,AINS.N0000,610,13,37.1,38.4,38.4,36.1,38,0.9,2.43
ASIA ASSET FINANCE PLC,AAF.N0000,149824,169,58.9,59.9,59.9,56.5,56.8,-2.1,-3.57
ASIA CAPITAL PLC,ACAP.N0000,173028,56,6.8,6.8,6.9,6.7,6.7,-0.1,-1.47
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1563307,214,11.1,11.4,11.5,11,11.4,0.3,2.7
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,81752,28,62,62,62.4,60,61,-1,-1.61
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,42595,81,34,34.8,34.8,33,33.8,-0.2,-0.59
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,48734,66,14,14.2,14.7,14,14.3,0.3,2.14
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,89015,143,72.6,74,74.5,70.5,71.4,-1.2,-1.65
B P P L HOLDINGS PLC,BPPL.N0000,437464,230,22.8,23,23,21.4,21.6,-1.2,-5.26
BAIRAHA FARMS PLC,BFL.N0000,18122,82,449,450,454.5,440.25,449.75,0.75,0.17
BALANGODA PLANTATIONS PLC,BALA.N0000,36585,66,90,92.8,92.8,86,86.8,-3.2,-3.56
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,7615,30,23.5,23.5,23.9,19,22.2,-1.3,-5.53
