Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1263,57,1322.75,1330,1340,1300,1302.75,-20,-1.51
ABANS FINANCE PLC,AFSL.N0000,1096,7,84.1,87.5,87.5,84.9,87,2.9,3.45
ACCESS ENGINEERING PLC,AEL.N0000,2203108,624,67.1,67.3,69.6,66.5,68.4,1.3,1.94
ACL CABLES PLC,ACL.N0000,204489,63,223.5,223,224,223,223.5,0,0
ACL PLASTICS PLC,APLA.N0000,1611,36,1601.5,1698.75,1698.75,1630,1649.5,48,3
ACME PRINTING & PACKAGING PLC,ACME.N0000,10903,17,6.4,6.5,6.5,6.4,6.5,0.1,1.56
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,5270,34,58.1,58,58.9,57.8,57.9,-0.2,-0.34
Agarapatana Plantations PLC,AGPL.N0000,42904,37,20,20.1,20.5,20.1,20.1,0.1,0.5
AGSTAR PLC,AGST.N0000,405316,64,9.5,9.6,9.6,9.2,9.5,0,0
AGSTAR PLC,AGST.X0000,2600,4,12.9,12.2,12.8,12.1,12.2,-0.7,-5.43
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,17403,81,117,116.5,117,115,115.75,-1.25,-1.07
AITKEN SPENCE PLC,SPEN.N0000,4528,40,160.75,162,162,160,160.25,-0.5,-0.31
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4077,29,398.75,398.75,404,394.75,398.5,-0.25,-0.06
ALPHA FIRE SERVICES PLC,AFS.N0000,3411,11,28,28.3,28.3,27.5,27.5,-0.5,-1.79
ALUMEX PLC,ALUM.N0000,230640,145,19.3,19.4,19.4,19,19.3,0,0
AMANA BANK PLC,ABL.N0000,786888,217,31.3,31.4,32.3,30.7,31.7,0.4,1.28
AMANA TAKAFUL LIFE PLC,ATLL.N0000,862,5,44,44,44,43,43,-1,-2.27
AMANA TAKAFUL PLC,ATL.N0000,90617,57,28.6,29.3,29.3,27.5,28,-0.6,-2.1
AMBEON CAPITAL PLC,TAP.N0000,406231,133,46.7,46.2,46.6,45.3,45.7,-1,-2.14
AMBEON HOLDINGS PLC,GREG.N0000,50354,142,173.5,163,163,155.25,160.5,-13,-7.49
ARPICO INSURANCE PLC,AINS.N0000,7468,3,39.5,39.5,39.5,39,39,-0.5,-1.27
