Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2734,112,1589.75,1580,1625,1541,1564.75,-25,-1.57
ABANS FINANCE PLC,AFSL.N0000,13842,52,76.5,71,73.9,71,73.1,-3.4,-4.44
ACCESS ENGINEERING PLC,AEL.N0000,187498,133,60.4,60.6,61.2,60.5,60.9,0.5,0.83
ACL CABLES PLC,ACL.N0000,68102,87,221,220,222.5,219.75,220,-1,-0.45
ACL PLASTICS PLC,APLA.N0000,2415,73,1730,1748.75,1748.75,1700,1708.5,-21.5,-1.24
ACME PRINTING & PACKAGING PLC,ACME.N0000,9033,17,6.7,6.8,6.8,6.5,6.7,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,16427,27,61,61.7,61.8,61,61.4,0.4,0.66
Agarapatana Plantations PLC,AGPL.N0000,15732,25,21.5,21.6,21.9,21.6,21.7,0.2,0.93
AGSTAR PLC,AGST.N0000,2648126,351,9.4,9.4,9.8,9.4,9.7,0.3,3.19
AGSTAR PLC,AGST.X0000,49216,24,12.6,12.9,13.6,12.7,12.7,0.1,0.79
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,248186,73,122.25,122.5,124.75,122,124,1.75,1.43
AITKEN SPENCE PLC,SPEN.N0000,5148198,80,164.5,168,168,163,163.5,-1,-0.61
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,3858,34,433.25,438,438,430.25,432.5,-0.75,-0.17
ALPHA FIRE SERVICES PLC,AFS.N0000,203782,71,29.1,29.6,29.6,28.2,28.8,-0.3,-1.03
ALUMEX PLC,ALUM.N0000,4971637,729,21,21,21,19.8,20,-1,-4.76
AMANA BANK PLC,ABL.N0000,62642,49,28.9,28.6,29,28.5,28.8,-0.1,-0.35
AMANA TAKAFUL LIFE PLC,ATLL.N0000,116254,61,45.9,47.5,48,45,45.3,-0.6,-1.31
AMANA TAKAFUL PLC,ATL.N0000,1089173,173,29,29.9,30,28.8,29.1,0.1,0.34
AMBEON CAPITAL PLC,TAP.N0000,1359455,237,47.4,47.4,48.4,46.5,46.9,-0.5,-1.05
AMBEON HOLDINGS PLC,GREG.N0000,10306,34,157.5,153.5,159,151,158.75,1.25,0.79
ARPICO INSURANCE PLC,AINS.N0000,1,1,38.2,38.7,38.7,38.7,38.2,0,0
ASIA ASSET FINANCE PLC,AAF.N0000,35569,74,59.8,61,61.9,60,60.2,0.4,0.67
ASIA CAPITAL PLC,ACAP.N0000,131432,104,6.7,6.7,7,6.6,6.8,0.1,1.49
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,8256838,577,9.6,9.6,10.3,9.3,10.2,0.6,6.25
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,14623,24,63.6,64.2,64.2,63,63.9,0.3,0.47
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,165027,58,35.7,34,35.7,34,35.6,-0.1,-0.28
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,92765,89,15.4,15.3,15.5,14.9,14.9,-0.5,-3.25
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,592804,582,70.2,69.5,79.9,68,77.1,6.9,9.83
B P P L HOLDINGS PLC,BPPL.N0000,947616,187,24.6,24.8,25,24,24.1,-0.5,-2.03
BAIRAHA FARMS PLC,BFL.N0000,5408,95,453,453.5,453.5,448,448.75,-4.25,-0.94
BALANGODA PLANTATIONS PLC,BALA.N0000,1419,19,92.9,93.2,93.3,92.2,92.2,-0.7,-0.75
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2106,7,24,23.2,24,23.2,24,0,0
BERUWALA RESORTS PLC,BERU.N0000,56559,26,4,4.1,4.1,4,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,61216,46,86.3,85.1,87,85,85.9,-0.4,-0.46
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,23,2,83.2,83.7,83.7,82.6,83.2,0,0
BROWN & COMPANY PLC,BRWN.N0000,212755,53,180.75,180,185,180,182.75,2,1.11
BROWNS BEACH HOTELS PLC,BBH.N0000,8539,29,26,26,26,24.6,25.6,-0.4,-1.54
BROWNS INVESTMENTS PLC,BIL.N0000,3142384,239,7.4,7.5,7.5,7.4,7.5,0.1,1.35
BUKIT DARAH PLC,BUKI.N0000,7081,36,1115.25,1140,1140,1014,1028.75,-86.5,-7.76
C I C HOLDINGS PLC,CIC.X0000,1448926,248,26.2,26,26.4,25.7,25.9,-0.3,-1.15
C I C HOLDINGS PLC,CIC.N0000,495983,382,34,34,34,33.3,33.4,-0.6,-1.76
C M HOLDINGS PLC,COLO.N0000,868129,669,71,74,78.9,70.5,70.9,-0.1,-0.14
C T HOLDINGS PLC,CTHR.N0000,12938,38,655,667.75,668,650,659.75,4.75,0.73
C T LAND DEVELOPMENT PLC,CTLD.N0000,59678,106,45.9,46,46.5,43,43.7,-2.2,-4.79
C. W. MACKIE PLC,CWM.N0000,5613,34,132.75,132.75,134,130,131,-1.75,-1.32
CABLE SOLUTIONS PLC,CSLK.N0000,337777,70,14.6,14.8,14.8,14.5,14.5,-0.1,-0.68
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,48,5,15,15.5,15.5,15.5,15,0,0
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,632,5,14.3,14.3,14.4,14.2,14.3,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,631785,263,17.1,17.1,17.2,16.7,16.9,-0.2,-1.17
CAPITAL ALLIANCE PLC,CALT.N0000,61828,102,53.1,53.2,53.2,52.6,52.8,-0.3,-0.56
CARGILLS (CEYLON) PLC,CARG.N0000,1442,41,813.25,819,834,810,820.25,7,0.86
CARGILLS BANK PLC,CBNK.N0000,1443330,279,10.7,10.7,10.7,10.5,10.5,-0.2,-1.87
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,50572,55,188.75,189.75,191,185,189.25,0.5,0.26
CARSON CUMBERBATCH PLC,CARS.N0000,8831,97,855,829,829,799,813.75,-41.25,-4.82
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,400174,113,311.75,311.75,312,310.25,311,-0.75,-0.24
CENTRAL INDUSTRIES PLC,CIND.N0000,24504,83,227.25,226,229,224,225,-2.25,-0.99
CEYLINCO HOLDINGS PLC,CINS.N0000,21,3,3358.25,3170,3350,3170,3358.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,409,22,1875,1846,2000,1846,1865,-10,-0.53
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,223,22,2653.5,2656,2656,2600,2611.75,-41.75,-1.57
CEYLON COLD STORES PLC,CCS.N0000,64818,113,117,117,117,115.5,115.5,-1.5,-1.28
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,4381,69,435,435,435,427.5,427.75,-7.25,-1.67
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,11209,37,305,307,308,304,305.25,0.25,0.08
CEYLON HOSPITALS PLC,CHL.X0000,1529,11,204,210,210,200,209.5,5.5,2.7
CEYLON HOSPITALS PLC,CHL.N0000,7048,37,285.25,288,290,270.25,275.75,-9.5,-3.33
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,99997,53,45.4,47,47.4,45.2,45.6,0.2,0.44
CEYLON INVESTMENT PLC,CINV.N0000,22759,51,138.75,140,140,137,138,-0.75,-0.54
CEYLON LAND & EQUITY PLC,KZOO.N0000,906655,192,12.4,12.4,13.2,12.4,12.9,0.5,4.03
CEYLON TEA BROKERS PLC,CTBL.N0000,3834008,843,9.3,9.3,10.7,9.3,10.3,1,10.75
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1807,85,1695.75,1695.25,1700,1695,1696.75,1,0.06
CHEMANEX PLC,CHMX.N0000,27386,96,173,170,170,168,168,-5,-2.89
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,1048349,381,180,183,184.75,182.25,184,4,2.22
CHRISSWORLD PLC,CWL.N0000,4401,9,13.1,13.8,13.8,13.4,13.4,0.3,2.29
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,607,25,308,308,309.5,306,308.25,0.25,0.08
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,1766,22,388.25,382,399.75,382,396,7.75,2
CITRUS LEISURE PLC,REEF.N0000,1227019,53,4.4,4.5,4.5,4.3,4.5,0.1,2.27
Co-operative Insurance Company PLC,COOP.N0000,2746162,295,5.3,5.4,5.4,5.1,5.3,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,2228,8,166.25,172,172,165.25,165.5,-0.75,-0.45
COLOMBO DOCKYARD PLC,DOCK.N0000,233055,536,336.5,339.5,339.5,321,323.5,-13,-3.86
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,12597,181,421.5,412,478,412,472.75,51.25,12.16
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,13228,55,513.5,511,540,511,540,26.5,5.16
