Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1976,125,1533.5,1533.5,1600,1533.25,1594.25,60.75,3.96
ABANS FINANCE PLC,AFSL.N0000,543,20,72.3,77,77.4,73.2,73.6,1.3,1.8
ACCESS ENGINEERING PLC,AEL.N0000,555267,242,60.7,60.9,61,60,60.6,-0.1,-0.16
ACL CABLES PLC,ACL.N0000,244634,116,220.75,220.5,222,218,222,1.25,0.57
ACL PLASTICS PLC,APLA.N0000,6486,151,1677,1699,1750,1650,1718.75,41.75,2.49
ACME PRINTING & PACKAGING PLC,ACME.N0000,297741,44,6.6,6.5,6.7,6.3,6.3,-0.3,-4.55
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,123122,63,60.7,60.7,61.8,60.1,60.2,-0.5,-0.82
Agarapatana Plantations PLC,AGPL.N0000,25185,56,21.7,22,22.1,21.6,21.7,0,0
AGSTAR PLC,AGST.N0000,1075942,95,9.3,9.3,9.5,9.2,9.3,0,0
AGSTAR PLC,AGST.X0000,58251,60,11.9,12.4,13.3,12.2,12.6,0.7,5.88
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,50465,59,123.25,123.5,124.75,121.5,122.75,-0.5,-0.41
AITKEN SPENCE PLC,SPEN.N0000,3887,22,164.75,169.5,169.5,164.25,164.5,-0.25,-0.15
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4494,36,443.5,447,447,431,439,-4.5,-1.01
ALPHA FIRE SERVICES PLC,AFS.N0000,12473,29,26.5,27.9,27.9,26,27.1,0.6,2.26
ALUMEX PLC,ALUM.N0000,692612,137,20.8,20.8,21.2,20.8,21,0.2,0.96
AMANA BANK PLC,ABL.N0000,66564,75,28.4,28.5,29,28.2,28.7,0.3,1.06
AMANA TAKAFUL LIFE PLC,ATLL.N0000,18229,34,47,47.1,48.9,45,45.5,-1.5,-3.19
AMANA TAKAFUL PLC,ATL.N0000,45398,46,26.9,27.5,28,26.7,27,0.1,0.37
AMBEON CAPITAL PLC,TAP.N0000,2333224,506,47.1,47.4,48.6,45.5,48,0.9,1.91
AMBEON HOLDINGS PLC,GREG.N0000,54944,69,154.5,159,161.5,153,158.25,3.75,2.43
ARPICO INSURANCE PLC,AINS.N0000,335,12,36.3,36.3,39.1,36.2,38.2,1.9,5.23
ASIA ASSET FINANCE PLC,AAF.N0000,217448,101,59.9,60,62,59,60.5,0.6,1
ASIA CAPITAL PLC,ACAP.N0000,240029,130,6.9,6.7,7.1,6.5,6.8,-0.1,-1.45
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1891593,224,8.9,8.8,9.5,8.8,9.3,0.4,4.49
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,182330,113,60.5,63.6,64.4,60,63.9,3.4,5.62
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,2269518,263,33.4,33.8,35,33,34.8,1.4,4.19
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,583375,216,13.9,14.2,15,14,14.4,0.5,3.6
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,103328,260,74.2,74.6,74.6,72,72.3,-1.9,-2.56
B P P L HOLDINGS PLC,BPPL.N0000,1796620,404,25.2,25.5,25.6,24.5,24.7,-0.5,-1.98
BAIRAHA FARMS PLC,BFL.N0000,113365,165,442.75,445,450,440,448.25,5.5,1.24
BALANGODA PLANTATIONS PLC,BALA.N0000,68851,36,92,93,93.8,92.6,92.8,0.8,0.87
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,1112,6,23.4,23,24,23,24,0.6,2.56
BERUWALA RESORTS PLC,BERU.N0000,221695,39,4,4,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,32845,58,86.4,87,88.9,85,87.9,1.5,1.74
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,104,5,82.5,83,83,82.5,83,0.5,0.61
BROWN & COMPANY PLC,BRWN.N0000,4914,38,183.25,184.75,187.5,182,183.5,0.25,0.14
BROWNS BEACH HOTELS PLC,BBH.N0000,1033,14,25.6,26.5,26.5,25.5,25.6,0,0
BROWNS INVESTMENTS PLC,BIL.N0000,3640599,325,7.5,7.5,7.6,7.4,7.5,0,0
BUKIT DARAH PLC,BUKI.N0000,5329,58,1191.25,1150,1199,1099,1114,-77.25,-6.48
C I C HOLDINGS PLC,CIC.X0000,243955,126,26.5,26.4,26.5,26.1,26.3,-0.2,-0.75
C I C HOLDINGS PLC,CIC.N0000,745848,320,34,34,34.2,33.7,34,0,0
C M HOLDINGS PLC,COLO.N0000,179430,288,78.5,78.6,78.9,71.9,72.9,-5.6,-7.13
C T HOLDINGS PLC,CTHR.N0000,40,10,663,667.75,667.75,661,663,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,131271,168,38.5,37,41.5,36.8,40.1,1.6,4.16
C. W. MACKIE PLC,CWM.N0000,6241,24,133,135,135,132,132.5,-0.5,-0.38
CABLE SOLUTIONS PLC,CSLK.N0000,261553,63,14.6,15,15,14.5,14.6,0,0
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,145,2,15.6,14.8,15.5,14.8,15,-0.6,-3.85
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,401,3,14.3,14.1,14.4,14.1,14.1,-0.2,-1.4
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,975986,212,17.1,17.2,17.2,16.9,17,-0.1,-0.58
CAPITAL ALLIANCE PLC,CALT.N0000,20850,62,53.2,53.2,53.2,52.5,52.8,-0.4,-0.75
CARGILLS (CEYLON) PLC,CARG.N0000,464,29,820,804.5,824,804.5,813,-7,-0.85
CARGILLS BANK PLC,CBNK.N0000,912363,194,10.7,10.8,10.9,10.6,10.8,0.1,0.93
