Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
LOLC GENERAL INSURANCE PLC,LGIL.N0000,541182,58,9.2,9.4,9.4,8.9,8.9,-0.3,-3.26
LOTUS HYDRO POWER PLC,HPFL.N0000,94578,65,16.6,16.8,16.8,16.5,16.7,0.1,0.6
LUMINEX PLC,LUMX.N0000,2997,6,7,7,7,7,7,0,0
MADULSIMA PLANTATIONS PLC,MADU.N0000,93811,63,14,14,14.1,13.5,14,0,0
MAHARAJA FOODS PLC,MFPE.N0000,1837196,361,11.3,11.5,11.5,10.7,10.8,-0.5,-4.42
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,33759,79,49.5,49.5,49.6,49,49,-0.5,-1.01
MAHAWELI REACH HOTELS PLC,MRH.N0000,2188,13,21.7,21.8,22,21.5,21.8,0.1,0.46
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,1571,12,61.9,60,61.9,59.9,61.6,-0.3,-0.48
MARAWILA RESORTS PLC,MARA.N0000,68891,28,7.4,7.4,7.6,7.4,7.4,0,0
MASKELIYA PLANTATIONS PLC,MASK.N0000,51602,68,91.8,94.9,100,94.8,97.6,5.8,6.32
MELSTACORP PLC,MELS.N0000,12299,58,162.5,162.5,164,161,162.5,0,0
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,665874,100,8.9,9,9,8.6,8.7,-0.2,-2.25
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,237827,51,6.8,6.9,7.2,6.7,6.9,0.1,1.47
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,564913,29,1.7,1.7,1.7,1.6,1.6,-0.1,-5.88
MYLAND DEVELOPMENTS PLC,MDL.N0000,601,2,9.9,10.1,10.1,10.1,10.1,0.2,2.02
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,60505,279,517,510,600,507,572.5,55.5,10.74
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,113379,158,143.5,144.5,144.5,143,143.5,0,0
NATIONS TRUST BANK PLC,NTB.X0000,482,13,298.75,298.75,303.75,298.75,303.5,4.75,1.59
NATIONS TRUST BANK PLC,NTB.N0000,164340,99,270,268.25,271,265,268,-2,-0.74
NAWALOKA HOSPITALS PLC,NHL.N0000,585468,124,8.2,8.2,8.3,8,8.3,0.1,1.22
ODEL PLC,ODEL.N0000,1200,4,11.4,11.1,11.4,11.1,11.4,0,0
ON'ALLY HOLDINGS PLC,ONAL.N0000,32319,58,36.8,38,40,37.5,38.3,1.5,4.08
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,2176265,321,37.8,37.8,38.3,37.5,37.7,-0.1,-0.26
PALM GARDEN HOTELS PLC,PALM.N0000,12728,49,80.8,81,82,80.8,81.1,0.3,0.37
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,769607,234,57.7,57.8,57.9,56.9,57.2,-0.5,-0.87
PANASIAN POWER PLC,PAP.N0000,291071,95,17.6,17.7,17.8,17.4,17.4,-0.2,-1.14
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,46551,72,37.3,37.6,39.9,37.6,39.5,2.2,5.9
PEOPLE'S INSURANCE PLC,PINS.N0000,35755,45,37.5,38,38,36.7,37.9,0.4,1.07
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,1962127,112,23,23.5,23.7,23.2,23.4,0.4,1.74
PGP GLASS CEYLON PLC,GLAS.N0000,9546,28,55.5,55.4,55.8,55.1,55.6,0.1,0.18
PMF FINANCE PLC,PMB.N0000,309681,135,18.8,19.2,19.3,18.3,18.6,-0.2,-1.06
PRIME LANDS RESIDENCIES PLC,PLR.N0000,1197227,210,21.3,21,21.7,21,21.5,0.2,0.94
PRINTCARE PLC,CARE.N0000,55621,51,56.3,56.3,56.3,54.9,56,-0.3,-0.53
R I L PROPERTY PLC,RIL.N0000,4295493,449,28.7,28.7,29.4,28.5,28.7,0,0
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,763,32,80.9,79,83,79,82.5,1.6,1.98
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,10865674,1630,20,20.4,25,19.8,24.7,4.7,23.5
RAMBODA FALLS PLC,RFL.N0000,4038,12,38.3,37.9,37.9,36.9,37.8,-0.5,-1.31
RENUKA AGRI FOODS PLC,RAL.N0000,11358660,535,4.7,4.9,4.9,4.6,4.7,0,0
RENUKA CITY HOTELS PLC.,RENU.N0000,771,36,850,875,875,833.25,844,-6,-0.71
RENUKA FOODS PLC,COCO.N0000,500224,167,18,18.1,19.5,18,18.2,0.2,1.11
RENUKA FOODS PLC,COCO.X0000,24641,8,16,15.8,16.4,15.5,15.5,-0.5,-3.13
RENUKA HOLDINGS PLC,RHL.X0000,31207,31,24.3,25,25,23.9,24.8,0.5,2.06
RENUKA HOLDINGS PLC,RHL.N0000,396908,59,29,29,29.3,28,29,0,0
RENUKA HOTELS PLC,RCH.N0000,121858,65,250,250,250,246,249.75,-0.25,-0.1
RESUS ENERGY PLC,HPWR.N0000,475306,114,36,35.1,38.2,35.1,38,2,5.56
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,446037,98,26.3,26.1,27,26.1,26.8,0.5,1.9
RICHARD PIERIS EXPORTS PLC,REXP.N0000,14008,76,377,377,420,375,386,9,2.39
ROYAL CERAMICS LANKA PLC,RCL.N0000,1188419,343,46.4,46.4,46.8,46.2,46.3,-0.1,-0.22
