Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,820,78,1215.25,1206.25,1325,1190,1244,28.75,2.37
ABANS FINANCE PLC,AFSL.N0000,942,11,76.5,75.1,79.9,75,75,-1.5,-1.96
ACCESS ENGINEERING PLC,AEL.N0000,1145399,458,69.9,69.9,72,69,71.6,1.7,2.43
ACL CABLES PLC,ACL.N0000,129372,123,219,218,222,218,222,3,1.37
ACL PLASTICS PLC,APLA.N0000,415,57,1562.5,1639.75,1649.25,1505.25,1622.5,60,3.84
ACME PRINTING & PACKAGING PLC,ACME.N0000,9515,16,6.1,6.1,6.2,6.1,6.2,0.1,1.64
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,10783,29,56.8,56.6,57.9,56.2,57.6,0.8,1.41
Agarapatana Plantations PLC,AGPL.N0000,18434,64,20.2,19.9,20.2,19.3,19.6,-0.6,-2.97
AGSTAR PLC,AGST.N0000,109322,43,9,9,9.3,9,9,0,0
AGSTAR PLC,AGST.X0000,2753,10,12.2,13.5,13.5,12.6,12.6,0.4,3.28
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,17108,43,115,113.5,117,113.5,114.5,-0.5,-0.43
AITKEN SPENCE PLC,SPEN.N0000,131806,35,159,160,160,156,156,-3,-1.89
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,6159,38,392,390.25,399,390,390,-2,-0.51
ALPHA FIRE SERVICES PLC,AFS.N0000,71385,45,26.1,26,26.3,25.9,26,-0.1,-0.38
ALUMEX PLC,ALUM.N0000,47490,51,19.1,19.1,19.1,19,19,-0.1,-0.52
AMANA BANK PLC,ABL.N0000,100664,92,30.3,30.2,31.1,30.1,30.8,0.5,1.65
AMANA TAKAFUL LIFE PLC,ATLL.N0000,27122,31,40,39.8,40,39.6,40,0,0
AMANA TAKAFUL PLC,ATL.N0000,77262,46,27.6,27.6,28,26,27.9,0.3,1.09
AMBEON CAPITAL PLC,TAP.N0000,63672,39,43.9,43.3,44,43,43.4,-0.5,-1.14
AMBEON HOLDINGS PLC,GREG.N0000,12412,30,156,153.25,158.25,153.25,157.5,1.5,0.96
ARPICO INSURANCE PLC,AINS.N0000,2446,5,37.1,35.2,35.4,35.2,35.4,-1.7,-4.58
ASIA ASSET FINANCE PLC,AAF.N0000,23359,19,53.7,53.7,54.8,53.7,54,0.3,0.56
ASIA CAPITAL PLC,ACAP.N0000,3453,13,6.3,6.1,6.3,6.1,6.2,-0.1,-1.59
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,681345,125,10,10.2,10.4,9.8,10.2,0.2,2
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,1165,14,58.1,58,60,57.9,60,1.9,3.27
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,1659,19,31.4,31.4,32,31.2,31.4,0,0
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,4193,7,13.7,13.8,13.9,13.6,13.9,0.2,1.46
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,18775,45,74.2,73.3,76.8,73.3,75.7,1.5,2.02
B P P L HOLDINGS PLC,BPPL.N0000,13431,12,20.3,20.5,20.5,20.1,20.2,-0.1,-0.49
BAIRAHA FARMS PLC,BFL.N0000,4814,45,433.25,433,438,430,433.25,0,0
BALANGODA PLANTATIONS PLC,BALA.N0000,3907,43,80,79.6,80,78.2,78.6,-1.4,-1.75
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,4100,3,22.4,22,22.5,22,22.5,0.1,0.45
BERUWALA RESORTS PLC,BERU.N0000,483613,57,3.9,4,4,3.8,3.9,0,0
