Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,10120,303,1195,1199.75,1250,1099.75,1118.25,-76.75,-6.42
ABANS FINANCE PLC,AFSL.N0000,7016,26,66.1,72.5,72.9,68,69.4,3.3,4.99
ACCESS ENGINEERING PLC,AEL.N0000,1253889,611,72,72,73.9,72,73.7,1.7,2.36
ACL CABLES PLC,ACL.N0000,905686,507,244,244.25,260.25,244,257.25,13.25,5.43
ACL PLASTICS PLC,APLA.N0000,7900,97,1616.5,1637.5,1655,1601,1639.75,23.25,1.44
ACME PRINTING & PACKAGING PLC,ACME.N0000,207074,55,6.1,6.3,6.3,5.9,5.9,-0.2,-3.28
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,25661,76,49.8,50.2,53.9,50.2,53.4,3.6,7.23
Agarapatana Plantations PLC,AGPL.N0000,147793,76,18,18.9,19.2,18.6,19,1,5.56
AGSTAR PLC,AGST.N0000,798273,141,8.7,8.8,9.3,8.7,9.2,0.5,5.75
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,150561,83,104.5,107,107,102.75,106,1.5,1.44
AITKEN SPENCE PLC,SPEN.N0000,7490,63,148,149,149,145.5,146.75,-1.25,-0.84
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4822,58,360.5,365,365,358,359.5,-1,-0.28
ALPHA FIRE SERVICES PLC,AFS.N0000,42393,31,24.2,23,25,23,24.9,0.7,2.89
ALUMEX PLC,ALUM.N0000,685748,251,19.3,19.5,20.5,19.4,20.1,0.8,4.15
AMANA BANK PLC,ABL.N0000,210373,132,28,28,29.8,28,29.1,1.1,3.93
AMANA TAKAFUL LIFE PLC,ATLL.N0000,436,3,37.5,39.4,39.4,39,39,1.5,4
AMANA TAKAFUL PLC,ATL.N0000,178618,71,24.1,24.5,25.9,23.5,25,0.9,3.73
AMBEON CAPITAL PLC,TAP.N0000,379224,147,38.3,39,41.9,38,41.4,3.1,8.09
AMBEON HOLDINGS PLC,GREG.N0000,9509,45,154.75,155,160,155,159.25,4.5,2.91
ARPICO INSURANCE PLC,AINS.N0000,1387,15,33.8,36,36,32.6,34.5,0.7,2.07
ASIA ASSET FINANCE PLC,AAF.N0000,96704,83,51,52.4,53,51,51.5,0.5,0.98
ASIA CAPITAL PLC,ACAP.N0000,9252,31,6,6.1,6.2,6,6,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,843896,109,9.5,9.6,10.2,9.5,10,0.5,5.26
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,36262,28,55,55,57,55,55.1,0.1,0.18
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,9995,40,29.4,31.6,31.6,30.6,30.9,1.5,5.1
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,43967,26,13.3,13.2,13.8,13.2,13.7,0.4,3.01
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,32210,62,68.2,70,72,67.1,70.2,2,2.93
B P P L HOLDINGS PLC,BPPL.N0000,22292,69,19.6,19.7,21.4,19.7,21,1.4,7.14
BAIRAHA FARMS PLC,BFL.N0000,169151,249,378,380,409,376,400,22,5.82
BALANGODA PLANTATIONS PLC,BALA.N0000,6899,31,73.6,73.4,74.9,70.6,74.9,1.3,1.77
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2973,9,21.6,21.6,22,21.1,22,0.4,1.85
BERUWALA RESORTS PLC,BERU.N0000,106963,39,3.7,3.8,3.8,3.7,3.8,0.1,2.7
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,620809,1056,119.75,119.75,150,119.75,149.5,29.75,24.84
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,11604,43,80.9,81,81,75.4,76.8,-4.1,-5.07
BROWN & COMPANY PLC,BRWN.N0000,22361,88,156.5,158.5,161.5,157,161.25,4.75,3.04
BROWNS BEACH HOTELS PLC,BBH.N0000,1250,3,23.7,24.5,24.5,24.2,24.3,0.6,2.53
BROWNS INVESTMENTS PLC,BIL.N0000,5318916,346,6.5,6.5,6.7,6.4,6.7,0.2,3.08
BUKIT DARAH PLC,BUKI.N0000,1240,58,1010,1025,1050,1025,1042.25,32.25,3.19
C I C HOLDINGS PLC,CIC.N0000,1902023,313,31.9,33,33,31.9,32.5,0.6,1.88
C I C HOLDINGS PLC,CIC.X0000,1585692,324,25.2,25.4,26.5,25,25.9,0.7,2.78
C M HOLDINGS PLC,COLO.N0000,19828,52,57.4,58,59.1,56,57.7,0.3,0.52
C T LAND DEVELOPMENT PLC,CTLD.N0000,8041,29,34.1,34,37.3,34,37.1,3,8.8
C. W. MACKIE PLC,CWM.N0000,12487,115,146.75,149,153.75,140.25,151,4.25,2.9
CABLE SOLUTIONS PLC,CSLK.N0000,1869921,79,14,14.2,15.1,14.2,15,1,7.14
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,127,2,14,14,14.3,14,14,0,0
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,183045,122,15.8,16,16,15.8,15.9,0.1,0.63
CAPITAL ALLIANCE PLC,CALT.N0000,80180,99,50,51,52,50,51.3,1.3,2.6
CARGILLS (CEYLON) PLC,CARG.N0000,339,15,790.25,790,809.75,790,807,16.75,2.12
CARGILLS BANK PLC,CBNK.N0000,603130,111,10,10,10.2,9.9,10.2,0.2,2
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,19013,48,159,164,175,164,167,8,5.03
CARSON CUMBERBATCH PLC,CARS.N0000,363,13,743.5,743.5,743.75,735,740.25,-3.25,-0.44
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,97176,185,270,271,271,266.75,270,0,0
CENTRAL INDUSTRIES PLC,CIND.N0000,180806,299,241,242.5,255,240.25,251.25,10.25,4.25
CEYLINCO HOLDINGS PLC,CINS.N0000,2863,34,2980,3177,3199,2960,3195.75,215.75,7.24
CEYLINCO HOLDINGS PLC,CINS.X0000,1316,22,1697.75,1699.75,1750,1699,1718.5,20.75,1.22
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,85,9,2644.5,2640,2705,2640,2644.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,257949,183,105,107.5,108,104.75,107.75,2.75,2.62
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,56940,107,382.5,385,397.25,378.5,388.75,6.25,1.63
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,17646,39,252.5,254.75,275,252,272,19.5,7.72
CEYLON HOSPITALS PLC,CHL.N0000,106,4,271,271,271,252,269.5,-1.5,-0.55
CEYLON HOSPITALS PLC,CHL.X0000,399,5,188.25,189,195,189,195,6.75,3.59
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,240654,137,36.9,37.1,38.2,36,38.1,1.2,3.25
CEYLON INVESTMENT PLC,CINV.N0000,43487,113,116.75,116.75,126,116.75,125.25,8.5,7.28
CEYLON LAND & EQUITY PLC,KZOO.N0000,250818,74,10.8,10.8,11.4,10.6,11.2,0.4,3.7
CEYLON TEA BROKERS PLC,CTBL.N0000,123246,64,8.3,8.2,8.8,8.1,8.7,0.4,4.82
CEYLON TOBACCO COMPANY PLC,CTC.N0000,8027,89,1686,1690,1699.75,1682,1698.25,12.25,0.73
CHEMANEX PLC,CHMX.N0000,165,7,162.5,169,169,167,167,4.5,2.77
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,192637,150,177.5,179,182,178.75,180.5,3,1.69
CHRISSWORLD PLC,CWL.N0000,4581,11,12.2,12.9,13,12.9,13,0.8,6.56
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,5428,35,377.75,384,384,365,370.75,-7,-1.85
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,1755,25,281.5,285,296.5,284,284,2.5,0.89
CITRUS LEISURE PLC,REEF.N0000,129404,45,4.1,4.2,4.3,4.1,4.2,0.1,2.44
Co-operative Insurance Company PLC,COOP.N0000,1806504,182,4,3.9,4,3.8,4,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,15974,41,140.25,140,159.5,132.25,142.25,2,1.43
COLOMBO DOCKYARD PLC,DOCK.N0000,1283896,2017,139.25,140,427,140,174,34.75,24.96
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,5872,53,420.25,439.75,469,439.75,466.5,46.25,11.01
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,1390,15,472,514.5,514.5,480,481.25,9.25,1.96
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,134143,53,42.9,42.8,45.9,42.1,43,0.1,0.23
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,92220,161,178.75,181.5,187,178,183.5,4.75,2.66
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,363827,450,193,193.75,199.75,192.25,198.25,5.25,2.72
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,201304,397,118,119,130,115,125.5,7.5,6.36
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,1694,8,263.5,263.5,267,257,263.75,0.25,0.09
CONVENIENCE FOODS LANKA PLC,SOY.N0000,182,11,2346.5,2328.25,2328.25,2201,2215.5,-131,-5.58
DANKOTUWA PORCELAIN PLC,DPL.N0000,51817,45,17.3,17.4,17.4,16.7,17.2,-0.1,-0.58
DFCC BANK PLC,DFCC.N0000,333660,504,146.5,147,152.75,145.5,150,3.5,2.39
DIALOG AXIATA PLC,DIAL.N0000,2381938,180,28,28.4,28.7,28,28.5,0.5,1.79
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1677,48,2005.5,2005,2084.25,2000,2001.5,-4,-0.2
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,156462,137,142.25,143.5,147,142,145.75,3.5,2.46
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,194,21,1149.5,1140,1144,1140,1140.75,-8.75,-0.76
DIPPED PRODUCTS PLC,DIPD.N0000,318651,302,59.3,59.5,59.9,59,59.3,0,0
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,863097,292,55.1,57.4,57.4,54.9,55.2,0.1,0.18
DOLPHIN HOTELS PLC,STAF.N0000,19486,47,54.6,55.8,57.7,55,57.4,2.8,5.13
E - CHANNELLING PLC,ECL.N0000,10922,9,15.5,15.5,16.5,15.5,16.4,0.9,5.81
E B CREASY & COMPANY PLC,EBCR.N0000,1995,10,60.5,63,63,61.4,62.2,1.7,2.81
E M L CONSULTANTS PLC,EML.N0000,295162,56,4.7,4.6,4.8,4.6,4.7,0,0
EAST WEST PROPERTIES PLC,EAST.N0000,182302,89,59.2,59.8,60,58,59.6,0.4,0.68
EASTERN MERCHANTS PLC,EMER.N0000,37535,43,10.1,10,11,10,10.7,0.6,5.94
EDEN HOTEL LANKA PLC,EDEN.N0000,72800,37,13.1,13.4,13.4,13.1,13.2,0.1,0.76
ELPITIYA PLANTATIONS PLC,ELPL.N0000,29379,82,156.75,157,162.75,157,159.75,3,1.91
EQUITY TWO PLC,ETWO.N0000,1615,10,80,80,82.9,79,79.5,-0.5,-0.63
Ex-pack Corrugated Cartons PLC,PACK.N0000,61862,52,13.8,13.9,14.3,13.7,13.9,0.1,0.72
EXTERMINATORS PLC,EXT.N0000,606,5,7.1,7.3,7.3,7.2,7.3,0.2,2.82
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,144506,186,56.3,58.9,58.9,56.3,58.3,2,3.55
First Capital Treasuries PLC,FCT.N0000,165041,115,30.3,30.3,30.6,30.3,30.6,0.3,0.99
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,216992,72,18,18,19,17.8,19,1,5.56
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,330722,425,88.5,88.8,99.9,88.8,94.9,6.4,7.23
GESTETNER OF CEYLON PLC,GEST.N0000,1048,15,221.75,222.25,229.5,220.5,221.5,-0.25,-0.11
GREENTECH ENERGY PLC,MEL.N0000,60322,26,4,4.2,4.2,4,4.2,0.2,5
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,21157,42,59.1,61.2,61.2,54.5,55,-4.1,-6.94
HARISCHANDRA MILLS PLC,HARI.N0000,90,25,5633.75,5561.25,5952.75,5561.25,5633.75,0,0
HATTON NATIONAL BANK PLC,HNB.X0000,292400,241,304.75,305,307,303.75,305,0.25,0.08
HATTON NATIONAL BANK PLC,HNB.N0000,110633,320,384.75,387,389.75,383.5,388.5,3.75,0.97
HATTON PLANTATIONS PLC,HPL.N0000,213116,155,23.9,24.5,25.1,23.9,25,1.1,4.6
HAYCARB PLC,HAYC.N0000,83020,116,100.75,102.25,103,100.5,102,1.25,1.24
HAYLEYS FABRIC PLC,MGT.N0000,53299,57,38.1,38,39.9,38,39.9,1.8,4.72
HAYLEYS FIBRE PLC,HEXP.N0000,4281,30,74.9,74,76.5,74,76,1.1,1.47
HAYLEYS LEISURE PLC,CONN.N0000,98783,37,38.5,38.9,39.4,37.5,38.6,0.1,0.26
HAYLEYS PLC,HAYL.N0000,78842,261,183,184,185,182.5,183.25,0.25,0.14
HEMAS HOLDINGS PLC,HHL.N0000,2486827,423,34.8,34.9,35,34.7,34.9,0.1,0.29
HIKKADUWA BEACH RESORT PLC,CITH.N0000,2977631,181,3.8,3.9,4.1,3.8,4.1,0.3,7.89
HNB ASSURANCE PLC,HASU.N0000,24051,72,100.75,100,109.5,99.6,102,1.25,1.24
HNB FINANCE PLC,HNBF.X0000,55261,55,7.4,7.4,7.5,7,7.4,0,0
HNB FINANCE PLC,HNBF.N0000,230039,110,7.4,7.3,7.8,7.3,7.6,0.2,2.7
HORANA PLANTATIONS PLC,HOPL.N0000,5107,27,55,56.6,58.3,54.2,55.1,0.1,0.18
HOTEL SIGIRIYA PLC,HSIG.N0000,14966,62,94,93.9,94.1,91.5,93.8,-0.2,-0.21
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,377736,310,54.9,56.5,59.8,54,58.2,3.3,6.01
hSenid Business Solutions PLC,HBS.N0000,811266,135,16.8,16.8,17.4,16.7,17.4,0.6,3.57
HUNAS HOLDINGS PLC,HUNA.N0000,38995,30,21.6,21.7,22,21,21.6,0,0
HUNTER & COMPANY PLC,HUNT.N0000,112,16,1233.25,1201,1275,1100,1111.75,-121.5,-9.85
HVA FOODS PLC,HVA.N0000,60345,31,3.4,3.5,3.5,3.3,3.5,0.1,2.94
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,3703626,83,0.5,0.5,0.5,0.4,0.4,-0.1,-20
INSUREME INSURANCE BROKERS LIMITED,INME.N0000,462,86,1855.75,1899,2300,1890,2289.75,434,23.39
JANASHAKTHI FINANCE PLC,BFN.N0000,25,2,38.1,40,40,40,38.1,0,0
JANASHAKTHI INSURANCE PLC,JINS.N0000,212444,273,121.25,123,124,120,120.5,-0.75,-0.62
JAT HOLDINGS PLC,JAT.N0000,268035,185,47.3,47.5,48.6,47,48.1,0.8,1.69
JETWING SYMPHONY PLC,JETS.N0000,352056,234,18.9,19.2,19.8,18.8,19.3,0.4,2.12
JF PACKAGING LIMITED,JFP.N0000,288562,189,12.6,12.6,12.9,12.5,12.7,0.1,0.79
JOHN KEELLS HOLDINGS PLC,JKH.N0000,3550852,827,20.8,20.9,21.1,20.7,21,0.2,0.96
JOHN KEELLS HOTELS PLC,KHL.N0000,203695,122,20.9,21.1,21.8,21,21.7,0.8,3.83
JOHN KEELLS PLC,JKL.N0000,424,11,82,82,82.5,81.1,81.2,-0.8,-0.98
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,2051,5,20.5,21.3,21.3,21,21,0.5,2.44
KAPRUKA HOLDINGS PLC,KPHL.N0000,57235,27,9.7,9.7,10.2,9.4,9.7,0,0
KEELLS FOOD PRODUCTS PLC,KFP.N0000,1215,17,165,165,170.75,164,170.75,5.75,3.48
KEGALLE PLANTATIONS PLC,KGAL.N0000,1301,16,135.75,135,138,134,134.25,-1.5,-1.1
KELANI CABLES PLC,KCAB.N0000,38297,160,1161,1160,1230,1160,1223.75,62.75,5.4
KELANI TYRES PLC,TYRE.N0000,5702,56,89.9,90,90,89,89.6,-0.3,-0.33
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,3324,40,88,88,91.5,87.7,89.9,1.9,2.16
KOTAGALA PLANTATIONS PLC,KOTA.N0000,133836,83,9.5,9.8,9.8,9.4,9.7,0.2,2.11
KOTMALE HOLDINGS PLC,LAMB.N0000,19,6,1485,1489,1506,1400,1485,0,0
L O L C HOLDINGS PLC,LOLC.N0000,70310,190,542,550,550,539.75,540.25,-1.75,-0.32
L V L ENERGY FUND PLC,LVEF.N0000,935869,180,10.1,10.2,10.3,10,10.1,0,0
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,224,17,431,420,460,420,453,22,5.1
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,131085,80,47.1,48,48.4,47.5,48.1,1,2.12
LANKA ASHOK LEYLAND PLC,ASHO.N0000,610,29,3681.75,3700,3750,3672,3731.25,49.5,1.34
