Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2056,65,560.5,560.25,560.25,540,544.75,-15.75,-2.81
ABANS FINANCE PLC,AFSL.N0000,629,17,72,72,72,71,71,-1,-1.39
ACCESS ENGINEERING PLC,AEL.N0000,1447951,479,59.1,60,60,58.5,59,-0.1,-0.17
ACL CABLES PLC,ACL.N0000,109879,125,183.25,182.5,185,182,183,-0.25,-0.14
ACL PLASTICS PLC,APLA.N0000,7509,94,750.5,750.25,765,745,749.5,-1,-0.13
ACME PRINTING & PACKAGING PLC,ACME.N0000,50384,36,5.1,5,5.3,5,5.3,0.2,3.92
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,109672,69,61.8,61.7,62.4,61.4,61.8,0,0
Agarapatana Plantations PLC,AGPL.N0000,616311,187,19.1,19.1,19.8,18.8,19.6,0.5,2.62
AGSTAR PLC,AGST.N0000,82364,43,7.9,8,8,7.8,7.9,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,29077,54,83.1,82.7,84.7,82.7,83.7,0.6,0.72
AITKEN SPENCE PLC,SPEN.N0000,21217,45,142,141.5,143,141.5,142.25,0.25,0.18
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,14415,64,409.75,404.5,410,400,409,-0.75,-0.18
ALPHA FIRE SERVICES PLC,AFS.N0000,269729,144,18.5,18.5,19.9,18.2,19.6,1.1,5.95
ALUMEX PLC,ALUM.N0000,1314162,469,17.9,17.1,17.8,16.2,17.1,-0.8,-4.47
AMANA BANK PLC,ABL.N0000,12517,20,24.3,24.1,24.4,24,24.1,-0.2,-0.82
AMANA TAKAFUL LIFE PLC,ATLL.N0000,117,6,33.3,33.4,35.3,33.4,34.2,0.9,2.7
AMANA TAKAFUL PLC,ATL.N0000,47586,40,15,15.5,15.5,14,15.2,0.2,1.33
AMBEON CAPITAL PLC,TAP.N0000,69248,50,26.5,26,26.8,26,26.2,-0.3,-1.13
AMBEON HOLDINGS PLC,GREG.N0000,42713,36,98,95.1,99.9,95.1,98.4,0.4,0.41
ARPICO INSURANCE PLC,AINS.N0000,28956,24,36.6,36.7,37.8,35.6,36,-0.6,-1.64
ASIA ASSET FINANCE PLC,AAF.N0000,594260,328,49.7,50.5,50.5,47,47.8,-1.9,-3.82
ASIA CAPITAL PLC,ACAP.N0000,8799,23,4.4,4.5,4.6,4.4,4.5,0.1,2.27
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,86238,35,6.8,7.1,7.1,6.8,6.9,0.1,1.47
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,39286,43,66.8,66.3,66.9,65,65,-1.8,-2.69
