Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,6219,122,842.5,842.5,884,842.5,874.25,31.75,3.77
ABANS FINANCE PLC,AFSL.N0000,3558,11,70.1,72,72,71.7,71.8,1.7,2.43
ACCESS ENGINEERING PLC,AEL.N0000,1886832,466,58.5,58.6,58.6,57.8,58.1,-0.4,-0.68
ACL CABLES PLC,ACL.N0000,398771,224,185,185,197,185,191,6,3.24
ACL PLASTICS PLC,APLA.N0000,18864,127,987.75,995,1000,960,986.25,-1.5,-0.15
ACME PRINTING & PACKAGING PLC,ACME.N0000,79594,16,5.1,5.2,5.3,5.1,5.3,0.2,3.92
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,65124,38,60.1,61,61,59.3,60,-0.1,-0.17
Agarapatana Plantations PLC,AGPL.N0000,275575,141,22.5,22.2,22.5,22,22,-0.5,-2.22
AGSTAR PLC,AGST.N0000,479002,210,8.2,8.3,8.3,8.1,8.2,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,92763,128,86.2,88,89.7,87.3,87.4,1.2,1.39
AITKEN SPENCE PLC,SPEN.N0000,118744,82,150,150,151.5,150,150.25,0.25,0.17
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,67287,345,384.25,384,385.5,360,367,-17.25,-4.49
ALPHA FIRE SERVICES PLC,AFS.N0000,206164,127,28.2,28.9,28.9,25.6,27.1,-1.1,-3.9
ALUMEX PLC,ALUM.N0000,5651735,354,17.2,17.5,18.3,17.1,17.8,0.6,3.49
AMANA BANK PLC,ABL.N0000,5715428,1463,26.4,27,29.5,27,29,2.6,9.85
AMANA TAKAFUL LIFE PLC,ATLL.N0000,37386,162,41.5,45.9,51.8,45.2,51.8,10.3,24.82
AMANA TAKAFUL PLC,ATL.N0000,1612469,472,19.7,19.7,22.5,19.7,22.3,2.6,13.2
AMBEON CAPITAL PLC,TAP.N0000,1206020,306,29.7,30,30.3,29.2,29.5,-0.2,-0.67
AMBEON HOLDINGS PLC,GREG.N0000,71334,46,104,101,108,101,107.5,3.5,3.37
ARPICO INSURANCE PLC,AINS.N0000,172969,37,36.3,36.5,38.4,36.5,37.5,1.2,3.31
ASIA ASSET FINANCE PLC,AAF.N0000,237708,121,47.6,48,49,47,48,0.4,0.84
ASIA CAPITAL PLC,ACAP.N0000,627960,285,4.4,4.5,5.2,4.5,4.7,0.3,6.82
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,540248,47,6.8,6.8,7.2,6.8,7,0.2,2.94
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,165310,56,64.9,65,66,65,65.3,0.4,0.62
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,12153,31,37.1,35.5,38,35.5,35.9,-1.2,-3.23
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,68466,46,13.6,13.6,13.7,13,13.6,0,0
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,1187953,852,89.7,90,99.5,86.4,97.9,8.2,9.14
B P P L HOLDINGS PLC,BPPL.N0000,73887,39,19,18.9,19.2,18.6,18.9,-0.1,-0.53
BAIRAHA FARMS PLC,BFL.N0000,11934,75,209,212,216,212,214,5,2.39
BALANGODA PLANTATIONS PLC,BALA.N0000,86421,61,90,90,92,89.5,91.1,1.1,1.22
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,2512,8,22.5,22.2,22.7,22.1,22.6,0.1,0.44
BERUWALA RESORTS PLC,BERU.N0000,1833844,123,4,3.9,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,633442,969,89.8,89.8,92.9,88.2,91.9,2.1,2.34
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,34946,27,77.9,78.5,80.1,77.4,80,2.1,2.7
BROWN & COMPANY PLC,BRWN.N0000,29804,160,181,181.25,182.25,179,181.5,0.5,0.28
BROWNS BEACH HOTELS PLC,BBH.N0000,394414,128,22,21.9,24.2,21.9,23.7,1.7,7.73
BROWNS INVESTMENTS PLC,BIL.N0000,11943060,717,7.5,7.6,7.6,7.4,7.5,0,0
BUKIT DARAH PLC,BUKI.N0000,22972,82,887.25,899,950,899,948.25,61,6.88
C I C HOLDINGS PLC,CIC.X0000,168816,120,104.5,104.75,105,103.5,104.25,-0.25,-0.24
C I C HOLDINGS PLC,CIC.N0000,317341,234,138.25,138,138,135,135.25,-3,-2.17
C M HOLDINGS PLC,COLO.N0000,1903,18,369.25,372,381.5,370,371.5,2.25,0.61
C T HOLDINGS PLC,CTHR.N0000,1376,9,703.75,705,715,705,715,11.25,1.6
C T LAND DEVELOPMENT PLC,CTLD.N0000,13414,30,33.1,34,34,32.9,33,-0.1,-0.3
C. W. MACKIE PLC,CWM.N0000,9002,76,121.75,122,122,120,120.25,-1.5,-1.23
CABLE SOLUTIONS PLC,CSLK.N0000,537446,154,15.3,15.3,15.5,15,15.4,0.1,0.65
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,26625,30,16.1,16.7,17,14.7,15.1,-1,-6.21
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,1,1,13.5,13.6,13.6,13.6,13.5,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,970342,311,19.3,19.6,19.7,18.7,19.4,0.1,0.52
CAPITAL ALLIANCE PLC,CALT.N0000,319376,376,60.9,61.5,62,59.1,60.3,-0.6,-0.99
CARGILLS (CEYLON) PLC,CARG.N0000,4239,20,715,718.75,718.75,700.25,717.75,2.75,0.38
CARGILLS BANK PLC,CBNK.N0000,870567,146,9.5,9.5,9.5,9.3,9.4,-0.1,-1.05
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,7526,23,153.5,153,154,152,153.5,0,0
CARSON CUMBERBATCH PLC,CARS.N0000,741,28,848.25,850,850,840,846.75,-1.5,-0.18
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,254479,375,292,293,293,288,289,-3,-1.03
CENTRAL INDUSTRIES PLC,CIND.N0000,37315,89,173,173.5,173.5,170,170.5,-2.5,-1.45
CEYLINCO HOLDINGS PLC,CINS.N0000,5038,15,3188.25,3299,3299,3100,3199.5,11.25,0.35
CEYLINCO HOLDINGS PLC,CINS.X0000,317,11,1648.75,1689,1689.75,1688.5,1688.5,39.75,2.41
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,22,4,2849.5,2839,2840,2839,2849.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,95004,250,110.75,111.25,111.5,109,109.25,-1.5,-1.35
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,4722,29,335,339,339,332,334.75,-0.25,-0.07
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,39202,54,227,230,234,227,228.5,1.5,0.66
CEYLON HOSPITALS PLC,CHL.X0000,4462,21,147.5,150,154.75,145,154.5,7,4.75
CEYLON HOSPITALS PLC,CHL.N0000,5305,26,171.5,172.5,180,171.5,179,7.5,4.37
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,384948,156,27,27,28.6,27,28.3,1.3,4.81
CEYLON INVESTMENT PLC,CINV.N0000,52651,102,120.75,120.75,122,119.25,119.75,-1,-0.83
CEYLON LAND & EQUITY PLC,KZOO.N0000,3059439,153,10.9,10.9,11.4,10.7,11.2,0.3,2.75
CEYLON TEA BROKERS PLC,CTBL.N0000,49494,36,7.2,7.2,7.3,7.1,7.1,-0.1,-1.39
CEYLON TOBACCO COMPANY PLC,CTC.N0000,4105,105,1620,1630,1649,1630,1639,19,1.17
CHEMANEX PLC,CHMX.N0000,151085,83,167.75,163,167.5,160,163,-4.75,-2.83
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,230416,185,182,182,185,180,180.75,-1.25,-0.69
CHRISSWORLD PLC,CWL.N0000,52835,28,11,11,11,10.8,10.8,-0.2,-1.82
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,140,1,391,389,389,389,389,-2,-0.51
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,4815,53,309,310,310,304,305.5,-3.5,-1.13
CITRUS LEISURE PLC,REEF.N0000,292466,64,4,4.1,4.1,4,4.1,0.1,2.5
Co-operative Insurance Company PLC,COOP.N0000,7514388,350,4.7,4.7,4.8,4.5,4.6,-0.1,-2.13
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,12744,22,102.25,102.25,104.5,101,102.5,0.25,0.24
COLOMBO DOCKYARD PLC,DOCK.N0000,314249,127,101,100.5,103.5,100,101.25,0.25,0.25
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,5675,90,316,315,315,290,290.5,-25.5,-8.07
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,384,8,353.75,360,360,350,358.75,5,1.41
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,302431,95,30.7,31.5,32.4,31.5,31.5,0.8,2.61
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,1491836,597,196.75,198,199,196.25,197.75,1,0.51
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,317480,313,169.5,170,173,169,172.25,2.75,1.62
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,453205,549,137.25,138,141,135,136.25,-1,-0.73
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,2673,18,234.25,234.25,235,229,229,-5.25,-2.24
CONVENIENCE FOODS LANKA PLC,SOY.N0000,160,29,1960.75,1960.75,1982.75,1900,1906.75,-54,-2.75
DANKOTUWA PORCELAIN PLC,DPL.N0000,25967,25,21.9,22.2,22.2,21.5,22,0.1,0.46
DFCC BANK PLC,DFCC.N0000,938881,618,167,168.5,171.5,167.75,168.75,1.75,1.05
DIALOG AXIATA PLC,DIAL.N0000,4714117,251,21.6,21.5,22.2,21.3,22.1,0.5,2.31
DIALOG FINANCE PLC,CALF.N0000,12899,60,71.8,71,72.8,69.8,71.3,-0.5,-0.7
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,938,24,1297.25,1300,1300,1289.75,1295.75,-1.5,-0.12
