Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,21479,366,600.25,651,750.25,651,750.25,150,24.99
ABANS FINANCE PLC,AFSL.N0000,13152,24,71.2,72.5,73,69,69.7,-1.5,-2.11
ACCESS ENGINEERING PLC,AEL.N0000,309387,210,59.7,59.7,60,59.3,59.8,0.1,0.17
ACL CABLES PLC,ACL.N0000,152668,121,177.25,177.25,181,177.25,180,2.75,1.55
ACL PLASTICS PLC,APLA.N0000,45737,346,748,770,824,770,819.5,71.5,9.56
ACME PRINTING & PACKAGING PLC,ACME.N0000,41611,23,5.2,5.3,5.4,5.1,5.2,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,21037,31,62.3,62.5,63.2,62,62.2,-0.1,-0.16
Agarapatana Plantations PLC,AGPL.N0000,482489,230,23.1,23.2,23.4,22.5,22.8,-0.3,-1.3
AGSTAR PLC,AGST.N0000,285505,60,7.8,8,8,7.7,7.8,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,97649,74,84,83,84.5,83,83.6,-0.4,-0.48
AITKEN SPENCE PLC,SPEN.N0000,108573,42,146,147,148,145.5,147,1,0.68
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4992,38,406.5,403,410,402,408,1.5,0.37
ALPHA FIRE SERVICES PLC,AFS.N0000,714662,315,22.2,22.2,28,22,27.7,5.5,24.77
ALUMEX PLC,ALUM.N0000,2175889,116,17,17.1,17.4,17,17.1,0.1,0.59
AMANA BANK PLC,ABL.N0000,34926,35,24.7,24.8,24.8,24.6,24.6,-0.1,-0.4
AMANA TAKAFUL LIFE PLC,ATLL.N0000,20,1,33,33,33,33,33,0,0
AMANA TAKAFUL PLC,ATL.N0000,6070,14,15,15,15,14.9,14.9,-0.1,-0.67
AMBEON CAPITAL PLC,TAP.N0000,2559754,329,26.7,27,28.3,27,27.9,1.2,4.49
AMBEON HOLDINGS PLC,GREG.N0000,43765,39,103.25,104,104,99.5,103,-0.25,-0.24
ARPICO INSURANCE PLC,AINS.N0000,29126,47,38.2,38.4,38.4,36,36.2,-2,-5.24
ASIA ASSET FINANCE PLC,AAF.N0000,337942,143,48.9,48.1,51.2,48,50.2,1.3,2.66
ASIA CAPITAL PLC,ACAP.N0000,5310,9,4.4,4.4,4.5,4.3,4.4,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,481421,73,6.9,6.9,6.9,6.8,6.9,0,0
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,35084,35,65.5,64.8,66.6,64.8,65,-0.5,-0.76
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,7920,21,35.4,35.5,35.5,33.5,33.6,-1.8,-5.08
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,17063,33,13.3,13.5,13.5,13.1,13.1,-0.2,-1.5
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,2000347,862,88.1,89,95,87,94,5.9,6.7
B P P L HOLDINGS PLC,BPPL.N0000,538199,38,19.1,19.1,19.2,18.4,19,-0.1,-0.52
BAIRAHA FARMS PLC,BFL.N0000,6209,55,214,214.75,217.75,214.25,215.25,1.25,0.58
BALANGODA PLANTATIONS PLC,BALA.N0000,36606,38,86.2,86.9,87.7,85,85.5,-0.7,-0.81
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,11101,16,22.5,23.3,23.3,21.8,22,-0.5,-2.22
BERUWALA RESORTS PLC,BERU.N0000,2940507,86,4,3.9,4.2,3.9,4.1,0.1,2.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1004691,1602,81.4,82,98,82,93.8,12.4,15.23
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,7085,24,80.1,78.2,80.8,78,80,-0.1,-0.12
BROWN & COMPANY PLC,BRWN.N0000,74179,157,180,180.25,188,179,179.75,-0.25,-0.14
BROWNS BEACH HOTELS PLC,BBH.N0000,104390,53,22.5,22,23,21.9,22,-0.5,-2.22
BROWNS INVESTMENTS PLC,BIL.N0000,2612790,254,7.7,7.7,7.7,7.6,7.7,0,0
BUKIT DARAH PLC,BUKI.N0000,447,15,814.75,814,814,810,814,-0.75,-0.09
C I C HOLDINGS PLC,CIC.X0000,261113,240,103,103.25,104,101.5,101.75,-1.25,-1.21
C I C HOLDINGS PLC,CIC.N0000,137310,113,135.25,136,138.5,134.75,135.5,0.25,0.18
C M HOLDINGS PLC,COLO.N0000,2384,15,375.25,375,394,375,380,4.75,1.27
C T HOLDINGS PLC,CTHR.N0000,1242,20,700.25,715.75,715.75,651,697,-3.25,-0.46
C T LAND DEVELOPMENT PLC,CTLD.N0000,28081,19,33,33.8,33.8,32.7,33.6,0.6,1.82
C. W. MACKIE PLC,CWM.N0000,20123,165,122.25,121,122,118,121,-1.25,-1.02
CABLE SOLUTIONS PLC,CSLK.N0000,207603,67,14.8,14.9,15,14.5,14.9,0.1,0.68
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,12,2,14.6,14.5,15.2,14.5,14.6,0,0
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,20,1,13.5,13.8,13.8,13.8,13.5,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,738481,194,18.5,18.5,18.6,17.9,18,-0.5,-2.7
CAPITAL ALLIANCE PLC,CALT.N0000,112913,99,54.9,56,56,54.6,55,0.1,0.18
CARGILLS (CEYLON) PLC,CARG.N0000,433,15,719.75,718,720,701.25,705,-14.75,-2.05
CARGILLS BANK PLC,CBNK.N0000,651840,160,9.3,9.2,9.4,9.2,9.3,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,89296,231,154.5,156.5,160,146.75,151.5,-3,-1.94
CARSON CUMBERBATCH PLC,CARS.N0000,436,36,629.25,615,628,601,614.75,-14.5,-2.3
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,117383,335,299,299.25,299.25,292.25,294.25,-4.75,-1.59
CENTRAL INDUSTRIES PLC,CIND.N0000,6626,46,172,173.5,175,171,171.75,-0.25,-0.15
CEYLINCO HOLDINGS PLC,CINS.N0000,3,3,3280,3280,3368,3280,3280,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,20,2,1651.25,1735,1735,1735,1651.25,0,0
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,7,2,2849.5,2799.75,2799.75,2799.75,2849.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,41808,77,110,111,112.5,110,111.5,1.5,1.36
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,7572,45,331.25,340,340,330,330.5,-0.75,-0.23
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,21079,26,212.75,212.75,214,211.25,213.75,1,0.47
CEYLON HOSPITALS PLC,CHL.X0000,608,4,127.75,137.5,137.5,130,130,2.25,1.76
CEYLON HOSPITALS PLC,CHL.N0000,2025,17,154.25,153.75,155,150,150.25,-4,-2.59
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,12367,13,26.1,26.3,26.3,26.1,26.2,0.1,0.38
CEYLON INVESTMENT PLC,CINV.N0000,44266,77,110.75,110,111.5,109,110,-0.75,-0.68
CEYLON LAND & EQUITY PLC,KZOO.N0000,770989,156,10.8,11.1,11.2,10.6,10.9,0.1,0.93
CEYLON PRINTERS PLC,CPRT.N0000,10,2,292,231.25,231.25,231.25,292,0,0
CEYLON TEA BROKERS PLC,CTBL.N0000,118750,39,7.3,7.4,7.5,7.2,7.3,0,0
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1542,72,1600,1615,1615,1587,1595.25,-4.75,-0.3
CHEMANEX PLC,CHMX.N0000,12523,47,161.5,161.5,168,156.75,160.75,-0.75,-0.46
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,677750,123,175.75,176,176.75,176,176,0.25,0.14
CHRISSWORLD PLC,CWL.N0000,9351,17,11.3,11.3,11.3,11,11.1,-0.2,-1.77
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,15210,57,304.5,302,309.5,302,305.25,0.75,0.25
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,2,2,387,398,398,394,387,0,0
CITRUS LEISURE PLC,REEF.N0000,1666900,102,3.9,4,4.2,3.9,4.1,0.2,5.13
Co-operative Insurance Company PLC,COOP.N0000,37236142,940,4.3,4.4,5,4.3,4.9,0.6,13.95
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,70063,79,104.75,102.25,102.25,97.3,99,-5.75,-5.49
COLOMBO DOCKYARD PLC,DOCK.N0000,27675,134,104,104,104,102.5,103.25,-0.75,-0.72
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,4105,30,316,314,320.5,313,313.5,-2.5,-0.79
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,7207,40,384.75,384.75,384.75,362,363.25,-21.5,-5.59
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,328275,110,31.6,32,33.4,31.6,32.8,1.2,3.8
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,435060,202,173.25,173.5,174.25,172,172.5,-0.75,-0.43
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,36267,91,149.25,148.5,148.5,145,148,-1.25,-0.84
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,340616,305,122.75,123,125.75,121.75,123,0.25,0.2
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,6996,39,216.5,225,238,224,233.75,17.25,7.97
CONVENIENCE FOODS LANKA PLC,SOY.N0000,248,17,1749.75,1797,1797,1750,1750,0.25,0.01
DANKOTUWA PORCELAIN PLC,DPL.N0000,12611,11,21.9,22.5,22.5,21.4,22,0.1,0.46
DFCC BANK PLC,DFCC.N0000,442053,242,152.25,154,154,152,153.25,1,0.66
DIALOG AXIATA PLC,DIAL.N0000,2101811,218,21.4,21.4,21.6,21.2,21.5,0.1,0.47
DIALOG FINANCE PLC,CALF.N0000,12778,63,73.1,73.8,73.8,70,71.7,-1.4,-1.92
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,735,24,1304.75,1296,1320,1251,1299.5,-5.25,-0.4
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,12114917,2376,105.75,107,129.75,107,123,17.25,16.31
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,97,7,1188.5,1188.5,1189,1161,1188.5,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,195463,257,59.3,59.5,60,59,59,-0.3,-0.51
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,28601,60,45.2,45.3,45.5,45.1,45.5,0.3,0.66
DOLPHIN HOTELS PLC,STAF.N0000,377876,72,48.8,49.9,49.9,48.9,49.6,0.8,1.64
E - CHANNELLING PLC,ECL.N0000,35148,34,13.4,13.4,13.4,12.8,12.9,-0.5,-3.73
E B CREASY & COMPANY PLC,EBCR.N0000,21225,41,62,63,63,61.9,62.1,0.1,0.16
E M L CONSULTANTS PLC,EML.N0000,59648,29,4.2,4.2,4.3,4.1,4.2,0,0
EAST WEST PROPERTIES PLC,EAST.N0000,7204936,2202,46,48.5,53.9,48.5,52.7,6.7,14.57
EASTERN MERCHANTS PLC,EMER.N0000,111456,58,8.8,9,9,8.5,8.5,-0.3,-3.41
EDEN HOTEL LANKA PLC,EDEN.N0000,142863,52,14.2,14.2,14.2,13.9,14,-0.2,-1.41
ELPITIYA PLANTATIONS PLC,ELPL.N0000,7288,60,174,172,177,171.75,176,2,1.15
