Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1733,145,1302.75,1330,1340,1200,1212,-90.75,-6.97
ABANS FINANCE PLC,AFSL.N0000,9417,36,87,80.2,84.6,79.9,80,-7,-8.05
ACCESS ENGINEERING PLC,AEL.N0000,1345644,384,68.4,69,69,66,68,-0.4,-0.58
ACL CABLES PLC,ACL.N0000,109300,87,223.5,223.75,224,220.25,221.25,-2.25,-1.01
ACL PLASTICS PLC,APLA.N0000,2334,67,1649.5,1665,1665,1610,1645.75,-3.75,-0.23
ACME PRINTING & PACKAGING PLC,ACME.N0000,60079,41,6.5,6.5,6.5,6.2,6.4,-0.1,-1.54
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,39060,74,57.9,58.5,58.5,53.1,56,-1.9,-3.28
Agarapatana Plantations PLC,AGPL.N0000,34543,45,20.1,20.1,20.1,19.7,19.7,-0.4,-1.99
AGSTAR PLC,AGST.N0000,1057633,160,9.5,9.5,9.5,9,9,-0.5,-5.26
AGSTAR PLC,AGST.X0000,1535,4,12.2,12.8,12.8,12.1,12.1,-0.1,-0.82
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,63721,146,115.75,117,117,111.5,112.25,-3.5,-3.02
AITKEN SPENCE PLC,SPEN.N0000,14082,63,160.25,161,161,155.5,157,-3.25,-2.03
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,5440,53,398.5,395,399.75,390,394,-4.5,-1.13
ALPHA FIRE SERVICES PLC,AFS.N0000,8453,18,27.5,29,29,26.4,26.7,-0.8,-2.91
ALUMEX PLC,ALUM.N0000,441664,203,19.3,19.3,19.3,18.8,18.9,-0.4,-2.07
AMANA BANK PLC,ABL.N0000,745193,289,31.7,31.7,31.7,30.3,30.5,-1.2,-3.79
AMANA TAKAFUL LIFE PLC,ATLL.N0000,3693,17,43,44.9,44.9,41.5,41.6,-1.4,-3.26
AMANA TAKAFUL PLC,ATL.N0000,138138,69,28,27.9,29,27.3,27.3,-0.7,-2.5
AMBEON CAPITAL PLC,TAP.N0000,541209,234,45.7,45.3,46,43.7,44,-1.7,-3.72
AMBEON HOLDINGS PLC,GREG.N0000,37257,103,160.5,159.75,160,154,159,-1.5,-0.93
ARPICO INSURANCE PLC,AINS.N0000,2,2,39,39,39,39,39,0,0
ASIA ASSET FINANCE PLC,AAF.N0000,42579,62,56,56.1,56.9,54.3,54.5,-1.5,-2.68
ASIA CAPITAL PLC,ACAP.N0000,227549,85,6.4,6.4,6.4,6,6,-0.4,-6.25
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,552847,153,10.4,10.3,10.4,9.9,9.9,-0.5,-4.81
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,26241,52,60.2,59.9,59.9,57,59.9,-0.3,-0.5
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,11618,36,31.2,31.5,32,31,31.3,0.1,0.32
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,57879,42,14.2,14.2,14.4,13.9,13.9,-0.3,-2.11
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,118573,90,75.8,76,76.4,73.1,73.7,-2.1,-2.77
B P P L HOLDINGS PLC,BPPL.N0000,74212,66,20.2,20.8,21,20.2,20.4,0.2,0.99
BAIRAHA FARMS PLC,BFL.N0000,24976,158,444,449.5,450,420,435.25,-8.75,-1.97
BALANGODA PLANTATIONS PLC,BALA.N0000,8399,51,81.6,83,83,79.5,79.9,-1.7,-2.08
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,20553,15,21.7,21.7,22,21.3,21.8,0.1,0.46
BERUWALA RESORTS PLC,BERU.N0000,162398,44,4,4,4,3.8,3.9,-0.1,-2.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,166058,335,136,137,137.5,127,129.5,-6.5,-4.78
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,275,12,79.5,83.7,83.7,79,79.4,-0.1,-0.13
BROWN & COMPANY PLC,BRWN.N0000,9945,117,169,168.5,170,166,168.75,-0.25,-0.15
BROWNS BEACH HOTELS PLC,BBH.N0000,3670,11,25,25,25,24.5,24.8,-0.2,-0.8
BROWNS INVESTMENTS PLC,BIL.N0000,20877182,1141,6.9,6.9,6.9,6.6,6.7,-0.2,-2.9
BUKIT DARAH PLC,BUKI.N0000,1631,42,1059.75,1080,1119.5,1005,1037.25,-22.5,-2.12
C I C HOLDINGS PLC,CIC.N0000,1441865,262,33.9,34.1,34.1,33.1,33.3,-0.6,-1.77
