Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1755,90,1443.75,1499.75,1547.75,1450,1495.25,51.5,3.57
ABANS FINANCE PLC,AFSL.N0000,85544,127,72.5,74.9,80,72,75.9,3.4,4.69
ACCESS ENGINEERING PLC,AEL.N0000,4269222,1054,64.1,64.5,68.1,64,67.1,3,4.68
ACL CABLES PLC,ACL.N0000,297254,112,221.25,222,223.75,221,221.25,0,0
ACL PLASTICS PLC,APLA.N0000,2996,40,1643.5,1714.75,1714.75,1636.25,1650.25,6.75,0.41
ACME PRINTING & PACKAGING PLC,ACME.N0000,16280,19,6.9,6.8,6.9,6.7,6.9,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,57109,91,59.6,59.5,61,59,59.6,0,0
Agarapatana Plantations PLC,AGPL.N0000,78194,58,21.1,21.1,21.3,21,21.3,0.2,0.95
AGSTAR PLC,AGST.N0000,1415309,191,10.2,10.2,10.4,9.8,10,-0.2,-1.96
AGSTAR PLC,AGST.X0000,5701,7,13.6,13.3,13.4,13,13,-0.6,-4.41
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,249804,104,122.25,122.5,128,122.5,127,4.75,3.89
AITKEN SPENCE PLC,SPEN.N0000,11807,32,170.5,170.5,170.5,165,165.75,-4.75,-2.79
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1861,40,411.75,417,417,408,408.75,-3,-0.73
ALPHA FIRE SERVICES PLC,AFS.N0000,41119,32,26.6,26.8,27,25.1,26.8,0.2,0.75
ALUMEX PLC,ALUM.N0000,818361,236,19.8,19.8,20.3,19.5,19.7,-0.1,-0.51
AMANA BANK PLC,ABL.N0000,554119,95,28.5,28.5,28.5,28.4,28.5,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,1550,12,43.7,44.8,44.9,43.3,43.8,0.1,0.23
AMANA TAKAFUL PLC,ATL.N0000,323366,139,30.9,31.1,31.1,29.6,29.8,-1.1,-3.56
AMBEON CAPITAL PLC,TAP.N0000,717526,139,47,47,47.1,46,46.2,-0.8,-1.7
AMBEON HOLDINGS PLC,GREG.N0000,81043,40,163.25,159,165.25,156.75,163.75,0.5,0.31
ARPICO INSURANCE PLC,AINS.N0000,7520,11,38,37.9,38.8,37.9,38.6,0.6,1.58
ASIA ASSET FINANCE PLC,AAF.N0000,232426,249,56.8,57.5,57.5,54,55,-1.8,-3.17
ASIA CAPITAL PLC,ACAP.N0000,134397,39,6.7,6.7,7,6.7,6.7,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,830035,154,11.4,11.5,11.5,10.8,11,-0.4,-3.51
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,6607,19,61,61.5,62.5,61.5,62.3,1.3,2.13
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,25114,51,33.8,34,34.6,33,34,0.2,0.59
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,27254,35,14.3,14.8,14.8,14,14.1,-0.2,-1.4
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,61394,83,71.4,71.4,74,71,73.2,1.8,2.52
B P P L HOLDINGS PLC,BPPL.N0000,686400,136,21.6,21.5,22,21,21.6,0,0
BAIRAHA FARMS PLC,BFL.N0000,17780,87,449.75,450,454,440,442,-7.75,-1.72
BALANGODA PLANTATIONS PLC,BALA.N0000,31664,102,86.8,85.2,90,80.4,82.8,-4,-4.61
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,9205,29,22.2,21.4,23.7,21.4,22.6,0.4,1.8
BERUWALA RESORTS PLC,BERU.N0000,1370397,93,3.9,4,4.1,3.9,4,0.1,2.56
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,2009239,4058,171.25,189,197,142.75,150,-21.25,-12.41
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,353,4,82,80,80.9,80,80.9,-1.1,-1.34
BROWN & COMPANY PLC,BRWN.N0000,28216,118,178.75,178,181.75,178,179.5,0.75,0.42
BROWNS BEACH HOTELS PLC,BBH.N0000,1649,7,25.8,25.5,25.5,25.3,25.3,-0.5,-1.94
BROWNS INVESTMENTS PLC,BIL.N0000,14291229,812,7.3,7.4,7.5,7.1,7.2,-0.1,-1.37
BUKIT DARAH PLC,BUKI.N0000,688,14,1137,1150,1150,1120,1125,-12,-1.06
C I C HOLDINGS PLC,CIC.X0000,1670230,217,26.8,26.9,26.9,26.5,26.7,-0.1,-0.37
C I C HOLDINGS PLC,CIC.N0000,2751510,383,33,33.3,33.3,32.8,33,0,0
C M HOLDINGS PLC,COLO.N0000,27180,92,64,64.2,64.5,63.4,63.8,-0.2,-0.31
C T HOLDINGS PLC,CTHR.N0000,35,8,690,693.75,693.75,693.75,690,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,12898,42,39.9,40.5,41.9,40,40.8,0.9,2.26
C. W. MACKIE PLC,CWM.N0000,3268,25,129.25,127,129,126.5,129,-0.25,-0.19
CABLE SOLUTIONS PLC,CSLK.N0000,500252,78,14.9,15.1,15.3,14.8,15,0.1,0.67
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,2107,4,15.1,15.5,15.5,15,15.5,0.4,2.65
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,959,7,14.4,14.4,14.4,14.3,14.3,-0.1,-0.69
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,464509,138,17,17.1,17.1,16.8,16.9,-0.1,-0.59
CAPITAL ALLIANCE PLC,CALT.N0000,416718,188,53,53.4,53.5,52.9,53,0,0
CARGILLS (CEYLON) PLC,CARG.N0000,429,8,840.25,847,847,837,843.5,3.25,0.39
CARGILLS BANK PLC,CBNK.N0000,838009,261,10.5,10.5,10.7,10.4,10.4,-0.1,-0.95
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,601,7,191.75,190,190,189.75,189.75,-2,-1.04
CARSON CUMBERBATCH PLC,CARS.N0000,4114,35,799.25,800,800,761.25,798.5,-0.75,-0.09
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,62773,98,314,315,317.5,312,313.25,-0.75,-0.24
CENTRAL INDUSTRIES PLC,CIND.N0000,269560,468,228,228,246,228,243.25,15.25,6.69
CEYLINCO HOLDINGS PLC,CINS.N0000,7,2,3358.25,3210,3349,3210,3358.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,198,20,1850.5,1972.5,1974,1881,1899.5,49,2.65
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,67,6,2632.75,2615,2616,2614.25,2632.75,0,0
CEYLON COLD STORES PLC,CCS.N0000,70077,131,116,117,117,115,115.75,-0.25,-0.22
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,15808,45,429,429.75,430,425.25,427.25,-1.75,-0.41
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,12018,63,309.5,313,313,307.5,309.5,0,0
CEYLON HOSPITALS PLC,CHL.X0000,56,5,205,207,207,205,205,0,0
CEYLON HOSPITALS PLC,CHL.N0000,224,8,271.5,284.75,284.75,267,271.5,0,0
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,33782,53,45.5,44.5,46,44.5,45,-0.5,-1.1
CEYLON INVESTMENT PLC,CINV.N0000,41095,85,145,147.75,149,144.75,145,0,0
CEYLON LAND & EQUITY PLC,KZOO.N0000,2198047,257,13.1,13.2,13.6,12.8,13.3,0.2,1.53
CEYLON TEA BROKERS PLC,CTBL.N0000,350537,138,8.7,8.9,8.9,8.4,8.5,-0.2,-2.3
CEYLON TOBACCO COMPANY PLC,CTC.N0000,13228,111,1696.5,1700,1700,1686.5,1689.75,-6.75,-0.4
CHEMANEX PLC,CHMX.N0000,13099,38,188,186.75,187,179,179.5,-8.5,-4.52
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,61657,199,188,187,187,183,184.75,-3.25,-1.73
CHRISSWORLD PLC,CWL.N0000,22742,25,13,13.1,13.4,12.9,13,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,41673,32,394.75,382,399,382,398,3.25,0.82
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,12356,46,310,315,349.5,310,319.5,9.5,3.06
CITRUS LEISURE PLC,REEF.N0000,664916,96,4.3,4.4,4.5,4.3,4.4,0.1,2.33
Co-operative Insurance Company PLC,COOP.N0000,2231558,214,5.1,5.1,5.2,5.1,5.1,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,7526,46,166.75,167,167,161,161.75,-5,-3
COLOMBO DOCKYARD PLC,DOCK.N0000,308072,918,403,398,425,380.25,407.25,4.25,1.05
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,1652,44,470.5,455.25,480,450,453,-17.5,-3.72
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,881,26,544,548,548,530,530,-14,-2.57
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,46490,52,50.4,50.9,50.9,49,49.2,-1.2,-2.38
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,1047280,363,215.75,216.5,217,215.5,216.75,1,0.46
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,258612,139,198,198.5,199.5,197,198,0,0
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,232469,588,138,138,139.75,135,135.75,-2.25,-1.63
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,758,25,272.5,277,278.5,273,277.75,5.25,1.93
CONVENIENCE FOODS LANKA PLC,SOY.N0000,14,9,2313.5,2375,2375,2349,2313.5,0,0
DANKOTUWA PORCELAIN PLC,DPL.N0000,136262,104,18.9,18.9,19.2,18.7,18.9,0,0
DFCC BANK PLC,DFCC.N0000,3316427,804,166,166,170,166,169.75,3.75,2.26
DIALOG AXIATA PLC,DIAL.N0000,2112871,491,31.3,31.4,32.5,31.3,32.2,0.9,2.88
DIALOG FINANCE PLC,CALF.N0000,36544,152,87.7,105,105,89,93.7,6,6.84
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,1096,57,2347.25,2321,2384.75,2300,2314.75,-32.5,-1.38
