Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,1147,87,1400,1400,1401,1300,1338.75,-61.25,-4.38
ABANS FINANCE PLC,AFSL.N0000,11179,66,88.4,91,91,84,84.5,-3.9,-4.41
ACCESS ENGINEERING PLC,AEL.N0000,1850531,428,66.8,67,67.3,66.1,67.1,0.3,0.45
ACL CABLES PLC,ACL.N0000,201697,101,223.75,224,224.75,223.5,224,0.25,0.11
ACL PLASTICS PLC,APLA.N0000,235,23,1697.75,1705,1705,1670,1678.75,-19,-1.12
ACME PRINTING & PACKAGING PLC,ACME.N0000,42869,21,6.7,6.8,6.8,6.5,6.5,-0.2,-2.99
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,39485,80,59.2,59.9,59.9,58,58.1,-1.1,-1.86
Agarapatana Plantations PLC,AGPL.N0000,118516,127,20.6,20.5,20.5,19.9,20,-0.6,-2.91
AGSTAR PLC,AGST.N0000,376138,85,9.7,9.7,9.8,9.4,9.5,-0.2,-2.06
AGSTAR PLC,AGST.X0000,2000,1,13.3,13,13,13,13,-0.3,-2.26
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,220003,238,123.5,122,122,119,119.75,-3.75,-3.04
AITKEN SPENCE PLC,SPEN.N0000,13901,62,166.75,165,165,162,163,-3.75,-2.25
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,8697,60,402.25,416.75,416.75,400,400.5,-1.75,-0.44
ALPHA FIRE SERVICES PLC,AFS.N0000,1705723,186,27,27,29.9,26.5,29.2,2.2,8.15
ALUMEX PLC,ALUM.N0000,167916,126,19.5,19.4,19.5,19.3,19.4,-0.1,-0.51
AMANA BANK PLC,ABL.N0000,5391109,1284,29.7,30,32.7,30,32.4,2.7,9.09
AMANA TAKAFUL LIFE PLC,ATLL.N0000,9731,20,45.5,46.2,46.2,44.1,45.1,-0.4,-0.88
AMANA TAKAFUL PLC,ATL.N0000,336176,104,29.2,29.3,30,27,29.1,-0.1,-0.34
AMBEON CAPITAL PLC,TAP.N0000,302784,109,47.9,48,48,47.2,47.5,-0.4,-0.84
AMBEON HOLDINGS PLC,GREG.N0000,13796,92,173.5,175,175,173,173.5,0,0
ARPICO INSURANCE PLC,AINS.N0000,527,2,38,37.6,37.6,37.6,37.6,-0.4,-1.05
ASIA ASSET FINANCE PLC,AAF.N0000,78720,55,57,57,57.3,56,56.5,-0.5,-0.88
ASIA CAPITAL PLC,ACAP.N0000,119128,52,6.7,6.7,6.8,6.5,6.5,-0.2,-2.99
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1228748,188,11,11.2,11.3,10.5,10.6,-0.4,-3.64
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,17936,19,61.7,61.3,62,60.4,60.7,-1,-1.62
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,191727,100,32,33.9,33.9,31.9,32.1,0.1,0.31
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,31532,51,14.1,14.4,14.5,13.9,14.4,0.3,2.13
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,61004,84,73.9,74.5,74.5,72,72.5,-1.4,-1.89
B P P L HOLDINGS PLC,BPPL.N0000,63515,65,20.9,21,21.5,20.7,20.9,0,0
BAIRAHA FARMS PLC,BFL.N0000,8359,106,450,445,450,440,441.5,-8.5,-1.89
BALANGODA PLANTATIONS PLC,BALA.N0000,7169,60,88,85.3,87.7,83.1,85,-3,-3.41
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,301,4,21.9,22.9,22.9,22.9,22.9,1,4.57
BERUWALA RESORTS PLC,BERU.N0000,506722,26,4,4,4,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,61248,237,148.5,147.5,150,144,147.25,-1.25,-0.84
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,5,1,79.7,80.1,80.1,80.1,79.7,0,0
BROWN & COMPANY PLC,BRWN.N0000,65748,223,178,175,176.75,170,173.25,-4.75,-2.67
BROWNS BEACH HOTELS PLC,BBH.N0000,25685,16,24.4,24.6,24.9,24.6,24.9,0.5,2.05
BROWNS INVESTMENTS PLC,BIL.N0000,22444127,1332,7.2,7.1,7.1,6.9,7,-0.2,-2.78
BUKIT DARAH PLC,BUKI.N0000,5322,92,1099,1147,1147,1000,1010.5,-88.5,-8.05
C I C HOLDINGS PLC,CIC.X0000,602084,164,27.6,27.6,27.6,27,27,-0.6,-2.17
C I C HOLDINGS PLC,CIC.N0000,751857,212,34.1,34.1,34.2,33.8,34,-0.1,-0.29
C M HOLDINGS PLC,COLO.N0000,318739,123,61.9,62.9,65,61,62.2,0.3,0.48
C T HOLDINGS PLC,CTHR.N0000,2230,27,672.75,672.75,673,650,671.25,-1.5,-0.22
C T LAND DEVELOPMENT PLC,CTLD.N0000,42960,48,40.7,41.4,41.6,38,38.7,-2,-4.91
C. W. MACKIE PLC,CWM.N0000,6568,33,130.25,132.5,138.5,130,132.5,2.25,1.73
CABLE SOLUTIONS PLC,CSLK.N0000,216879,95,15,15,15,14.5,14.6,-0.4,-2.67
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,24028,52,15.1,16,17.2,16,16.5,1.4,9.27
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,126,3,14.4,14.4,14.4,14.3,14.3,-0.1,-0.69
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,288434,140,16.8,16.7,17,16.5,16.8,0,0
CAPITAL ALLIANCE PLC,CALT.N0000,48171,98,52.5,53,53,52.3,52.5,0,0
CARGILLS (CEYLON) PLC,CARG.N0000,142,19,832.25,833,833,820,824,-8.25,-0.99
CARGILLS BANK PLC,CBNK.N0000,1231804,155,10.7,10.7,10.8,10.6,10.7,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,1170,11,178,167,177.5,166.5,167,-11,-6.18
CARSON CUMBERBATCH PLC,CARS.N0000,4536,36,789.75,799,815,789.75,791.75,2,0.25
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,215738,93,302,306,306,302,302,0,0
CENTRAL INDUSTRIES PLC,CIND.N0000,9935,57,235.5,235,235,231,232.25,-3.25,-1.38
CEYLINCO HOLDINGS PLC,CINS.N0000,1345,50,3495.5,3255,3275,3002,3030,-465.5,-13.32
CEYLINCO HOLDINGS PLC,CINS.X0000,2216,13,1968.75,1925,1969,1921,1927.75,-41,-2.08
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,18,8,2632.75,2627,2730,2616,2632.75,0,0
CEYLON COLD STORES PLC,CCS.N0000,17587,114,115,115.75,115.75,113,113.5,-1.5,-1.3
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,52326,153,427.25,428,428.25,404,411.75,-15.5,-3.63
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,41465,80,301.75,309.5,309.5,304,305,3.25,1.08
CEYLON HOSPITALS PLC,CHL.X0000,2290,5,204,206,206,200,200.5,-3.5,-1.72
CEYLON HOSPITALS PLC,CHL.N0000,93488,74,270.25,281.75,285,275.5,284.5,14.25,5.27
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,48161,54,44.6,45.7,45.7,44.1,44.2,-0.4,-0.9
CEYLON INVESTMENT PLC,CINV.N0000,218806,167,146.25,147.75,148.5,142,143.25,-3,-2.05
CEYLON LAND & EQUITY PLC,KZOO.N0000,985557,57,12.8,12.7,13,12.5,12.7,-0.1,-0.78
CEYLON TEA BROKERS PLC,CTBL.N0000,689194,143,9.9,9.8,10.1,9.3,10,0.1,1.01
CEYLON TOBACCO COMPANY PLC,CTC.N0000,155911,71,1698.5,1715,1715,1700,1700,1.5,0.09
CHEMANEX PLC,CHMX.N0000,967,18,178,183.75,183.75,175,175.5,-2.5,-1.4
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,15381,72,182,183.5,183.5,182,182.25,0.25,0.14
CHRISSWORLD PLC,CWL.N0000,47886,43,14.8,14.9,15,14.5,14.8,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,1115,5,385,398,398,385,385,0,0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,231,3,312.5,314,314,312.25,312.25,-0.25,-0.08
CITRUS LEISURE PLC,REEF.N0000,857834,87,4.5,4.5,4.6,4.2,4.3,-0.2,-4.44
Co-operative Insurance Company PLC,COOP.N0000,2221896,170,4.8,4.8,4.9,4.7,4.8,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,7624,22,167.5,172,172,160,161,-6.5,-3.88
COLOMBO DOCKYARD PLC,DOCK.N0000,173112,801,436,440,465,435,446.5,10.5,2.41
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,7616,80,436.25,450,464,445.25,459.25,23,5.27
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,17448,140,532,546.5,575,545,567,35,6.58
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,84471,51,49.8,48.7,50,48.1,48.2,-1.6,-3.21
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,595522,405,214.75,214.75,214.75,212,212.75,-2,-0.93
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,67559,202,193.75,194,194,190,190.25,-3.5,-1.81
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,128249,203,136.75,137.25,138.5,135.75,136.25,-0.5,-0.37
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,1116,12,271,280.5,280.5,273,274.25,3.25,1.2
CONVENIENCE FOODS LANKA PLC,SOY.N0000,58,4,2282,2265,2300,2265,2282,0,0
DANKOTUWA PORCELAIN PLC,DPL.N0000,108749,92,18.2,18,18.6,17.9,18.2,0,0
DFCC BANK PLC,DFCC.N0000,142892,328,167.25,168,169.75,166.25,166.5,-0.75,-0.45
DIALOG AXIATA PLC,DIAL.N0000,1308920,502,31.5,31.5,31.8,30.8,31,-0.5,-1.59
DIALOG FINANCE PLC,CALF.N0000,9629,29,97,97,98.1,95,95.3,-1.7,-1.75
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,5938,172,2253.25,2275,2275,2125,2145.75,-107.5,-4.77
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,292648,205,156,156,158,156,157,1,0.64
DILMAH CEYLON TEA COMPANY PLC,CTEA.N0000,44,5,1150,1150,1150,1146,1150,0,0
DIPPED PRODUCTS PLC,DIPD.N0000,368786,280,64,63,64,62.4,63.2,-0.8,-1.25
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,1139655,91,64,64,65,63.7,64,0,0
DOLPHIN HOTELS PLC,STAF.N0000,198379,147,67,65,66,63.9,64.6,-2.4,-3.58
E - CHANNELLING PLC,ECL.N0000,37657,35,17,17.6,17.8,17,17.7,0.7,4.12
E B CREASY & COMPANY PLC,EBCR.N0000,1999,21,66.4,66.5,67.8,66,66.2,-0.2,-0.3
E M L CONSULTANTS PLC,EML.N0000,191469,66,5,5.2,5.2,4.9,4.9,-0.1,-2
EAST WEST PROPERTIES PLC,EAST.N0000,25991,57,61.8,61.9,62.2,61.1,61.8,0,0
EASTERN MERCHANTS PLC,EMER.N0000,245667,89,12.4,12.6,12.6,12,12.1,-0.3,-2.42
EDEN HOTEL LANKA PLC,EDEN.N0000,233530,103,14.3,14.2,14.2,14,14.1,-0.2,-1.4
ELPITIYA PLANTATIONS PLC,ELPL.N0000,3233,35,184.5,184,185,181,181.5,-3,-1.63
EQUITY TWO PLC,ETWO.N0000,870,12,87,89.4,89.5,84,89.4,2.4,2.76
Ex-pack Corrugated Cartons PLC,PACK.N0000,350846,132,15,15,15,14.4,14.5,-0.5,-3.33
EXTERMINATORS PLC,EXT.N0000,46051,22,7.9,7.9,7.9,7.3,7.4,-0.5,-6.33
FIRST CAPITAL HOLDINGS PLC,CFVF.N0000,150087,198,61.1,61.1,61.9,60.6,60.9,-0.2,-0.33
First Capital Treasuries PLC,FCT.N0000,139427,150,31.2,31.5,31.9,30.9,31,-0.2,-0.64
GALADARI HOTELS (LANKA) PLC,GHLL.N0000,35360,49,20,20,20,19.5,19.9,-0.1,-0.5
GALLE FACE CAPITAL PARTNERS PLC,WAPO.N0000,9843,38,115,117,117,113.75,114,-1,-0.87
GESTETNER OF CEYLON PLC,GEST.N0000,26124,131,232.25,235,246,230.25,239.75,7.5,3.23
GREENTECH ENERGY PLC,MEL.N0000,177585,44,4.5,4.7,4.7,4.4,4.6,0.1,2.22
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,2044,13,68.2,72.1,72.9,71,71,2.8,4.11
HARISCHANDRA MILLS PLC,HARI.N0000,19,8,7004.75,6700,6898,6654,7004.75,0,0
HATTON NATIONAL BANK PLC,HNB.X0000,142300,200,333,333.25,333.25,329,331.5,-1.5,-0.45
HATTON NATIONAL BANK PLC,HNB.N0000,153938,237,416.75,415,420,415,416.75,0,0
HATTON PLANTATIONS PLC,HPL.N0000,58807,83,29,29.9,29.9,28.5,29.1,0.1,0.34
HAYCARB PLC,HAYC.N0000,83063,126,106,107,108,105,107,1,0.94
HAYLEYS FABRIC PLC,MGT.N0000,629134,102,41.8,41.7,42,41.2,41.5,-0.3,-0.72
HAYLEYS FIBRE PLC,HEXP.N0000,11435,28,84.6,84.5,86.5,84.5,84.6,0,0
HAYLEYS LEISURE PLC,CONN.N0000,16597,32,43.4,44.8,44.8,42,42.3,-1.1,-2.53
HAYLEYS PLC,HAYL.N0000,169521,164,194.75,193,195.5,193,195,0.25,0.13
HELA APPAREL HOLDINGS PLC,HELA.N0000,3026337,257,3.4,3.2,3.4,3.2,3.2,-0.2,-5.88
HEMAS HOLDINGS PLC,HHL.N0000,7397069,384,35.3,35.3,36,34.9,35.7,0.4,1.13
HIKKADUWA BEACH RESORT PLC,CITH.N0000,834395,152,3.9,3.9,3.9,3.7,3.7,-0.2,-5.13
