Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,121,24,1328.25,1345,1345,1313,1322.75,-5.5,-0.41
ABANS FINANCE PLC,AFSL.N0000,1718,22,84.4,82,87.9,80.3,84.1,-0.3,-0.36
ACCESS ENGINEERING PLC,AEL.N0000,572757,226,66.7,66.2,67.4,66,67.1,0.4,0.6
ACL CABLES PLC,ACL.N0000,13401,47,223,223,224,223,223.5,0.5,0.22
ACL PLASTICS PLC,APLA.N0000,4445,105,1624,1630,1630,1600,1601.5,-22.5,-1.39
ACME PRINTING & PACKAGING PLC,ACME.N0000,13755,19,6.4,6.5,6.5,6.4,6.4,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,45148,74,59,58.5,59,57.5,58.1,-0.9,-1.53
Agarapatana Plantations PLC,AGPL.N0000,774626,74,20.1,20,20.1,19.6,20,-0.1,-0.5
AGSTAR PLC,AGST.N0000,353290,64,9.4,9.5,9.6,9.3,9.5,0.1,1.06
AGSTAR PLC,AGST.X0000,1280,6,12.2,12.9,12.9,12.7,12.9,0.7,5.74
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,80965,52,117.75,118,118,116.25,117,-0.75,-0.64
AITKEN SPENCE PLC,SPEN.N0000,197566,32,161,161,161,160,160.75,-0.25,-0.16
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4194,40,397,398,403.75,395,398.75,1.75,0.44
ALPHA FIRE SERVICES PLC,AFS.N0000,23383,16,27.6,27.6,28.8,27.6,28,0.4,1.45
ALUMEX PLC,ALUM.N0000,36914,47,19.1,19.1,19.4,19,19.3,0.2,1.05
AMANA BANK PLC,ABL.N0000,498746,252,31.7,31.9,32,30.7,31.3,-0.4,-1.26
AMANA TAKAFUL LIFE PLC,ATLL.N0000,804,8,44.9,44.8,44.9,44,44,-0.9,-2
AMANA TAKAFUL PLC,ATL.N0000,17342,42,29,29,29.4,28.2,28.6,-0.4,-1.38
AMBEON CAPITAL PLC,TAP.N0000,111141,68,46.3,46,46.9,46,46.7,0.4,0.86
AMBEON HOLDINGS PLC,GREG.N0000,152347,101,169.5,169,174,169,173.5,4,2.36
ARPICO INSURANCE PLC,AINS.N0000,271,4,37.5,39.4,39.5,39.4,39.5,2,5.33
ASIA ASSET FINANCE PLC,AAF.N0000,52195,65,55.1,55.3,56.8,54.1,56.1,1,1.81
ASIA CAPITAL PLC,ACAP.N0000,34159,37,6.4,6.6,6.7,6.4,6.5,0.1,1.56
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,636097,88,10.5,10.4,10.7,10.2,10.4,-0.1,-0.95
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,9156,32,60.1,60.7,60.7,59.9,60,-0.1,-0.17
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,10288,26,32,32,32.4,31.7,32,0,0
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,17914,24,14.3,14.4,14.4,14.1,14.1,-0.2,-1.4
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,64195,118,74.7,75,77,75,75.2,0.5,0.67
B P P L HOLDINGS PLC,BPPL.N0000,96290,56,21,20.5,21.2,20.5,20.6,-0.4,-1.9
BAIRAHA FARMS PLC,BFL.N0000,33337,214,448.75,448.75,451.75,447.5,450,1.25,0.28
