Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,736,89,1409.25,1424,1424,1356,1388.75,-20.5,-1.45
ABANS FINANCE PLC,AFSL.N0000,9583,54,75.3,75,77.5,69,70.1,-5.2,-6.91
ACCESS ENGINEERING PLC,AEL.N0000,672820,278,62.1,62.9,62.9,61.4,61.6,-0.5,-0.81
ACL CABLES PLC,ACL.N0000,157559,181,217.5,220,220,217.5,218.25,0.75,0.34
ACL PLASTICS PLC,APLA.N0000,3110,125,1774.75,1784.75,1799.75,1717,1745.25,-29.5,-1.66
ACME PRINTING & PACKAGING PLC,ACME.N0000,2663,14,6.6,6.6,6.7,6.6,6.6,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,74766,65,62,62,64,61.5,61.8,-0.2,-0.32
Agarapatana Plantations PLC,AGPL.N0000,85939,60,22.4,22.4,22.6,22.3,22.3,-0.1,-0.45
AGSTAR PLC,AGST.N0000,1258611,127,9,9.1,9.2,8.9,9.1,0.1,1.11
AGSTAR PLC,AGST.X0000,12556,9,11.6,11.9,11.9,11.4,11.4,-0.2,-1.72
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,18121,80,123,122,122,119.25,121,-2,-1.63
AITKEN SPENCE PLC,SPEN.N0000,12941,35,165.75,164.75,167,164.75,166.75,1,0.6
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,4732,45,381.25,380,384,378,378.5,-2.75,-0.72
ALPHA FIRE SERVICES PLC,AFS.N0000,28632,29,26,26.4,26.9,25.8,26,0,0
ALUMEX PLC,ALUM.N0000,3418180,213,21.5,21.7,21.8,21.4,21.7,0.2,0.93
AMANA BANK PLC,ABL.N0000,443164,159,28.3,28.4,29.1,28.4,28.9,0.6,2.12
AMANA TAKAFUL LIFE PLC,ATLL.N0000,11416,26,47.8,48,49.5,47,47,-0.8,-1.67
AMANA TAKAFUL PLC,ATL.N0000,32467,24,23.1,23.1,23.1,22.6,22.7,-0.4,-1.73
AMBEON CAPITAL PLC,TAP.N0000,5774355,1110,39.2,39.7,42,39,41.3,2.1,5.36
AMBEON HOLDINGS PLC,GREG.N0000,293881,268,149.5,150,164,150,156.5,7,4.68
ARPICO INSURANCE PLC,AINS.N0000,3089,10,36.8,39.5,39.5,36.5,39.3,2.5,6.79
ASIA ASSET FINANCE PLC,AAF.N0000,358900,198,61.7,62.5,62.5,60.8,61.1,-0.6,-0.97
ASIA CAPITAL PLC,ACAP.N0000,3448471,113,4.8,4.9,5,4.7,4.7,-0.1,-2.08
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1124860,209,8.9,9,9.4,9,9,0.1,1.12
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,46467,35,66,66.7,66.7,64.6,65.5,-0.5,-0.76
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,16388,59,34,34,34.5,33.6,33.8,-0.2,-0.59
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,31059,30,13.2,13.4,13.4,13.2,13.3,0.1,0.76
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,1747799,2017,71.6,74,89.1,74,84.5,12.9,18.02
B P P L HOLDINGS PLC,BPPL.N0000,64681,27,20.1,20.4,20.5,20,20.1,0,0
BAIRAHA FARMS PLC,BFL.N0000,88094,103,390.5,391,398,390,394,3.5,0.9
