Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2335,91,1243.75,1231,1299,1200,1215.25,-28.5,-2.29
ABANS FINANCE PLC,AFSL.N0000,7001,23,78,78.9,78.9,75.1,76.5,-1.5,-1.92
ACCESS ENGINEERING PLC,AEL.N0000,1775614,345,70.6,70.8,70.8,69.6,69.9,-0.7,-0.99
ACL CABLES PLC,ACL.N0000,493452,132,220.75,220.75,222,218.25,219,-1.75,-0.79
ACL PLASTICS PLC,APLA.N0000,2186,54,1649.75,1645.5,1645.5,1549,1562.5,-87.25,-5.29
ACME PRINTING & PACKAGING PLC,ACME.N0000,64914,23,6.2,6.1,6.2,6.1,6.1,-0.1,-1.61
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,5315,40,57.5,57,58.5,56.7,56.8,-0.7,-1.22
Agarapatana Plantations PLC,AGPL.N0000,1546,13,20,20.3,20.3,19.9,20.2,0.2,1
AGSTAR PLC,AGST.N0000,243293,79,9.2,9.4,9.4,9,9,-0.2,-2.17
AGSTAR PLC,AGST.X0000,102,2,12.1,12.2,12.2,12.2,12.2,0.1,0.83
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,100138,105,118,118,118,115,115,-3,-2.54
AITKEN SPENCE PLC,SPEN.N0000,152115,16,160,160,160,158,159,-1,-0.63
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,2102,42,396.25,399.75,399.75,390,392,-4.25,-1.07
ALPHA FIRE SERVICES PLC,AFS.N0000,37901,33,27,27.3,27.3,25.9,26.1,-0.9,-3.33
ALUMEX PLC,ALUM.N0000,109432,81,18.9,19.3,19.3,19,19.1,0.2,1.06
AMANA BANK PLC,ABL.N0000,204635,97,30.6,30.6,31,30.2,30.3,-0.3,-0.98
AMANA TAKAFUL LIFE PLC,ATLL.N0000,3764,16,40.1,40,42.2,39.9,40,-0.1,-0.25
AMANA TAKAFUL PLC,ATL.N0000,18732,30,28,28.4,28.4,27.3,27.6,-0.4,-1.43
AMBEON CAPITAL PLC,TAP.N0000,213898,110,44.1,44.1,44.5,43,43.9,-0.2,-0.45
AMBEON HOLDINGS PLC,GREG.N0000,10494,19,156,158,158,153.25,156,0,0
ARPICO INSURANCE PLC,AINS.N0000,2531,20,36.6,39,39,34.2,37.1,0.5,1.37
ASIA ASSET FINANCE PLC,AAF.N0000,46737,65,53.9,55.4,55.4,53.7,53.7,-0.2,-0.37
ASIA CAPITAL PLC,ACAP.N0000,41861,47,6.2,6.2,6.4,6.1,6.3,0.1,1.61
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,396248,70,10.1,10.1,10.5,10,10,-0.1,-0.99
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,60609,15,59.9,58,60,58,58.1,-1.8,-3.01
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,8012,26,31.4,31.9,31.9,31.2,31.4,0,0
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,3167,17,13.5,13.8,13.8,13.6,13.7,0.2,1.48
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,34918,79,76.3,76.8,76.8,74,74.2,-2.1,-2.75
B P P L HOLDINGS PLC,BPPL.N0000,80421,84,20.3,20.2,20.6,19.9,20.3,0,0
BAIRAHA FARMS PLC,BFL.N0000,13741,100,441.75,440,441.5,433,433.25,-8.5,-1.92
BALANGODA PLANTATIONS PLC,BALA.N0000,16182,32,81.9,81.9,82,79.7,80,-1.9,-2.32
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,1311,5,23.1,23.8,23.8,22.1,22.4,-0.7,-3.03
BERUWALA RESORTS PLC,BERU.N0000,111373,25,4,4,4,3.9,3.9,-0.1,-2.5
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,17578,85,129.5,130,132.25,128.5,130.25,0.75,0.58
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,143,6,78,77.6,77.6,75.3,77,-1,-1.28
BROWN & COMPANY PLC,BRWN.N0000,17492,65,172.25,172,175,168.75,170,-2.25,-1.31
