Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,174,30,1222.75,1235,1235,1211.25,1212.25,-10.5,-0.86
ABANS FINANCE PLC,AFSL.N0000,8,3,72.8,72,72,72,72.8,0,0
ACCESS ENGINEERING PLC,AEL.N0000,290410,264,74.5,74.2,75.5,74.1,74.4,-0.1,-0.13
ACL CABLES PLC,ACL.N0000,125833,181,254,254,254,251.5,251.75,-2.25,-0.89
ACL PLASTICS PLC,APLA.N0000,517,49,1711.25,1700,1700,1650,1677,-34.25,-2
ACME PRINTING & PACKAGING PLC,ACME.N0000,13993,12,6.5,6.4,6.5,6.4,6.5,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,15471,32,52.6,53,54.5,52,53.8,1.2,2.28
Agarapatana Plantations PLC,AGPL.N0000,31741,36,18.3,18.5,18.5,18.1,18.1,-0.2,-1.09
AGSTAR PLC,AGST.N0000,154646,36,9,8.9,9.3,8.9,9,0,0
AGSTAR PLC,AGST.X0000,1,1,11.5,12.3,12.3,12.3,11.5,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,104095,64,107,108,108,103.5,107,0,0
AITKEN SPENCE PLC,SPEN.N0000,2033,7,146.25,149.25,149.25,146.5,146.5,0.25,0.17
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,9964,54,360,351.25,365,350,351.75,-8.25,-2.29
ALPHA FIRE SERVICES PLC,AFS.N0000,666,7,25.2,26.7,26.7,25.4,25.5,0.3,1.19
ALUMEX PLC,ALUM.N0000,1134852,108,20.5,20.6,20.8,20.5,20.7,0.2,0.98
AMANA BANK PLC,ABL.N0000,31025,34,29.6,29.7,29.7,29.1,29.2,-0.4,-1.35
AMANA TAKAFUL LIFE PLC,ATLL.N0000,36870,21,37.5,39.9,39.9,36.7,37.1,-0.4,-1.07
AMANA TAKAFUL PLC,ATL.N0000,3310,26,25,25.4,25.4,24.5,24.8,-0.2,-0.8
AMBEON CAPITAL PLC,TAP.N0000,128237,61,38.4,39.4,40.5,38,40.1,1.7,4.43
AMBEON HOLDINGS PLC,GREG.N0000,6514,29,150.25,149.25,155,148.25,151,0.75,0.5
ARPICO INSURANCE PLC,AINS.N0000,3004,9,34.4,34.1,36.9,34,34.1,-0.3,-0.87
ASIA ASSET FINANCE PLC,AAF.N0000,50550,61,50.2,51.3,51.4,50,50.1,-0.1,-0.2
ASIA CAPITAL PLC,ACAP.N0000,22869,22,6,6,6.2,5.9,6,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,126430,43,9.5,9.9,9.9,9.4,9.4,-0.1,-1.05
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,394,8,54.5,54.2,56.7,54.2,56.6,2.1,3.85
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,38822,54,30.2,30,31,29.9,30,-0.2,-0.66
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,864,17,13.7,13.8,13.8,13.5,13.5,-0.2,-1.46
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,5818,14,69.5,69.7,70,68.5,69.6,0.1,0.14
B P P L HOLDINGS PLC,BPPL.N0000,1766,13,20.2,20.6,20.6,20.2,20.2,0,0
BAIRAHA FARMS PLC,BFL.N0000,18463,163,415.5,418,418,405,411.5,-4,-0.96
BALANGODA PLANTATIONS PLC,BALA.N0000,10198,30,70,72.9,72.9,69.5,72,2,2.86
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,158,5,22.7,22.7,22.7,22.2,22.5,-0.2,-0.88
BERUWALA RESORTS PLC,BERU.N0000,118638,46,3.8,3.8,3.8,3.7,3.7,-0.1,-2.63
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,30656,125,137.5,136.25,140.75,133.25,134,-3.5,-2.55
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,732,14,76.9,75.2,75.8,75.2,75.7,-1.2,-1.56
BROWN & COMPANY PLC,BRWN.N0000,76081,171,163,164.5,174.25,163.5,171.5,8.5,5.21
BROWNS BEACH HOTELS PLC,BBH.N0000,6,2,22.9,23,24,23,22.9,0,0
BROWNS INVESTMENTS PLC,BIL.N0000,3739228,286,6.6,6.6,6.9,6.6,6.8,0.2,3.03
BUKIT DARAH PLC,BUKI.N0000,590,32,1034,1016,1020,1005,1012,-22,-2.13
C I C HOLDINGS PLC,CIC.N0000,1480412,230,33.1,33.4,33.4,32.8,32.9,-0.2,-0.6
C I C HOLDINGS PLC,CIC.X0000,1523967,386,25.6,25.9,26,24.9,25,-0.6,-2.34
C M HOLDINGS PLC,COLO.N0000,8373,37,56.7,55.8,57.1,55.8,56.3,-0.4,-0.71
C T HOLDINGS PLC,CTHR.N0000,9,5,674.75,674,674,674,674.75,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,1030,8,37.7,38.2,38.2,35.2,35.8,-1.9,-5.04
C. W. MACKIE PLC,CWM.N0000,3413,39,148.5,148.25,149,148.25,148.5,0,0
CABLE SOLUTIONS PLC,CSLK.N0000,1624555,87,14.8,15,15,14.6,14.8,0,0
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,3071,13,15.7,16.8,16.8,15.6,15.6,-0.1,-0.64
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,8061790,449,17.2,17.5,17.9,17.1,17.3,0.1,0.58
CAPITAL ALLIANCE PLC,CALT.N0000,1406463,1802,65.1,66,66.9,64.4,64.7,-0.4,-0.61
CARGILLS (CEYLON) PLC,CARG.N0000,20472,31,780,780,780.25,776,776,-4,-0.51
CARGILLS BANK PLC,CBNK.N0000,157798,86,9.8,9.8,9.9,9.7,9.8,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,391,12,157.25,164.75,166,157.75,158,0.75,0.48
CARSON CUMBERBATCH PLC,CARS.N0000,182,13,752.5,780,780,770,774.75,22.25,2.96
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,31872,171,269.75,279.5,279.5,265,269.75,0,0
CENTRAL INDUSTRIES PLC,CIND.N0000,106424,133,248.75,247.5,254.5,245,252.25,3.5,1.41
CEYLINCO HOLDINGS PLC,CINS.X0000,41,9,1708.75,1788,1788,1701.25,1708.75,0,0
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,66,11,2644.5,2550,2550,2515.75,2644.5,0,0
CEYLON COLD STORES PLC,CCS.N0000,148682,134,108.25,108.5,108.5,107.25,108,-0.25,-0.23
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,11693,50,400.25,404,404.25,390,391.5,-8.75,-2.19
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,620,8,260.25,275,275,260.75,263.5,3.25,1.25
CEYLON HOSPITALS PLC,CHL.X0000,40,3,199.75,191,197,191,199.75,0,0
CEYLON HOSPITALS PLC,CHL.N0000,1426,16,264,268.5,270,255,267.5,3.5,1.33
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,15501,32,37.7,37.8,38.8,37.5,37.7,0,0
CEYLON INVESTMENT PLC,CINV.N0000,17752,87,125,126,126.5,122.5,123,-2,-1.6
CEYLON LAND & EQUITY PLC,KZOO.N0000,3772,8,10.8,11,11.4,11,11.2,0.4,3.7
CEYLON TEA BROKERS PLC,CTBL.N0000,14843,19,8.6,8.8,8.8,8.5,8.7,0.1,1.16
CEYLON TOBACCO COMPANY PLC,CTC.N0000,408,24,1695.5,1698,1699,1695,1697,1.5,0.09
CHEMANEX PLC,CHMX.N0000,54,5,167,172.5,172.5,166.5,167,0,0
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,55575,49,179.5,179.25,181.25,179.25,180.5,1,0.56
CHRISSWORLD PLC,CWL.N0000,1759,6,13.9,14,14,13.3,13.3,-0.6,-4.32
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,114,6,384.75,380,380,380,380,-4.75,-1.23
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,2443,15,290.75,294,294,287,290,-0.75,-0.26
CITRUS LEISURE PLC,REEF.N0000,24315,17,4.1,4.3,4.3,4.2,4.2,0.1,2.44
Co-operative Insurance Company PLC,COOP.N0000,388503,130,4.1,4.1,4.2,4,4.1,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,277,11,145.75,150,150,135,149.25,3.5,2.4
COLOMBO DOCKYARD PLC,DOCK.N0000,542452,803,202.25,206.75,208,197,201.75,-0.5,-0.25
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,488,25,434.5,449,449,432,432,-2.5,-0.58
