Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,3425,55,852.75,851,875,850,861.75,9,1.06
ABANS FINANCE PLC,AFSL.N0000,240,7,70,68,70,68,68.3,-1.7,-2.43
ACCESS ENGINEERING PLC,AEL.N0000,1420969,247,57.2,57,59.9,57,59.2,2,3.5
ACL CABLES PLC,ACL.N0000,138632,148,183.75,181,189.75,180,187.25,3.5,1.9
ACL PLASTICS PLC,APLA.N0000,7642,101,1100.25,1100.25,1175,1075,1150,49.75,4.52
ACME PRINTING & PACKAGING PLC,ACME.N0000,52229,21,6.4,6.5,6.7,6.4,6.4,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,12259,29,59.5,59.1,60.5,59.1,60.1,0.6,1.01
Agarapatana Plantations PLC,AGPL.N0000,505957,88,22.1,22.3,23,21.9,22.6,0.5,2.26
AGSTAR PLC,AGST.N0000,1284139,198,9.1,9.2,9.4,9,9.1,0,0
AGSTAR PLC,AGST.X0000,15020,9,11.1,11,11.2,10.5,10.5,-0.6,-5.41
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,924661,367,104.75,103.25,110,103.25,109,4.25,4.06
AITKEN SPENCE PLC,SPEN.N0000,1239208,155,150,149.25,157.25,149.25,155.75,5.75,3.83
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,6173,43,361.75,362.5,376.75,362,362.5,0.75,0.21
ALPHA FIRE SERVICES PLC,AFS.N0000,19631,27,26,26,26.9,26,26.5,0.5,1.92
ALUMEX PLC,ALUM.N0000,2351086,278,18.1,18.1,18.9,18,18.7,0.6,3.31
AMANA BANK PLC,ABL.N0000,104441,66,25.9,25.7,26.1,25.7,26,0.1,0.39
AMANA TAKAFUL LIFE PLC,ATLL.N0000,220,3,50.6,51.6,51.6,51,51,0.4,0.79
AMANA TAKAFUL PLC,ATL.N0000,1712,10,21.7,21.7,22.2,21,21.8,0.1,0.46
AMBEON CAPITAL PLC,TAP.N0000,1184625,180,29.7,29.6,31.9,29.6,31.1,1.4,4.71
AMBEON HOLDINGS PLC,GREG.N0000,39667,59,115.5,115,118,110,117.25,1.75,1.52
ARPICO INSURANCE PLC,AINS.N0000,1164,12,39,39.8,39.8,38.3,39.1,0.1,0.26
ASIA ASSET FINANCE PLC,AAF.N0000,319407,122,47.9,48,48.5,46.5,47,-0.9,-1.88
ASIA CAPITAL PLC,ACAP.N0000,113871,30,4.8,4.6,4.8,4.3,4.7,-0.1,-2.08
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1281443,151,8.2,8.4,8.9,8.2,8.6,0.4,4.88
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,81235,48,65,65,68,65,66.2,1.2,1.85
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,13384,38,35,37,37,35.5,35.7,0.7,2
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,14605,43,13.5,14,14.3,13.5,14,0.5,3.7
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,296093,241,96.7,97.1,103,97.1,100,3.3,3.41
B P P L HOLDINGS PLC,BPPL.N0000,213772,24,20.2,20.4,21,19.6,20,-0.2,-0.99
BAIRAHA FARMS PLC,BFL.N0000,137185,305,242.25,243,258.5,243,257.75,15.5,6.4
BALANGODA PLANTATIONS PLC,BALA.N0000,5432,25,95.4,97.4,99,95.3,96.9,1.5,1.57
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,9510,12,21.7,22.8,22.8,22.5,22.5,0.8,3.69
BERUWALA RESORTS PLC,BERU.N0000,429390,70,3.9,3.9,4.1,3.9,4,0.1,2.56
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,52808,72,79.1,79.1,80.5,78.7,79.2,0.1,0.13
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,10003,4,84.1,84.2,86,84.2,86,1.9,2.26
BROWN & COMPANY PLC,BRWN.N0000,27291,78,182.25,182,189.75,182,183.75,1.5,0.82
BROWNS BEACH HOTELS PLC,BBH.N0000,633221,181,24.5,24.8,27,24.8,26.6,2.1,8.57
BROWNS INVESTMENTS PLC,BIL.N0000,8552744,406,7.6,7.7,7.7,7.5,7.6,0,0
BUKIT DARAH PLC,BUKI.N0000,105,7,946.5,945,995,945,979.75,33.25,3.51
C I C HOLDINGS PLC,CIC.N0000,96974,82,136.75,136.5,140.25,136.5,137.75,1,0.73
C I C HOLDINGS PLC,CIC.X0000,182976,89,107.25,106.75,109.75,106.75,107.75,0.5,0.47
C M HOLDINGS PLC,COLO.N0000,6283,18,398.75,399.75,401,390,399,0.25,0.06
C T HOLDINGS PLC,CTHR.N0000,17,5,688.5,699.25,699.25,699,688.5,0,0
C T LAND DEVELOPMENT PLC,CTLD.N0000,9068,43,36.7,37,39.7,34.7,35.7,-1,-2.72
C. W. MACKIE PLC,CWM.N0000,4688,45,122,122.25,124,120,120.75,-1.25,-1.02
CABLE SOLUTIONS PLC,CSLK.N0000,285677,126,14.4,14.5,14.9,14.4,14.7,0.3,2.08
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,155,3,16,15.8,15.8,15.8,15.8,-0.2,-1.25
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,1547510,206,17,17,17.8,17,17.5,0.5,2.94
CAPITAL ALLIANCE PLC,CALT.N0000,137344,148,52.1,53,54,52.5,52.9,0.8,1.54
CARGILLS (CEYLON) PLC,CARG.N0000,818,36,789.5,789.5,800,781,793.5,4,0.51
CARGILLS BANK PLC,CBNK.N0000,400887,121,9.1,9.3,9.3,9.1,9.2,0.1,1.1
