Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2125,109,1212,1230,1248.75,1218,1224.5,12.5,1.03
ABANS FINANCE PLC,AFSL.N0000,439,10,80,80,84,80,80,0,0
ACCESS ENGINEERING PLC,AEL.N0000,1195491,486,68,68,70,68,69.3,1.3,1.91
ACL CABLES PLC,ACL.N0000,33258,87,221.25,221.25,221.75,219,219.5,-1.75,-0.79
ACL PLASTICS PLC,APLA.N0000,1883,89,1645.75,1611,1650,1611,1614.25,-31.5,-1.91
ACME PRINTING & PACKAGING PLC,ACME.N0000,2565,18,6.4,6.3,6.5,6.2,6.4,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,19600,71,56,55.5,57.9,55.5,57.4,1.4,2.5
Agarapatana Plantations PLC,AGPL.N0000,24760,41,19.7,19.7,20.3,19.7,20,0.3,1.52
AGSTAR PLC,AGST.N0000,360297,58,9,9,9.4,9,9.3,0.3,3.33
AGSTAR PLC,AGST.X0000,10,1,12.1,12,12,12,12.1,0,0
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,24316,63,112.25,114.5,116.75,112.5,116,3.75,3.34
AITKEN SPENCE PLC,SPEN.N0000,4450,30,157,157.5,162,157.5,160,3,1.91
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1118,21,394,395,400,395,399.75,5.75,1.46
ALPHA FIRE SERVICES PLC,AFS.N0000,34630,26,26.7,28.5,28.5,26.5,26.6,-0.1,-0.37
ALUMEX PLC,ALUM.N0000,766251,215,18.9,18.7,19,18.6,18.8,-0.1,-0.53
AMANA BANK PLC,ABL.N0000,237776,113,30.5,31,31.3,30.5,30.9,0.4,1.31
AMANA TAKAFUL LIFE PLC,ATLL.N0000,23248,49,41.6,44,44,40,40,-1.6,-3.85
AMANA TAKAFUL PLC,ATL.N0000,1469617,89,27.3,27.3,28.7,27,28,0.7,2.56
AMBEON CAPITAL PLC,TAP.N0000,228332,101,44,44,45.7,44,44.3,0.3,0.68
AMBEON HOLDINGS PLC,GREG.N0000,25000,79,159,155,159,148,157,-2,-1.26
ARPICO INSURANCE PLC,AINS.N0000,169,12,39,35.2,39.3,35.2,36.6,-2.4,-6.15
ASIA ASSET FINANCE PLC,AAF.N0000,116250,121,54.5,54.5,56.7,53,53.9,-0.6,-1.1
ASIA CAPITAL PLC,ACAP.N0000,74878,74,6,6,6.4,6,6.1,0.1,1.67
