Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
HEMAS HOLDINGS PLC,HHL.N0000,3212326,432,30.8,30.8,31.5,30.8,31.1,0.3,0.97
HIKKADUWA BEACH RESORT PLC,CITH.N0000,589113,69,3.5,3.5,3.5,3.4,3.4,-0.1,-2.86
HNB ASSURANCE PLC,HASU.N0000,123068,153,109.5,110,113,107,108.75,-0.75,-0.68
HNB FINANCE PLC,HNBF.N0000,3497413,180,7.4,7.4,7.5,7.3,7.4,0,0
HNB FINANCE PLC,HNBF.X0000,5743,10,7.6,7.5,7.7,7.5,7.6,0,0
HORANA PLANTATIONS PLC,HOPL.N0000,103252,76,65.9,67,67.4,65,65.5,-0.4,-0.61
HOTEL SIGIRIYA PLC,HSIG.N0000,89376,101,81.7,83,84.9,81.2,83.5,1.8,2.2
HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,HDFC.N0000,37731,84,45.3,45.8,46.5,45.1,45.7,0.4,0.88
hSenid Business Solutions PLC,HBS.N0000,441100,88,12.4,12.3,12.6,12.3,12.4,0,0
HUNAS HOLDINGS PLC,HUNA.N0000,100665,98,20.8,20.9,21.8,20.8,21.6,0.8,3.85
HUNTER & COMPANY PLC,HUNT.N0000,12,4,760.75,741,741,741,760.75,0,0
HVA FOODS PLC,HVA.N0000,372810,68,3.3,3.3,3.4,3.2,3.3,0,0
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,45396452,413,0.4,0.4,0.5,0.4,0.4,0,0
JANASHAKTHI FINANCE PLC,BFN.N0000,42314,44,42.2,44.3,44.3,42,43.1,0.9,2.13
JANASHAKTHI INSURANCE PLC,JINS.N0000,99625,139,75.1,75.1,75.5,74.5,75.4,0.3,0.4
JAT HOLDINGS PLC,JAT.N0000,539234,280,37.5,37.5,38,36.9,37,-0.5,-1.33
JETWING SYMPHONY PLC,JETS.N0000,5555670,575,15.2,15.2,16.8,15.1,16,0.8,5.26
JOHN KEELLS HOLDINGS PLC,JKH.N0000,15016859,1157,23.9,23.8,24.7,23.8,24.6,0.7,2.93
JOHN KEELLS HOTELS PLC,KHL.N0000,1851226,259,21.3,21.2,21.6,21,21.4,0.1,0.47
JOHN KEELLS PLC,JKL.N0000,367,10,86.7,87,87,86.5,86.8,0.1,0.12
KAHAWATTE PLANTATIONS PLC,KAHA.N0000,30314,55,23.3,23.3,23.4,22.4,22.7,-0.6,-2.58
KAPRUKA HOLDINGS PLC,KPHL.N0000,18550,22,7.8,7.7,7.9,7.6,7.8,0,0
KEELLS FOOD PRODUCTS PLC,KFP.N0000,547,9,176.75,172,179.75,172,174,-2.75,-1.56
KEGALLE PLANTATIONS PLC,KGAL.N0000,33115,69,135.25,139,150,139,144.25,9,6.65
KELANI CABLES PLC,KCAB.N0000,8424,53,750.25,760,765,747.75,755,4.75,0.63
KELANI TYRES PLC,TYRE.N0000,130124,243,103.25,103.5,103.75,100,100.5,-2.75,-2.66
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,501322,162,102,103.75,103.75,98.4,101.75,-0.25,-0.25
KOTAGALA PLANTATIONS PLC,KOTA.N0000,315676,127,9.1,9.3,9.3,9.1,9.1,0,0
KOTMALE HOLDINGS PLC,LAMB.N0000,28,3,585,605.75,605.75,599.75,585,0,0
L O L C HOLDINGS PLC,LOLC.N0000,58472,247,555.25,559,579.5,558,559,3.75,0.68
L V L ENERGY FUND PLC,LVEF.N0000,1612663,264,8.2,8.3,8.4,8.1,8.2,0,0
LAKE HOUSE PRINTERS & PUBLISHERS PLC,LPRT.N0000,3,2,289.75,291,291,291,289.75,0,0
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,532374,169,50.8,51.2,51.6,49.4,49.7,-1.1,-2.17
LANKA ASHOK LEYLAND PLC,ASHO.N0000,2252,92,2987,2989,2990.25,2850,2888.5,-98.5,-3.3
LANKA CERAMIC PLC,CERA.N0000,630,11,173,170,178.25,170,170.75,-2.25,-1.3
LANKA CREDIT AND BUSINESS FINANCE PLC,LCBF.N0000,4399776,138,4.5,4.5,4.7,4.5,4.6,0.1,2.22
LANKA IOC PLC,LIOC.N0000,63226,121,137,136,139.5,136,136.75,-0.25,-0.18
LANKA MILK FOODS (CWE) PLC,LMF.N0000,220225,247,57.8,58,58.2,56,56.6,-1.2,-2.08
LANKA REALTY INVESTMENTS PLC,ASCO.N0000,1039841,390,25.3,25.3,26,24.7,24.8,-0.5,-1.98
LANKA TILES PLC,TILE.N0000,29094,91,55.4,54.5,56,54.5,54.9,-0.5,-0.9
LANKA VENTURES PLC,LVEN.N0000,45195,51,66.2,67,68,66.5,66.6,0.4,0.6
LANKA WALLTILE PLC,LWL.N0000,135265,117,53.1,54.2,54.5,52.5,52.8,-0.3,-0.56
LANKEM CEYLON PLC,LCEY.N0000,5619,11,81.9,81.6,82,81.6,81.8,-0.1,-0.12
LANKEM DEVELOPMENTS PLC,LDEV.N0000,19375,39,24.6,24.9,25,24.1,24.8,0.2,0.81
LAUGFS GAS PLC,LGL.N0000,94699,39,33.4,34.5,35.8,33.9,34.5,1.1,3.29
LAUGFS GAS PLC,LGL.X0000,27455,20,22.9,22.9,23,22.1,22.9,0,0
LAUGFS POWER PLC,LPL.X0000,11610,11,9,8.8,9.1,8.7,9,0,0
LAUGFS POWER PLC,LPL.N0000,2133,15,11.9,11.4,12,11.4,11.6,-0.3,-2.52
LAXAPANA PLC,LITE.N0000,616,5,33.1,33.2,33.3,33,33.3,0.2,0.6
LB FINANCE PLC,LFIN.N0000,215216,208,138.5,138,139.5,136,138,-0.5,-0.36
LEE HEDGES PLC,SHAW.N0000,16620,41,166,173,180,173,180,14,8.43
LION BREWERY (CEYLON) PLC,LION.N0000,550,13,1400.25,1429.5,1445,1395,1400.75,0.5,0.04
LOLC FINANCE PLC,LOFC.N0000,3875979,265,6,6.1,6.1,5.9,6.1,0.1,1.67
LOLC GENERAL INSURANCE PLC,LGIL.N0000,149753,59,9.1,9,9.3,8.8,9,-0.1,-1.1
LOTUS HYDRO POWER PLC,HPFL.N0000,32750,23,13.5,13.8,13.8,13.4,13.4,-0.1,-0.74
LUMINEX PLC,LUMX.N0000,70235,37,6.9,6.9,6.9,6.5,6.8,-0.1,-1.45
MADULSIMA PLANTATIONS PLC,MADU.N0000,52993,41,12.6,12.5,12.7,12.5,12.5,-0.1,-0.79
MAHARAJA FOODS PLC,MFPE.N0000,9042,20,9.5,9.5,9.6,9.4,9.4,-0.1,-1.05
MAHAWELI COCONUT PLANTATIONS PLC,MCPL.N0000,24128,45,40.7,41,41,39.7,39.9,-0.8,-1.97
MAHAWELI REACH HOTELS PLC,MRH.N0000,33111,21,20,20,21,20,20.8,0.8,4
MALWATTE VALLEY PLANTATION PLC,MAL.N0000,570,3,59.7,62,62,61.3,61.9,2.2,3.69
MARAWILA RESORTS PLC,MARA.N0000,722149,96,7,7.1,7.3,7,7.2,0.2,2.86
MASKELIYA PLANTATIONS PLC,MASK.N0000,42955,40,94.6,92.1,95,92.1,93,-1.6,-1.69
MELSTACORP PLC,MELS.N0000,92536,87,158.5,159,160,158,159.5,1,0.63
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,1151,13,281,290,295,290,294.75,13.75,4.89
MERCHANT BANK OF SRI LANKA & FINANCE PLC,MBSL.N0000,349239,38,7.5,7.6,7.6,7.4,7.4,-0.1,-1.33
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,216815,104,7.1,7.1,7.3,6.9,7,-0.1,-1.41
MULLER & PHIPPS (CEYLON) PLC,MULL.N0000,330270,42,1.7,1.6,1.8,1.6,1.7,0,0
MYLAND DEVELOPMENTS PLC,MDL.N0000,151,3,10.1,10.2,10.2,10.2,10.2,0.1,0.99
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,95,8,441,443,443,438,441,0,0
NATIONAL DEVELOPMENT BANK PLC,NDB.N0000,1089354,783,137,138,143.5,137.25,143.25,6.25,4.56
NATIONS TRUST BANK PLC,NTB.X0000,1244,25,283.5,281,285,278,284.25,0.75,0.26
NATIONS TRUST BANK PLC,NTB.N0000,403593,205,235,237,247,235,246,11,4.68
NAWALOKA HOSPITALS PLC,NHL.N0000,226402,57,6.5,6.4,6.6,6.4,6.4,-0.1,-1.54
ODEL PLC,ODEL.N0000,1340,9,11.8,12.2,12.2,11.8,11.8,0,0
OFFICE EQUIPMENT PLC,OFEQ.N0000,69,6,186.75,186.5,186.5,178.75,186.75,0,0
ON'ALLY HOLDINGS PLC,ONAL.N0000,3253,20,38,38.5,39.5,37.7,37.8,-0.2,-0.53
OVERSEAS REALTY (CEYLON) PLC,OSEA.N0000,1157647,445,35.5,35.6,36.5,35.6,36,0.5,1.41
PALM GARDEN HOTELS PLC,PALM.N0000,1767,8,74.3,74,77,73.3,76,1.7,2.29
PAN ASIA BANKING CORPORATION PLC,PABC.N0000,8196869,1444,54,55,57,55,56.9,2.9,5.37
PANASIAN POWER PLC,PAP.N0000,1664355,248,17.5,17.7,17.8,16.9,17.6,0.1,0.57
PARAGON CEYLON PLC,PARA.N0000,348,5,90,90.1,90.1,87.4,89.4,-0.6,-0.67
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,42413,57,36.8,37,37.7,37,37.4,0.6,1.63
PEOPLE'S INSURANCE PLC,PINS.N0000,440540,122,38.6,38.8,39,38.1,38.6,0,0
PEOPLE'S LEASING & FINANCE PLC,PLC.N0000,963700,174,24.5,24.3,24.6,24.2,24.4,-0.1,-0.41
PGP GLASS CEYLON PLC,GLAS.N0000,33730,81,53.9,54.5,54.5,53.3,53.5,-0.4,-0.74
PMF FINANCE PLC,PMB.N0000,152706,43,13.1,13.2,13.2,12.7,12.8,-0.3,-2.29
PRIME LANDS RESIDENCIES PLC,PLR.N0000,8044650,541,18.1,18.5,18.8,18.4,18.6,0.5,2.76
PRINTCARE PLC,CARE.N0000,41853,55,60.1,61.4,61.5,58.3,58.3,-1.8,-3
R I L PROPERTY PLC,RIL.N0000,933101,213,29.9,30.5,30.7,29.8,29.9,0,0
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,25229,167,65,66.9,79,66.9,75,10,15.38
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,377919,99,13.4,13.5,13.7,13.1,13.2,-0.2,-1.49
RAMBODA FALLS PLC,RFL.N0000,23317,60,35.3,35.3,37.5,35,35,-0.3,-0.85
RENUKA AGRI FOODS PLC,RAL.N0000,3121286,206,3.9,3.9,4,3.7,3.9,0,0
RENUKA CITY HOTELS PLC.,RENU.N0000,5530,31,763.25,765,789,765,776.25,13,1.7
RENUKA FOODS PLC,COCO.N0000,24191,19,14.6,15,15,14.2,14.6,0,0
RENUKA FOODS PLC,COCO.X0000,8971,1,12.5,12.5,12.5,12.5,12.5,0,0
RENUKA HOLDINGS PLC,RHL.X0000,113024,37,17.5,17.4,18.1,16.5,17.8,0.3,1.71
RENUKA HOLDINGS PLC,RHL.N0000,4203812,132,19.9,19.8,22.4,19.8,20.9,1,5.03
RENUKA HOTELS PLC,RCH.N0000,671,17,222,208.5,235,208.5,217.25,-4.75,-2.14
RESUS ENERGY PLC,HPWR.N0000,30555,37,31.9,31.9,31.9,31.4,31.5,-0.4,-1.25
RICHARD PIERIS AND COMPANY PLC,RICH.N0000,211377,95,26,25.5,27.3,25.5,26.7,0.7,2.69
RICHARD PIERIS EXPORTS PLC,REXP.N0000,9547,152,379.75,385,425,379.75,396,16.25,4.28
ROYAL CERAMICS LANKA PLC,RCL.N0000,366530,212,42.9,43.5,43.8,42.5,42.8,-0.1,-0.23
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,33673,38,82,79,86.1,79,82.3,0.3,0.37
SAMPATH BANK PLC,SAMP.N0000,1035068,822,141.25,141.75,143.75,141.5,143.5,2.25,1.59
SAMSON INTERNATIONAL PLC,SIL.N0000,728,11,158.25,158.5,158.5,153,155,-3.25,-2.05
SANASA DEVELOPMENT BANK PLC,SDB.N0000,156206,83,40,41.8,41.8,39.9,40,0,0
SARVODAYA DEVELOPMENT FINANCE PLC,SDF.N0000,173626,69,33.5,33.5,33.5,32.3,32.5,-1,-2.99
SATHOSA MOTORS PLC,SMOT.N0000,222,30,1027.5,1028,1030,1000,1007.5,-20,-1.95
SENKADAGALA FINANCE COMPANY PLC,SFCL.N0000,2,1,549,549,549,549,549,0,0
SERENDIB HOTELS PLC,SHOT.X0000,243542,34,12.6,12.6,13.1,12.5,13,0.4,3.17
SERENDIB HOTELS PLC,SHOT.N0000,201927,77,21.5,21.9,21.9,21.3,21.4,-0.1,-0.47
SEYLAN BANK PLC,SEYB.N0000,162702,182,96,97,99.5,97,99,3,3.13
SEYLAN BANK PLC,SEYB.X0000,621632,290,69,70,70.4,69,69.7,0.7,1.01
SEYLAN DEVELOPMENTS PLC,CSD.N0000,231896,109,32.5,32.2,33.5,32,32.3,-0.2,-0.62
SIERRA CABLES PLC,SIRA.N0000,2145689,235,17,17,17,16.3,16.5,-0.5,-2.94
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,3985,37,129.75,125,129.75,123.5,128,-1.75,-1.35
SINGER (SRI LANKA) PLC,SINS.N0000,324263,141,61.4,61.5,62,60.5,62,0.6,0.98
SINGER FINANCE LANKA PLC,SFIN.N0000,706682,162,49.8,50.4,50.5,49.3,50,0.2,0.4
SINGHE HOSPITALS PLC,SINH.N0000,46709,36,7.2,7.1,7.5,7.1,7.2,0,0
SMB FINANCE PLC,SEMB.N0000,2655308,85,0.7,0.8,0.8,0.6,0.7,0,0
SMB FINANCE PLC,SEMB.X0000,170195239,394,0.2,0.3,0.3,0.2,0.3,0.1,50
SOFTLOGIC CAPITAL PLC,SCAP.N0000,7043425,371,6.2,6.3,6.4,6.1,6.4,0.2,3.23
SOFTLOGIC FINANCE PLC,CRL.N0000,895844,160,5.6,5.8,5.8,5.5,5.6,0,0
SOFTLOGIC HOLDINGS PLC,SHL.N0000,96714,51,7.7,7.9,7.9,7.6,7.8,0.1,1.3
SOFTLOGIC LIFE INSURANCE PLC,AAIC.N0000,613812,441,85,85,86,83.2,84.6,-0.4,-0.47
SRI LANKA TELECOM PLC,SLTL.N0000,55551,91,61.8,61.7,62.8,61,62.2,0.4,0.65
SUNSHINE HOLDINGS PLC,SUN.N0000,2933990,552,28.4,28.5,29,28.2,28.3,-0.1,-0.35
SWISSTEK (CEYLON) PLC,PARQ.N0000,999423,652,101.75,101.75,107.25,101.75,105,3.25,3.19
TAL LANKA HOTELS PLC,TAJ.N0000,978069,591,37.9,38.5,46,38.5,43,5.1,13.46
TALAWAKELLE TEA ESTATES PLC,TPL.N0000,12110,44,165.25,157.75,165,157.75,160,-5.25,-3.18
TANGERINE BEACH HOTELS PLC,TANG.N0000,23419,61,129,128.75,129.75,120.75,127.75,-1.25,-0.97
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,27155,43,42.6,43.5,43.5,42,42.8,0.2,0.47
TEEJAY LANKA PLC,TJL.N0000,1780840,537,48.1,50,51.9,48.5,48.6,0.5,1.04
TESS AGRO PLC,TESS.N0000,226664,17,1.2,1.2,1.2,1.1,1.1,-0.1,-8.33
TESS AGRO PLC,TESS.X0000,26695,4,1,0.9,1,0.9,0.9,-0.1,-10
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,42738,83,87,86,92,86,91.2,4.2,4.83
THE AUTODROME PLC,AUTO.N0000,1566,21,118.75,112.75,119,112.75,114,-4.75,-4
THE COLOMBO FORT LAND AND BUILDING PLC,CFLB.N0000,3897,10,77.4,77.4,79.8,77.4,79.6,2.2,2.84
THE FORTRESS RESORTS PLC,RHTL.N0000,10225,30,31.6,31.9,31.9,30,31,-0.6,-1.9
THE KANDY HOTELS COMPANY (1938) PLC,KHC.N0000,63716,55,12.3,12.4,12.6,12.3,12.4,0.1,0.81
THE KINGSBURY PLC,SERV.N0000,1240312,237,16.2,16.4,16.6,16.1,16.5,0.3,1.85
THE LANKA HOSPITALS CORPORATION PLC,LHCL.N0000,27028,19,81.4,83,85,81.6,83,1.6,1.97
THE NUWARA ELIYA HOTELS COMPANY PLC,NEH.N0000,102,40,3062.5,3299,3498,3299,3454,391.5,12.78
THREE ACRE FARMS PLC,TAFL.N0000,7934,34,635,630,639.5,630,639,4,0.63
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,34520,85,83.9,84,85,84,84.4,0.5,0.6
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.X0000,875460,156,69.5,70,71,69.6,69.7,0.2,0.29
TRANS ASIA HOTELS PLC,TRAN.N0000,196186,52,50.2,50.1,52.5,50.1,52.1,1.9,3.78
