Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,2748,72,1156.25,1171,1171,1140,1161,4.75,0.41
ABANS FINANCE PLC,AFSL.N0000,375,1,68.5,70,70,70,70,1.5,2.19
ACCESS ENGINEERING PLC,AEL.N0000,5349861,1272,61.9,62.8,66,62.5,65.5,3.6,5.82
ACL CABLES PLC,ACL.N0000,217876,179,213.5,215,218,211.5,215.25,1.75,0.82
ACL PLASTICS PLC,APLA.N0000,1218,40,1505.25,1505.25,1540,1490,1513.25,8,0.53
ACME PRINTING & PACKAGING PLC,ACME.N0000,30263,36,6.9,6.9,6.9,6.6,6.8,-0.1,-1.45
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,20351,67,66.7,66.5,67,66.3,66.5,-0.2,-0.3
Agarapatana Plantations PLC,AGPL.N0000,1311698,87,23.7,23.9,24,23.6,23.7,0,0
AGSTAR PLC,AGST.N0000,412322,65,9.1,9.2,9.3,9,9.1,0,0
AGSTAR PLC,AGST.X0000,189160,72,13.4,13,14.8,12.1,12.4,-1,-7.46
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,66163,87,121.75,122,122.5,121,121.5,-0.25,-0.21
AITKEN SPENCE PLC,SPEN.N0000,19786,28,160,161.75,163,160.5,161.75,1.75,1.09
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,334,22,399.25,399,400,389,394,-5.25,-1.31
ALPHA FIRE SERVICES PLC,AFS.N0000,21622,14,26.5,27.5,27.8,27,27,0.5,1.89
ALUMEX PLC,ALUM.N0000,3096038,414,22.2,22.2,22.7,22.1,22.3,0.1,0.45
AMANA BANK PLC,ABL.N0000,215403,130,27.4,27.6,27.9,26.6,27.4,0,0
AMANA TAKAFUL LIFE PLC,ATLL.N0000,70,3,49.3,49.8,49.8,49.8,49.3,0,0
AMANA TAKAFUL PLC,ATL.N0000,9728,23,23.4,22.5,23.7,22.5,23.2,-0.2,-0.85
AMBEON CAPITAL PLC,TAP.N0000,4231979,782,34.9,35,36.2,34.9,35.6,0.7,2.01
AMBEON HOLDINGS PLC,GREG.N0000,85094,109,128.75,134.5,135,128,129.25,0.5,0.39
ARPICO INSURANCE PLC,AINS.N0000,1000,11,36.3,36.1,36.3,35.8,35.8,-0.5,-1.38
ASIA ASSET FINANCE PLC,AAF.N0000,204119,140,63.3,63,64.3,61.5,61.9,-1.4,-2.21
ASIA CAPITAL PLC,ACAP.N0000,28091,22,4.8,4.8,4.8,4.6,4.8,0,0
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,318716,64,9.3,9.5,9.8,9.3,9.6,0.3,3.23
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,25980,29,66.8,67,67,66.2,66.9,0.1,0.15
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,11964,35,36.7,36.1,37,36,36.8,0.1,0.27
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,17026,26,13.7,13.7,14,13.5,13.8,0.1,0.73
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,249916,374,72.6,72,72.2,69,69.8,-2.8,-3.86
B P P L HOLDINGS PLC,BPPL.N0000,83071,54,20.7,20.9,21,20.3,20.6,-0.1,-0.48
BAIRAHA FARMS PLC,BFL.N0000,22848,72,368.25,365,372.5,359,359.5,-8.75,-2.38
BALANGODA PLANTATIONS PLC,BALA.N0000,35801,52,104,104.75,105.75,103.75,104,0,0
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,12978,26,24.4,24.3,24.8,24,24.8,0.4,1.64
BERUWALA RESORTS PLC,BERU.N0000,3733571,191,4.1,4.1,4.2,3.9,4,-0.1,-2.44
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,752429,1274,84.7,88.5,98.3,88.5,92.4,7.7,9.09
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,890,15,89.9,90,90,88,89.4,-0.5,-0.56
BROWN & COMPANY PLC,BRWN.N0000,23571,63,185.25,189,189,185,187,1.75,0.94
BROWNS BEACH HOTELS PLC,BBH.N0000,50383,53,27.1,26.9,28.1,26.1,27.9,0.8,2.95
BROWNS INVESTMENTS PLC,BIL.N0000,4824147,307,7.6,7.7,7.8,7.6,7.7,0.1,1.32
BUKIT DARAH PLC,BUKI.N0000,278,20,1077,1069.5,1075,1040,1067.25,-9.75,-0.91
C I C HOLDINGS PLC,CIC.N0000,188510,146,169.75,170,171,170,171,1.25,0.74
