Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,4470,115,1193.5,1198,1198,1120.25,1159.25,-34.25,-2.87
ABANS FINANCE PLC,AFSL.N0000,6211,51,69,67.6,68.9,65,66.7,-2.3,-3.33
ACCESS ENGINEERING PLC,AEL.N0000,1474341,246,63.2,64,64,62.6,63,-0.2,-0.32
ACL CABLES PLC,ACL.N0000,230720,130,210,210.25,213,207,210.75,0.75,0.36
ACL PLASTICS PLC,APLA.N0000,9297,187,1751.25,1768,1768,1660.25,1691.75,-59.5,-3.4
ACME PRINTING & PACKAGING PLC,ACME.N0000,139425,48,6.5,6.7,6.7,6.4,6.4,-0.1,-1.54
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,88667,110,65.9,66.4,66.4,64.5,64.9,-1,-1.52
Agarapatana Plantations PLC,AGPL.N0000,66441,75,22.8,22.5,23,22.4,23,0.2,0.88
AGSTAR PLC,AGST.N0000,632019,114,9,9,9.1,8.9,8.9,-0.1,-1.11
AGSTAR PLC,AGST.X0000,813,4,12,12.1,12.4,12.1,12.1,0.1,0.83
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,255478,161,121.5,121.5,125,119.5,124.5,3,2.47
AITKEN SPENCE PLC,SPEN.N0000,286121,136,171.5,172,173.5,168,172,0.5,0.29
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,5355,69,389.75,389.75,389.75,380,380.25,-9.5,-2.44
ALPHA FIRE SERVICES PLC,AFS.N0000,29866,24,26.4,27.4,27.5,26.5,26.5,0.1,0.38
ALUMEX PLC,ALUM.N0000,1689666,258,22,22,22,21.6,22,0,0
AMANA BANK PLC,ABL.N0000,247043,137,29.3,29.1,29.2,28.5,29,-0.3,-1.02
AMANA TAKAFUL LIFE PLC,ATLL.N0000,830,13,48.6,48.2,49.7,47.7,48.1,-0.5,-1.03
