Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,4130,158,1551.5,1579.75,1579.75,1400,1485,-66.5,-4.29
ABANS FINANCE PLC,AFSL.N0000,1737,12,74.1,74,77,73,74,-0.1,-0.13
ACCESS ENGINEERING PLC,AEL.N0000,928421,367,61.6,62,62.5,60,61.3,-0.3,-0.49
ACL CABLES PLC,ACL.N0000,97075,155,221.5,221.5,222,218.5,219.5,-2,-0.9
ACL PLASTICS PLC,APLA.N0000,870,51,1660.25,1697.75,1697.75,1630,1665.5,5.25,0.32
ACME PRINTING & PACKAGING PLC,ACME.N0000,88777,49,6.5,6.6,6.8,6.5,6.7,0.2,3.08
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,144220,121,61.3,61.6,64,60,61.4,0.1,0.16
Agarapatana Plantations PLC,AGPL.N0000,36259,44,21.4,21.5,21.7,21.5,21.5,0.1,0.47
AGSTAR PLC,AGST.N0000,635503,78,9.7,9.5,9.8,9.5,9.7,0,0
AGSTAR PLC,AGST.X0000,237628,30,13.3,13.4,13.6,12.7,13.5,0.2,1.5
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,71707,61,124.75,124.5,124.5,123,123.75,-1,-0.8
AITKEN SPENCE PLC,SPEN.N0000,28497,68,169.25,168,172,165,169.5,0.25,0.15
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,29329,161,423.5,420,420,400,401.75,-21.75,-5.14
ALPHA FIRE SERVICES PLC,AFS.N0000,79979,75,27.5,28.9,29,24.6,26.5,-1,-3.64
ALUMEX PLC,ALUM.N0000,684606,405,19.9,20,20,19.4,19.4,-0.5,-2.51
AMANA BANK PLC,ABL.N0000,275318,90,28.4,28.7,28.7,28,28.5,0.1,0.35
AMANA TAKAFUL LIFE PLC,ATLL.N0000,11999,49,44.4,45,46,44,45,0.6,1.35
AMANA TAKAFUL PLC,ATL.N0000,737081,97,29,29,29,28.3,28.5,-0.5,-1.72
AMBEON CAPITAL PLC,TAP.N0000,1650507,219,45.5,45.6,46.1,45.5,46,0.5,1.1
AMBEON HOLDINGS PLC,GREG.N0000,131303,106,158,159,163.5,159,161,3,1.9
ARPICO INSURANCE PLC,AINS.N0000,100213,4,36.6,38,38,37.9,37.9,1.3,3.55
ASIA ASSET FINANCE PLC,AAF.N0000,322032,124,59.4,59.8,60,57.8,58.1,-1.3,-2.19
ASIA CAPITAL PLC,ACAP.N0000,66024,48,7,7,7,6.6,6.9,-0.1,-1.43
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,1880304,182,11,11,11,10.5,10.8,-0.2,-1.82
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,15644,42,59.8,60,62.5,60,60.6,0.8,1.34
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,116767,68,35,34.4,35.5,33.8,34.1,-0.9,-2.57
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,19758,34,14.3,14.4,14.4,14,14.1,-0.2,-1.4
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,89786,120,74.6,74.5,76,73,75,0.4,0.54
B P P L HOLDINGS PLC,BPPL.N0000,232110,115,23.6,23.9,23.9,23,23.2,-0.4,-1.69
BAIRAHA FARMS PLC,BFL.N0000,25942,111,449,449.5,449.5,441.75,442.25,-6.75,-1.5
BALANGODA PLANTATIONS PLC,BALA.N0000,16761,45,90.4,93,93,90,90.3,-0.1,-0.11
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,8009,9,24.4,24,24,23.2,23.3,-1.1,-4.51
BERUWALA RESORTS PLC,BERU.N0000,508167,69,4,4,4.1,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,1459351,2278,87.9,88.8,109.75,85,109.75,21.85,24.86
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,11932,21,82.7,82.7,82.7,78.3,82,-0.7,-0.85
BROWN & COMPANY PLC,BRWN.N0000,30493,133,182.5,180.25,182,179,179.75,-2.75,-1.51
BROWNS BEACH HOTELS PLC,BBH.N0000,1131,8,26,26,26,25.7,25.7,-0.3,-1.15
BROWNS INVESTMENTS PLC,BIL.N0000,3256132,385,7.4,7.5,7.5,7.3,7.4,0,0
BUKIT DARAH PLC,BUKI.N0000,633,19,1137.5,1125,1165,1120,1164,26.5,2.33
C I C HOLDINGS PLC,CIC.X0000,926240,216,25.8,25.9,25.9,25.7,25.8,0,0
C I C HOLDINGS PLC,CIC.N0000,1125429,389,33,33.5,33.5,32.7,33,0,0
C M HOLDINGS PLC,COLO.N0000,26968,94,68.1,70.1,70.1,66.2,68.2,0.1,0.15
C T HOLDINGS PLC,CTHR.N0000,699,24,670,670,699.75,670,694.5,24.5,3.66
C T LAND DEVELOPMENT PLC,CTLD.N0000,13426,39,41.5,40.8,41.5,40.8,40.9,-0.6,-1.45
C. W. MACKIE PLC,CWM.N0000,3099,47,131.5,133,133,127,129,-2.5,-1.9
CABLE SOLUTIONS PLC,CSLK.N0000,380744,85,14.4,14.9,15,14.7,14.8,0.4,2.78
CAL FIVE YEAR CLOSED END FUND (“Units”),CALC.U0000,201,5,15.3,15,15.1,15,15,-0.3,-1.96
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,503,3,14.2,14.4,14.4,14.3,14.4,0.2,1.41
CAPITAL ALLIANCE HOLDINGS PLC,CALH.N0000,4530752,544,17.4,17.2,17.3,16,16.4,-1,-5.75
CAPITAL ALLIANCE PLC,CALT.N0000,101452,162,52.6,53.4,53.5,52.5,52.8,0.2,0.38
CARGILLS (CEYLON) PLC,CARG.N0000,1765,35,847.25,847.75,847.75,835,845,-2.25,-0.27
CARGILLS BANK PLC,CBNK.N0000,2140700,314,10.4,10.6,11,10.4,10.5,0.1,0.96
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,1776,11,190.5,192.5,192.5,185.5,185.5,-5,-2.62
CARSON CUMBERBATCH PLC,CARS.N0000,735,39,808,810,820,799.5,800.5,-7.5,-0.93
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,94554,114,308,309.25,311,308,309.75,1.75,0.57
CENTRAL INDUSTRIES PLC,CIND.N0000,54162,118,223.5,222.25,225,220,220,-3.5,-1.57
CEYLINCO HOLDINGS PLC,CINS.N0000,9,4,3358.25,3358.25,3358.25,3350,3358.25,0,0
CEYLINCO HOLDINGS PLC,CINS.X0000,242,15,1882.25,1959.75,1974,1890,1951,68.75,3.65
CEYLON BEVERAGE HOLDINGS PLC,BREW.N0000,307,13,2611.75,2768.75,2768.75,2612,2634.25,22.5,0.86
CEYLON COLD STORES PLC,CCS.N0000,56933,120,117,117.5,118,116.5,117.25,0.25,0.21
