Company Name,Symbol,Share Volume,Trade Volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Trade (Rs.),Change(Rs),Change (%)
ABANS ELECTRICALS PLC,ABAN.N0000,4865,59,589.5,580,610,580,596.75,7.25,1.23
ABANS FINANCE PLC,AFSL.N0000,19,2,71.5,72.5,72.5,72.5,71.5,0,0
ACCESS ENGINEERING PLC,AEL.N0000,342635,198,58.9,58.9,59.5,58.7,59.4,0.5,0.85
ACL CABLES PLC,ACL.N0000,62370,82,178,178,180,176.25,178,0,0
ACL PLASTICS PLC,APLA.N0000,3967,45,749.75,749,757.25,742,750,0.25,0.03
ACME PRINTING & PACKAGING PLC,ACME.N0000,41128,38,5.3,5.4,5.4,5.2,5.3,0,0
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,82637,45,62.4,62,63.5,62,62.8,0.4,0.64
Agarapatana Plantations PLC,AGPL.N0000,4558826,466,22,22.1,23.7,21.6,23.3,1.3,5.91
AGSTAR PLC,AGST.N0000,74680,33,7.8,7.8,8,7.8,7.9,0.1,1.28
AITKEN SPENCE HOTEL HOLDINGS PLC,AHUN.N0000,54702,72,84.5,84.9,85,82.8,83,-1.5,-1.78
AITKEN SPENCE PLC,SPEN.N0000,55455,39,144.5,144,145.25,144,145,0.5,0.35
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,8567,40,409,410,411.25,403,410,1,0.24
ALPHA FIRE SERVICES PLC,AFS.N0000,233354,196,23.6,23.8,24.1,21.9,22.9,-0.7,-2.97
ALUMEX PLC,ALUM.N0000,1179242,137,17,17,17.3,16.9,17.2,0.2,1.18
AMANA BANK PLC,ABL.N0000,66771,47,24.8,24.5,24.9,24.5,24.8,0,0
AMANA TAKAFUL PLC,ATL.N0000,8932,16,15.2,15.1,15.2,15,15.2,0,0
AMBEON CAPITAL PLC,TAP.N0000,755366,155,26.4,27,27.2,26,26.6,0.2,0.76
AMBEON HOLDINGS PLC,GREG.N0000,32769,60,100.5,100,104.75,100,104.25,3.75,3.73
ARPICO INSURANCE PLC,AINS.N0000,6623,14,36.7,36.5,38.8,36.1,36.4,-0.3,-0.82
ASIA ASSET FINANCE PLC,AAF.N0000,393354,116,48.2,48.7,48.7,47.5,48.5,0.3,0.62
ASIA CAPITAL PLC,ACAP.N0000,6063,15,4.4,4.5,4.6,4.5,4.5,0.1,2.27
ASIA SIYAKA COMMODITIES LIMITED,ASIY.N0000,648031,85,7.1,7.2,7.3,6.8,6.9,-0.2,-2.82
ASIAN HOTELS AND PROPERTIES PLC,AHPL.N0000,14956,28,65.4,66.9,66.9,65,66,0.6,0.92
ASIRI HOSPITAL HOLDINGS PLC,ASIR.N0000,4669,15,33.3,34.9,34.9,33.3,34.4,1.1,3.3
ASIRI SURGICAL HOSPITAL PLC,AMSL.N0000,16107,29,13.3,13.3,13.4,13.1,13.1,-0.2,-1.5
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,611432,367,75,75,80,73,79.4,4.4,5.87
B P P L HOLDINGS PLC,BPPL.N0000,45627,54,19.4,19.5,20,19.1,19.2,-0.2,-1.03
BAIRAHA FARMS PLC,BFL.N0000,15885,122,217.75,219.5,219.5,213.75,215.25,-2.5,-1.15
BALANGODA PLANTATIONS PLC,BALA.N0000,31064,28,84,85.5,87,83.5,85.1,1.1,1.31
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,1605,7,21.5,21.5,21.8,21.5,21.7,0.2,0.93
BERUWALA RESORTS PLC,BERU.N0000,1178574,97,4,4,4,3.9,4,0,0
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,2316046,2811,58,64,78.2,64,76.1,18.1,31.21
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,3486,18,77.1,77,78,76.8,77,-0.1,-0.13
BROWN & COMPANY PLC,BRWN.N0000,183089,283,180.25,183,183,179,181,0.75,0.42
BROWNS BEACH HOTELS PLC,BBH.N0000,13146,43,23.4,23.5,23.5,22.2,22.3,-1.1,-4.7
BROWNS INVESTMENTS PLC,BIL.N0000,3971770,271,7.7,7.8,7.8,7.6,7.7,0,0
BUKIT DARAH PLC,BUKI.N0000,1013,21,798.25,810,812,803,810,11.75,1.47
C I C HOLDINGS PLC,CIC.X0000,346996,197,104.25,105,105,103.5,103.5,-0.75,-0.72
C I C HOLDINGS PLC,CIC.N0000,246228,180,138.75,139,139.25,137.5,138,-0.75,-0.54
C M HOLDINGS PLC,COLO.N0000,2160,36,380,376,380,375,375.25,-4.75,-1.25
C T HOLDINGS PLC,CTHR.N0000,1426,17,700.5,700,706,700,700.25,-0.25,-0.04
C T LAND DEVELOPMENT PLC,CTLD.N0000,1910,9,32.6,32.4,33.6,32.3,33,0.4,1.23
C. W. MACKIE PLC,CWM.N0000,5555,39,122,123,123,121.75,123,1,0.82
CABLE SOLUTIONS PLC,CSLK.N0000,270408,119,14.7,15.2,15.4,14.7,14.9,0.2,1.36
CAL FIVE YEAR OPTIMUM FUND (“Units”),CALI.U0000,45,1,13.5,13.7,13.7,13.7,13.5,0,0
CAPITAL ALLIANCE HOLDINGS LIMITED,CALH.N0000,6534736,652,17.7,17.7,18.8,17.2,18.3,0.6,3.39
CAPITAL ALLIANCE PLC,CALT.N0000,156776,136,55.4,55.5,56,55.2,55.6,0.2,0.36
CARGILLS (CEYLON) PLC,CARG.N0000,12078,58,717,717,724.75,700,722,5,0.7
CARGILLS BANK PLC,CBNK.N0000,191734,84,9.3,9.4,9.4,9.2,9.3,0,0
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,221123,123,142,140,155,140,154.75,12.75,8.98
CARSON CUMBERBATCH PLC,CARS.N0000,10198,81,605.75,609.75,649.75,600,637.25,31.5,5.2
CENTRAL FINANCE COMPANY PLC,CFIN.N0000,76294,93,307.25,309,309,306.25,307.75,0.5,0.16
CENTRAL INDUSTRIES PLC,CIND.N0000,4088,36,177,177,177,173,174.75,-2.25,-1.27
CEYLINCO HOLDINGS PLC,CINS.X0000,65,12,1651.25,1699.75,1738,1695,1651.25,0,0
CEYLON COLD STORES PLC,CCS.N0000,306256,180,110,111,111.25,109,109,-1,-0.91
CEYLON GRAIN ELEVATORS PLC,GRAN.N0000,2026,29,334.5,340,340,330,333.25,-1.25,-0.37
CEYLON GUARDIAN INVESTMENT TRUST PLC,GUAR.N0000,5962,33,214,214,214,210,212.75,-1.25,-0.58
CEYLON HOSPITALS PLC,CHL.N0000,1672,19,159.5,159.5,159.5,153.75,155,-4.5,-2.82
CEYLON HOSPITALS PLC,CHL.X0000,54,3,130.75,134,134,133.75,130.75,0,0
CEYLON HOTELS CORPORATION PLC,CHOT.N0000,50718,23,26,26.2,26.2,25.6,25.7,-0.3,-1.15
CEYLON INVESTMENT PLC,CINV.N0000,46533,64,112,112,112,110,110.75,-1.25,-1.12
CEYLON LAND & EQUITY PLC,KZOO.N0000,880905,189,10.5,10.6,11,10.3,10.7,0.2,1.9
CEYLON PRINTERS PLC,CPRT.N0000,13,2,292,298,298,298,292,0,0
CEYLON TEA BROKERS PLC,CTBL.N0000,57620,24,7.2,7.2,7.3,7.2,7.3,0.1,1.39
CEYLON TOBACCO COMPANY PLC,CTC.N0000,1968,84,1560,1560,1560,1554,1555,-5,-0.32
CHEMANEX PLC,CHMX.N0000,2305,8,167.5,165,165,160.5,165,-2.5,-1.49
CHEVRON LUBRICANTS LANKA PLC,LLUB.N0000,29541,79,172,172,172.25,170.5,172,0,0
CHRISSWORLD PLC,CWL.N0000,295,3,11.2,11.2,11.2,11.1,11.1,-0.1,-0.89
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.N0000,518,7,394.75,392.25,392.25,387,387,-7.75,-1.96
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC,CDB.X0000,1619,21,307.5,307,307,303.25,304.75,-2.75,-0.89
CITRUS LEISURE PLC,REEF.N0000,140171,37,4,4,4.1,4,4.1,0.1,2.5
Co-operative Insurance Company PLC,COOP.N0000,2214171,76,4.4,4.5,4.5,4.4,4.4,0,0
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,225376,300,93,93.5,107,90.1,105.25,12.25,13.17
COLOMBO DOCKYARD PLC,DOCK.N0000,451485,481,99.1,99.1,105.5,99.1,102,2.9,2.93
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,2688,42,320,320,324.75,317,323,3,0.94
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,4266,31,386.5,392,392,378,378.5,-8,-2.07
COLOMBO LAND AND DEVELOPMENT COMPANY PLC,CLND.N0000,26130,19,31.5,31.9,31.9,30.9,31,-0.5,-1.59
COMMERCIAL BANK OF CEYLON PLC,COMB.X0000,201736,121,149,149.5,150,148.25,149.75,0.75,0.5
COMMERCIAL BANK OF CEYLON PLC,COMB.N0000,327865,211,173.75,173.75,174,173,174,0.25,0.14
COMMERCIAL CREDIT AND FINANCE PLC,COCR.N0000,329624,302,117.75,117.5,118.5,115.75,117.5,-0.25,-0.21
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,2426,47,240.25,240,240,229,236.75,-3.5,-1.46
CONVENIENCE FOODS LANKA PLC,SOY.N0000,3865,61,1707,1700,1739.75,1660,1704,-3,-0.18
DANKOTUWA PORCELAIN PLC,DPL.N0000,20410,22,22.5,22,22.9,22,22,-0.5,-2.22
DFCC BANK PLC,DFCC.N0000,409972,402,152.25,152,154,148,152.75,0.5,0.33
DIALOG AXIATA PLC,DIAL.N0000,3878514,491,19.7,19.9,20.8,19.9,20.5,0.8,4.06
DIALOG FINANCE PLC,CALF.N0000,23700,129,71.9,72.2,78.5,72,74.3,2.4,3.34
DIESEL & MOTOR ENGINEERING PLC,DIMO.N0000,2194,23,1309.75,1344.75,1344.75,1305,1305.25,-4.5,-0.34
DIGITAL MOBILITY SOLUTIONS LANKA PLC,PKME.N0000,760884,394,94.6,94.8,99,92.8,98.1,3.5,3.7
DIPPED PRODUCTS PLC,DIPD.N0000,739517,279,60.9,61,61.5,59.7,60,-0.9,-1.48
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,9999,64,45.4,45.5,45.5,45.2,45.3,-0.1,-0.22
DOLPHIN HOTELS PLC,STAF.N0000,72455,55,49.5,48.8,49.7,48.6,49.7,0.2,0.4
E - CHANNELLING PLC,ECL.N0000,37029,46,13.5,13.5,13.5,12.9,13,-0.5,-3.7
E B CREASY & COMPANY PLC,EBCR.N0000,19653,42,62.9,64,64,62.2,62.3,-0.6,-0.95
E M L CONSULTANTS PLC,EML.N0000,10569,17,4.1,4.2,4.2,4.1,4.1,0,0
EAST WEST PROPERTIES PLC,EAST.N0000,738051,278,41,41.1,42,40,40.1,-0.9,-2.2
EASTERN MERCHANTS PLC,EMER.N0000,49856,33,9,9,9.2,8.8,8.8,-0.2,-2.22
EDEN HOTEL LANKA PLC,EDEN.N0000,286486,134,14,14,14.2,13.8,13.9,-0.1,-0.71
ELPITIYA PLANTATIONS PLC,ELPL.N0000,173235,104,162,160.75,165.5,156,164.5,2.5,1.54
EQUITY TWO PLC,ETWO.N0000,126724,55,46.4,46.3,47.5,45.5,45.5,-0.9,-1.94
